	sample1	sample2	sample3	sample4
LOC124907743	0	0	0	0
RAB10	4577	3386	4485	4285
LOC105374333	113	76	52	228
GAREM2	1212	137	177	996
HADHA	5925	8364	9501	5903
HADHB	2232	6988	8238	2085
LOC105374334	153	11	6	148
ADGRF3	124	13	5	106
SELENOI	6632	1913	2546	6292
DRC1	3	3	2	5
OTOF	34	3	2	25
FAM166C	0	0	0	1
CIB4	3	0	1	3
KCNK3	10	68	60	12
SLC35F6	868	1056	1022	691
CENPA	974	71	36	809
DPYSL5	268	29	26	282
LOC124905979	0	0	1	0
MAPRE3	46	723	716	58
MAPRE3-AS1	0	1	3	2
TMEM214	1004	839	738	876
AGBL5-AS1	5	1	7	7
AGBL5	2155	1593	1553	2127
TRY-GTA2-1	21	29	31	24
TRA-AGC8-1	0	1	0	1
OST4	1367	1839	2148	1196
EMILIN1	233	692	395	162
KHK	216	88	152	152
CGREF1	83	3	12	60
LOC124907744	6	0	0	6
ABHD1	46	14	20	50
PREB	1931	1862	2196	1466
PRR30	1	1	0	0
TCF23	5	0	0	4
SLC5A6	5043	2361	2030	3290
ATRAID	2248	1995	2620	2089
CAD	9432	1932	2445	10040
SLC30A3	161	862	1433	147
DNAJC5G	9	48	110	2
TRIM54	51	1237	1890	31
UCN	9	26	52	12
MPV17	928	544	650	916
GTF3C2	4480	1610	1697	3461
GTF3C2-AS1	10	2	4	7
GTF3C2-AS2	278	154	140	225
EIF2B4	1360	1049	1200	1045
SNX17	2368	3118	3303	1926
ZNF513	460	356	410	357
PPM1G	11231	3294	4142	8794
FTH1P3	37	2	3	36
NRBP1	5018	3931	4238	3935
KRTCAP3	418	31	8	431
IFT172	770	1106	1121	678
FNDC4	266	762	1043	232
GCKR	4	3	3	2
C2orf16	66	111	155	81
ZNF512	1962	1929	2644	1729
CCDC121	61	139	232	63
GPN1	1623	1110	1343	1217
LOC124906143	3	1	0	4
SUPT7L	1421	1949	2553	1096
SLC4A1AP	1205	1410	1717	985
LINC01460	9	31	62	22
LOC105374378	10	22	35	5
MRPL33	996	843	1028	865
RBKS	29	124	146	36
BABAM2	646	1078	1310	594
BABAM2-AS1	7	4	4	7
LOC105374369	6	2	3	14
MIR4263	0	0	4	1
LOC100505736	3	2	4	11
LOC124907745	8	12	7	49
LOC100505716	8	12	3	14
LOC105374381	1	2	1	0
LOC105374382	0	2	1	1
LOC105374383	0	0	0	0
FOSL2-AS1	0	2	3	0
FOSL2	341	794	569	905
LOC102723530	0	0	0	0
PLB1	12	29	39	7
LOC124907746	0	1	1	0
LOC105374384	0	1	2	1
LOC100505774	1	1	3	1
PPP1CB-DT	51	23	38	52
PPP1CB	4697	8917	12784	5254
SPDYA	8	8	7	9
TRMT61B	785	375	448	642
WDR43	7877	1591	2011	7018
SNORD92	5	0	3	5
SNORD53	15	2	0	16
SNORD53B	19	0	1	18
TOGARAM2	49	4	0	37
PCARE	0	64	15	1
LOC105374386	0	0	0	0
CLIP4	12	297	417	10
LOC124907747	0	0	1	0
ALK	94	33	19	54
LOC101929386	0	0	0	2
LOC105374389	1	0	0	1
LOC124907748	0	0	0	0
YPEL5	911	3586	3963	780
LOC105374414	0	0	3	0
SNORA10B	0	0	0	1
LOC124907749	0	5	9	0
LBH	1220	18590	28103	1056
LOC102723594	0	9	22	1
LINC01936	7	21	41	4
LCLAT1	1148	1389	1730	1201
CAPN13	105	13	9	83
LOC124905982	0	0	0	0
LOC105374435	0	1	0	0
LOC124907750	0	0	0	0
GALNT14	493	13	12	430
LOC107985861	0	1	2	0
CAPN14	3	10	43	19
EHD3	739	2104	2750	551
LOC124905983	31	26	43	28
LOC124907751	3	0	3	8
XDH	77	32	53	83
SRD5A2	5	2	4	2
LOC107985862	0	0	0	0
LOC107985863	2	3	1	1
LINC01946	0	0	0	0
MEMO1	891	842	927	907
DPY30	1826	667	727	1465
SPAST	2162	1291	1392	1815
SLC30A6	2387	1498	1574	1840
NLRC4	11	34	44	22
YIPF4	1212	1760	1916	982
BIRC6	8948	11801	11175	11403
MIR558	0	0	0	0
BIRC6-AS2	5	1	6	8
LOC124905985	2	1	4	4
TTC27	1542	514	656	1274
MIR4765	1	0	0	1
LINC00486	0	5	4	0
LOC105374453	0	0	0	0
LOC100271832	5	6	4	2
LTBP1	2106	21589	24627	2271
MIR4430	0	0	0	0
RASGRP3	12	415	588	14
RASGRP3-AS1	7	5	10	17
FAM98A	2363	940	1007	1731
LOC105374455	21	3	3	62
LOC124905986	26	1	3	65
LINC01317	2	0	0	0
MYADML	0	0	0	0
LOC124905987	0	0	0	0
LOC105374456	0	0	0	0
LINC01318	0	0	0	0
LOC105374457	0	0	0	0
LOC105374459	0	0	0	0
LINC01320	0	0	0	0
LOC107985865	0	0	0	0
LOC105374458	0	0	0	2
LOC124907752	0	1	0	0
LOC105374461	0	0	0	0
LOC107985808	0	0	0	0
MIR548AD	0	0	0	0
LOC107985866	0	0	0	0
CRIM1-DT	141	18	13	149
CRIM1	1847	1012	606	2050
LOC124907753	3	0	0	7
LOC124905989	10	2	1	17
FEZ2	901	858	1274	993
LOC124905990	0	2	0	1
VIT	13	71	0	14
STRN	2943	3786	4267	3246
HEATR5B	1510	2011	2080	1804
GPATCH11	260	698	649	278
EIF2AK2	3422	1643	1733	4162
SULT6B1	1	0	0	1
CEBPZOS	2101	794	1064	2626
CEBPZ	7074	1587	2219	6206
NDUFAF7	1409	516	726	1310
PRKD3	6655	1066	998	7408
PRKD3-DT	5	1	1	9
LOC124907754	6	0	1	9
QPCT	292	72	66	289
LOC107985868	52	0	0	43
LINC03063	1	0	1	0
LOC124905991	1	0	0	2
CDC42EP3	2238	3382	3951	2583
LOC107985870	0	0	0	0
LOC105374465	0	0	0	0
LOC107985869	1	0	0	0
PIRAT1	1	0	2	2
RMDN2	87	88	101	85
RMDN2-AS1	1	0	0	0
CYP1B1	666	36	7	874
LOC107985871	4	1	0	7
CYP1B1-AS1	11	0	1	7
LOC102723739	1	2	1	7
LOC105374467	0	0	0	0
ATL2	3816	1793	2148	3795
LOC105374468	1	0	0	0
LINC01883	0	0	0	0
LINC02613	1	2	3	0
HNRNPLL	3343	1851	2112	2322
GALM	742	1025	1060	546
LOC124905993	8	3	2	9
SRSF7	9579	1967	2492	6733
GEMIN6	923	396	593	722
DHX57	2315	1465	1537	1933
LOC105374470	4	2	0	7
MORN2	188	287	260	152
ARHGEF33	35	27	24	19
LOC105374471	2	2	3	4
LOC375196	3	1	1	4
SOS1	1713	2343	2600	1922
CDKL4	19	40	50	27
MAP4K3	2904	1715	1990	2709
MAP4K3-DT	43	77	137	74
TMEM178A	214	185	331	191
THUMPD2	502	173	229	479
LOC124905994	36	8	8	58
LOC112268436	0	0	0	0
SLC8A1-AS1	1	12	18	0
SLC8A1	129	36143	55528	228
LOC101929667	0	39	77	0
LOC105374473	0	1	0	0
LOC105374475	0	0	0	1
LOC105374497	0	0	0	0
LOC105374491	0	0	0	0
LINC01794	0	0	0	0
LOC105374506	0	0	0	0
LINC01913	0	0	0	0
LINC01914	1	4	2	0
LINC02898	10	4	8	9
LOC124905996	0	3	1	0
LOC105374517	0	0	0	0
PKDCC	1452	2998	2570	718
LOC105374531	2	0	0	0
EML4-AS1	9	6	4	15
EML4	8634	3732	3169	7255
COX7A2L	2797	2331	2455	2814
KCNG3	178	68	29	254
LOC124900542	4	0	0	5
MTA3	2388	1980	2308	2196
LOC105374555	12	1	2	11
OXER1	12	11	6	11
HAAO	55	28	13	36
TRI-TAT2-1	20	30	22	18
LOC105374568	0	0	0	0
LOC112268413	1	0	0	1
LINC01819	0	2	1	0
LOC107985876	1	0	0	3
LOC124907756	0	0	1	1
LINC02580	2	0	0	0
LOC105374570	3	0	0	1
LOC124907755	3	4	2	3
ZFP36L2	1663	709	511	1631
LINC01126	82	12	23	67
THADA	1861	944	839	1832
PLEKHH2	356	22	7	478
C1GALT1C1L	11	12	11	10
DYNC2LI1	257	460	625	259
LOC105374571	7	1	3	3
ABCG5	3	1	3	3
ABCG8	18	6	2	19
LOC102725159	0	0	0	0
LRPPRC	16680	7240	8392	17216
LOC124907757	0	0	0	0
LOC102723904	22	2	5	18
PPM1B	3174	1303	1801	3004
SLC3A1	10	12	16	24
PREPL	1439	1449	1992	1274
CAMKMT	343	140	180	356
LOC124905998	9	5	6	12
LOC124907759	14	5	10	58
LOC124905999	58	31	13	123
LOC124907758	28	10	11	57
LOC105374573	0	1	0	1
LINC01833	1	0	0	0
SIX3-AS1	0	0	0	0
SIX3	2	1	1	0
SIX2	10	0	5	6
LOC107985809	0	0	0	0
LINC01121	0	0	0	2
LOC105374576	0	0	0	1
LOC105374577	0	0	0	0
SRBD1	1941	901	1126	1762
LOC102724965	3	14	26	5
PRKCE	93	1177	1063	118
PRKCE-AS1	1	5	1	1
LOC124907761	0	9	1	3
LOC101926974	0	0	0	0
LOC105374581	0	0	0	0
EPAS1	405	1225	99	400
LINC01820	0	0	0	1
LOC124907762	1	1	0	1
LINC02583	0	0	0	0
TMEM247	1	0	0	3
LOC124906002	1	2	0	7
ATP6V1E2	272	147	195	283
RHOQ	1134	3034	3948	1603
RHOQ-AS1	31	19	11	92
PIGF	350	135	173	350
LOC124906003	21	16	18	60
CRIPT	652	491	617	481
LOC105374584	11	14	18	42
SOCS5	913	797	783	916
LINC01118	1	0	1	1
LINC01119	0	0	10	0
LOC107985880	1	0	0	2
LOC124906004	0	0	1	2
MCFD2	4840	3526	3735	4382
TTC7A	934	324	389	793
STPG4	6	3	0	4
CALM2	11934	6982	8555	8651
EPCAM-DT	23	4	5	38
LOC105374588	0	0	1	2
LOC124907763	5	1	1	0
LOC107985882	0	0	0	1
BCYRN1	29	26	34	21
EPCAM	6868	1013	643	6929
MIR559	3	1	0	3
MSH2	20678	2444	3372	21236
KCNK12	315	28	28	411
MSH2-OT1	13	4	9	29
LOC105374589	3	0	0	3
MSH6	20159	4863	6184	16208
FBXO11	1667	2417	2505	1834
LOC100506235	13	12	14	20
LOC105374590	2	0	0	4
LOC105374592	0	0	0	0
LOC105374591	0	1	1	0
LOC124907765	13	0	0	22
LOC105374593	1	0	0	0
LOC102724008	1	0	0	0
LOC124907766	9	3	2	11
FOXN2	1273	351	454	1355
PPP1R21	578	822	1130	644
STON1-GTF2A1L	5	4	2	2
STON1	268	276	359	452
GTF2A1L	0	0	0	1
LHCGR	8	1	0	10
LOC105374594	0	9	13	0
FSHR	3	11	17	5
MIR548BA	0	0	0	0
LOC107985810	0	0	0	1
LOC105374595	0	0	0	0
LOC124906005	0	0	0	0
NRXN1	370	91	341	656
LOC101927089	0	0	0	1
MIR8485	0	0	0	1
LOC124906006	3	0	0	15
LOC730100	202	1	0	153
LOC105377627	0	0	0	0
LOC105374597	0	0	0	0
LOC124907767	0	0	0	1
LOC107985766	0	0	0	0
LINC01867	15	0	0	17
LOC105374598	1	0	0	3
MIR4431	0	0	0	0
LOC105369165	2	3	1	6
LOC124900528	0	0	0	0
LOC105374600	1	3	3	0
ASB3	80	34	66	80
GPR75-ASB3	0	0	0	0
CHAC2	389	57	38	220
ERLEC1	1463	1474	1585	1303
LOC112268415	8	8	6	22
MIR3682	0	1	0	2
GPR75	59	33	35	35
PSME4	4906	3030	2687	6184
ACYP2	68	279	388	114
LOC105374615	2	8	15	5
LOC105374610	0	3	0	3
TSPYL6	0	0	0	1
C2orf73	0	1	2	1
LOC102724072	1	0	0	0
SPTBN1	25756	60165	56395	26680
RPL23AP32	5	13	6	6
LOC124906008	15	16	11	32
LOC105374653	1	1	0	0
EML6	80	87	71	70
EML6-AS1	0	0	0	1
RTN4	9890	16890	25243	8644
LOC105374662	0	1	1	0
CLHC1	148	270	432	225
RPS27A	32412	12041	17679	30790
MTIF2	2183	2083	2710	2062
PRORSD1P	31	10	20	35
CCDC88A	4293	2849	4373	4639
LOC124907768	2	3	2	7
CFAP36	724	497	551	863
PPP4R3B	3146	1930	2369	3534
LOC124900537	1	1	3	3
PNPT1	2993	1072	1542	2425
LOC107985811	2	1	0	2
LOC112268416	2	0	0	5
EFEMP1	1404	98	47	1527
LOC105374690	14	0	3	10
MIR217HG	0	0	0	0
MIR217	0	0	0	0
MIR216A	0	0	0	0
MIR216B	0	0	0	0
LINC01813	1	0	0	0
LOC100129434	9	89	102	10
CCDC85A	3	321	308	7
LOC101927213	0	0	0	0
LOC124906180	0	0	0	0
LOC124900539	0	0	0	0
LOC101927235	0	0	0	1
LOC105374697	0	0	0	0
LOC105377628	0	0	1	1
LOC124907769	0	0	0	0
VRK2	564	327	570	445
LOC124907770	0	0	0	0
LOC107984043	1	3	1	2
FANCL	1339	454	690	1017
LINC01795	0	0	0	0
LINC01122	18	19	9	18
LOC124907771	23	5	6	21
LINC01793	0	0	0	0
LOC105374754	0	0	0	0
MIR4432HG	1	0	0	0
MIR4432	0	0	0	0
LOC102724142	4	0	0	1
LOC124906010	0	0	0	0
BCL11A	939	200	226	820
PAPOLG	2223	1382	1662	2051
REL-DT	0	8	5	0
REL	408	425	516	492
PUS10	147	155	215	128
PEX13	1170	1361	1566	992
SANBR	460	252	376	342
LOC105374759	1	0	1	0
C2orf74-DT	135	228	275	107
C2orf74	124	278	423	108
C2orf74-AS1	11	3	7	9
AHSA2P	1015	471	698	849
USP34	6177	7285	7454	7632
SNORA70B	3	1	1	3
XPO1	22142	7819	10190	18124
LOC124907772	17	4	6	12
LOC107985767	0	8	9	6
LOC105374760	1	1	0	1
FAM161A	487	302	381	549
CCT4	14340	5208	7513	12500
LOC124907773	16	1	0	7
COMMD1	547	749	1056	449
LOC124906012	1	1	1	1
LOC124906013	50	23	17	54
B3GNT2	1877	642	821	1828
MIR5192	7	2	0	8
LOC105374761	3	0	6	3
LOC124906156	0	0	0	0
LOC105374764	5	0	1	5
TMEM17	43	88	81	44
EHBP1	994	1033	1315	990
EHBP1-AS1	6	7	8	13
OTX1	22	4	3	16
DBIL5P2	0	2	0	1
WDPCP	283	407	442	268
LOC107985769	3	1	0	6
MDH1	8252	21177	31021	7030
UGP2	18238	13636	21108	18383
VPS54	1320	2041	2140	1274
LOC124907774	2	0	0	8
PELI1	2629	458	451	3155
LINC00309	10	0	0	17
LOC100507006	116	8	10	173
LOC105374769	0	0	0	0
MIR4433B	0	0	0	0
MIR4433A	0	0	0	0
LGALSL-DT	24	7	8	33
LOC124907775	3	1	1	5
LGALSL	907	581	857	1160
LINC01805	0	0	0	1
AFTPH-DT	2	15	14	3
AFTPH	1041	877	937	1078
MIR4434	1	1	0	4
LOC105374773	43	33	33	68
LINC02579	1	0	0	0
SERTAD2	274	1201	1492	431
LOC105374775	33	42	28	46
LOC124907776	12	3	8	6
LOC105374777	2	2	2	0
LOC105374776	0	1	0	0
LINC01800	0	4	5	1
LINC02245	2	0	0	2
LOC124906172	0	0	0	0
SLC1A4	193	1400	2555	146
LINC02576	29	3	4	16
CEP68	1266	1743	2385	1029
RAB1A	2574	2453	2787	2752
LOC124906140	0	0	0	0
LOC124907779	6	5	11	1
ACTR2	5521	4264	4453	6551
LOC124907781	2	20	8	4
SPRED2	710	1734	874	931
LOC105374780	1	1	7	1
LOC124907784	0	6	1	0
LOC105374781	0	16	19	0
LINC03050	2	0	0	1
LOC107985889	0	3	5	0
LOC105369167	0	2	0	0
LINC02934	0	1	3	0
LOC107985890	1	2	1	0
LOC107985812	0	0	1	2
MIR4778	1	0	1	1
LINC01873	15	4	4	18
MEIS1-AS3	4	233	353	5
MEIS1	14	2616	3166	19
MEIS1-AS2	0	36	46	2
LOC124900511	3	97	110	2
LINC01798	0	23	28	1
LINC01797	0	1	1	0
LINC01799	0	5	10	0
LINC01628	0	2	0	0
LOC105374785	1	0	0	0
LINC01828	1	1	0	1
LINC01829	10	0	1	3
LOC101927661	0	1	2	2
ETAA1	1621	556	762	1531
LOC107985891	0	0	0	0
LOC124907804	0	0	0	0
LOC124906017	0	0	0	0
LOC105374786	3	1	0	0
LINC02831	0	0	0	0
LINC01812	0	0	0	0
C1D	498	315	411	454
LOC105374789	5	24	14	10
DNAAF10	740	394	578	702
PNO1	2146	848	1005	1462
PPP3R1	1789	1213	1269	1760
LOC107985892	3	0	0	5
CNRIP1	59	32	39	62
LOC102724389	0	0	0	0
LOC101927723	0	0	0	0
PLEK	1	26	0	0
FBXO48	84	47	59	76
APLF	318	367	471	359
PROKR1	317	3	2	329
ARHGAP25	36	94	179	54
LOC105374790	0	2	1	0
LINC01890	0	1	0	0
LINC01888	0	0	0	0
BMP10	1	165	248	1
LOC105374792	0	0	0	0
GKN2	0	0	0	0
GKN1	0	0	0	0
ANTXR1	2351	3843	2876	2339
MIR3126	1	2	0	2
LOC124906019	89	101	55	145
LOC124907821	0	1	1	3
GFPT1	6776	3001	3093	7512
NFU1	1021	1023	1207	948
LOC124906020	2	3	2	1
AAK1	1304	7800	5991	1502
SNORA36C	0	0	1	1
ANXA4	330	1433	1224	300
LOC124906149	0	0	0	0
SMANTIS	5	159	67	9
LOC124906021	2	6	6	5
GMCL1	1326	707	631	1414
SNRNP27	622	503	674	537
LOC124906176	2	3	2	1
MXD1	68	209	222	78
ASPRV1	31	122	139	38
LOC124906177	0	0	0	0
PCBP1-AS1	234	232	225	270
PCBP1	2633	2479	2792	3424
LOC124906022	0	1	1	1
LINC01816	18	16	12	25
C2orf42	259	278	335	247
TIA1	4483	3049	3511	4267
TRG-CCC2-1	1	0	0	0
MIR1285-2	0	0	0	0
PCYOX1	2793	4729	6267	3018
SNRPG	3346	786	886	2793
LOC124906023	8	3	3	2
FAM136A	3965	1936	2499	2741
TGFA	281	94	132	302
TGFA-IT1	1	0	1	1
LOC107985895	0	0	0	0
LOC124907824	3	3	0	2
ADD2	9638	190	573	10666
LOC105374794	13	1	1	25
FIGLA	0	0	0	0
CLEC4F	0	0	0	0
CD207	1	0	0	0
LINC01143	0	0	0	1
VAX2	3	0	2	0
ATP6V1B1	3	3	4	1
ATP6V1B1-AS1	2	1	0	2
LOC105374795	5	4	10	18
ANKRD53	13	16	16	5
TEX261	775	951	925	540
LOC105374796	0	0	0	0
OR7E91P	0	0	0	0
NAGK	710	837	894	516
MCEE	140	195	293	159
MPHOSPH10	1743	1012	1264	1471
PAIP2B	1616	709	1409	1873
LOC105374797	15	1	1	6
ZNF638	8449	6651	7471	7220
DYSF	521	4994	6107	650
LOC124907827	7	26	21	10
LOC105374798	0	0	0	11
CYP26B1	25	30	52	65
EXOC6B	2458	3356	4866	2543
LOC124900538	0	0	0	0
SPR	385	224	340	224
EMX1	136	2	1	175
SFXN5	1186	403	448	787
LOC107985897	47	8	14	77
LOC105374800	35	2	1	24
RAB11FIP5	778	452	709	1013
NOTO	7	0	0	12
SMYD5	2446	754	963	1787
PRADC1	211	1147	1409	187
CCT7	21737	9085	11672	17515
FBXO41	728	323	646	1023
LOC124907840	3	2	1	4
EGR4	1	1	0	5
LOC105374802	0	0	0	0
LOC105374803	0	0	0	0
LOC105374804	0	1	1	0
ALMS1	6094	2456	2906	7774
ALMS1-IT1	72	5	9	105
NAT8	2	6	3	0
ALMS1P1	6	13	11	2
LOC112268418	1	13	9	4
NAT8B	0	1	1	0
LOC124907848	0	0	0	1
LOC124905592	0	1	1	0
TPRKB	814	289	326	612
DUSP11	614	356	465	483
C2orf78	21	0	0	20
LOC105374807	12	0	4	8
STAMBP	1567	759	835	1362
LOC112268419	10	3	2	21
ACTG2	216	29	7	106
DGUOK	1385	649	762	1012
DGUOK-AS1	15	0	2	14
TET3	1702	1747	1615	1888
BOLA3	1019	477	688	840
BOLA3-DT	311	100	162	354
MOB1A	5569	2842	3507	4626
MTHFD2	11155	2117	4698	12330
SLC4A5	52	89	120	93
DCTN1	7415	7451	7754	6295
DCTN1-AS1	37	8	7	24
C2orf81	71	75	90	95
WDR54	1119	611	923	1875
RTKN	1985	961	1212	1475
INO80B-WBP1	0	1	0	0
INO80B	7	8	14	2
WBP1	35	75	74	43
MOGS	3081	1633	1614	2529
MRPL53	395	704	679	396
CCDC142	363	307	343	240
TTC31	890	339	442	860
LBX2	8	3	7	6
LBX2-AS1	13	11	13	9
PCGF1	203	134	168	237
TLX2	18	1	1	15
DQX1	19	3	2	37
AUP1	2545	1367	1386	1985
HTRA2	567	617	669	411
LOXL3	508	135	324	518
DOK1	237	195	292	258
M1AP	131	4	4	186
SEMA4F	260	273	534	331
LOC102724497	2	4	2	7
LOC102724482	5	1	0	11
HK2	5398	3946	6694	12719
LINC01291	0	0	0	1
LOC105374809	19	12	13	28
POLE4	369	295	393	278
LOC124907850	14	7	2	17
TACR1	33	8	1	35
MIR5000	0	0	0	0
LOC105374811	13	6	15	20
LOC107985900	10	12	6	20
LOC105374810	2	6	3	2
LOC124906160	0	0	0	0
LOC124906189	0	0	0	0
EVA1A	67	36	5	80
EVA1A-AS	3	0	1	5
LOC124906026	3	0	0	3
LOC124906195	0	0	0	0
LOC124906161	0	0	0	0
MRPL19	3395	1751	1985	3091
GCFC2	733	476	488	697
LOC124906025	89	93	131	120
LOC105374813	2	7	13	2
LOC105374814	24	0	0	7
LRRTM4	208	226	302	194
LOC105374815	52	4	8	32
LRRTM4-AS1	1	0	2	0
LOC101927967	0	0	0	0
LINC01851	0	0	0	0
LOC105374817	0	0	0	0
SNAR-H	0	0	0	0
LOC105374816	0	0	0	1
LOC101927948	0	0	0	0
LOC124906027	1	0	0	0
LOC105374820	0	0	0	0
LOC105374819	0	0	0	0
LOC105374821	1	0	0	6
LOC105374822	0	0	0	0
REG3G	0	0	0	0
REG1B	0	0	0	0
REG1A	0	5	2	0
REG1CP	0	0	0	0
REG3A	0	15	5	0
CTNNA2	205	73	38	262
LOC105374823	0	0	0	0
CTNNA2-AS1	1	0	0	1
MIR4264	0	0	0	0
MIR8080	0	0	0	0
LOC107985903	0	0	0	0
LRRTM1	40	457	285	40
LOC107985904	1	0	0	0
LOC105374824	0	1	0	0
LOC105374827	1	0	0	0
LINC01815	0	0	0	0
LOC102724542	0	0	0	0
LOC105374828	4	0	0	0
LOC105374829	0	0	0	0
LOC124906132	0	0	0	0
LOC105374831	0	0	0	0
DHFRP3	0	0	0	0
LOC105374832	0	0	0	1
LOC124908050	0	0	0	0
LOC105374833	0	0	0	0
LOC105374834	0	0	0	0
LINC01809	0	0	0	0
LOC107985905	1	3	0	0
FUNDC2P2	0	0	1	0
SUCLG1	1588	3168	3973	1176
DNAH6	15	32	38	24
TRABD2A	388	5	2	327
LOC105374837	1	0	0	4
LOC105374836	11	1	5	11
TMSB10	14675	7289	7949	11140
KCMF1	3584	1811	2244	3338
LINC01964	1	0	0	0
TCF7L1	611	195	190	1062
TCF7L1-IT1	9	1	0	17
LOC102724579	6	5	1	15
TGOLN2	2721	2265	2645	2578
RETSAT	543	600	821	672
ELMOD3	394	454	508	325
LOC124906137	0	0	0	1
CAPG	1488	271	269	1345
LOC105374841	11	3	4	9
SH2D6	22	5	14	15
PARTICL	78	42	53	68
MAT2A	5045	3657	3312	3318
GGCX	1546	1066	1148	1357
VAMP8	680	328	203	660
VAMP5	18	114	155	35
RNF181	1469	1721	2211	1376
TMEM150A	466	429	547	313
USP39	3697	1576	1904	3586
C2orf68	1398	956	1201	1271
SFTPB	15	1	0	16
LOC105374842	0	0	0	0
GNLY	5	0	0	6
LOC124907851	0	0	0	0
ATOH8	28	45	112	13
MIR6071	0	0	0	0
LOC284950	0	0	0	0
ST3GAL5	121	268	248	155
ST3GAL5-AS1	2	3	2	0
LOC124906030	1	0	0	0
LOC124906031	0	0	0	0
LOC105374843	2	0	0	0
POLR1A	5306	3934	4655	4315
LOC124907852	3	0	2	4
PTCD3	7638	3970	5929	6556
SNORD94	83	279	340	61
IMMT	5559	6579	8461	5241
MIR4779	0	0	1	1
MRPL35	1962	1279	1687	1437
REEP1	47	1810	1770	49
LOC124900517	0	0	0	0
KDM3A	1777	4046	5098	4421
RNF103-CHMP3	9	10	21	16
CHMP3	0	0	0	0
CHMP3-AS1	7	2	5	4
RNF103	343	1200	1106	320
LOC124907853	0	3	3	3
RMND5A	8486	7743	8397	7679
CD8A	6	2	3	8
LOC105374846	6	1	3	2
CD8B	26	0	0	14
ANAPC1P1	8	0	0	7
RGPD1	11	5	9	10
PLGLB1	0	4	2	0
ANAPC1P2	363	159	236	373
LOC102724642	101	37	44	103
MIR4771-1	0	0	0	0
LOC107985771	0	0	0	0
LINC01955	0	0	0	0
LOC107985908	0	0	0	0
LOC105374848	3	54	69	4
LOC124907854	5	26	25	7
LOC105377635	1	2	1	2
LINC01943	56	9	18	173
CYTOR	281	39	54	213
LOC107985909	7	5	3	17
MIR4435-1	1	1	0	0
LOC101928214	7	1	4	27
ANAPC1P4	75	25	42	79
PLGLB2	2	5	6	5
RGPD2	88	88	125	106
LOC124906185	0	0	0	0
LOC105374852	26	13	35	29
KRCC1	478	794	1177	525
SMYD1	4	23511	33497	4
MIR4780	0	4	5	0
FABP1	0	58	1	1
LOC101928347	1	1	1	1
THNSL2	133	503	693	99
LOC124907855	0	0	0	0
LOC124906155	0	0	0	0
FOXI3	271	28	6	209
TEX37	46	0	0	43
LOC101928371	34	1	0	26
EIF2AK3	1047	435	421	992
EIF2AK3-DT	22	7	25	28
LOC102724805	40	25	31	30
RPIA	563	223	229	570
LOC105374853	1	0	0	3
ANKRD36BP2	11	6	6	4
MALLP2	0	0	0	0
MIR4436A	0	0	0	0
LOC105374854	0	0	0	0
LOC124907856	0	0	0	0
LOC107985910	0	0	0	0
LOC107985911	3	15	30	4
KMT2CP4	0	0	0	0
LOC105374862	0	0	0	0
LOC124905368	0	0	0	0
LOC124905938	0	0	1	0
LSP1P4	8	28	25	5
KMT2CP5	0	0	0	0
GGT8P	16	0	0	17
ACTR3BP2	0	0	0	0
BMS1P23	15	15	23	3
LOC107985915	0	1	1	0
LOC100133920	0	1	0	0
AQP7B	0	0	0	0
LOC107985916	0	0	0	0
FAM95A	0	0	0	0
ANKRD20A8P	0	0	0	0
LOC442028	0	0	0	0
TEKT4	1	0	2	3
LOC105373487	0	1	0	0
LOC124906046	0	1	1	1
MAL	1	1	1	0
LOC124906047	0	0	0	0
LOC124907857	10	3	4	1
LOC105373488	1	0	0	1
MRPS5	1964	1516	2219	1725
ZNF514	605	681	946	629
ZNF2	171	273	320	177
ZNF892	876	503	555	804
PROM2	205	37	53	244
KCNIP3	26	8	11	20
LOC124907858	0	1	2	0
FAHD2A	1127	841	1351	1024
TRIM43B	2	0	0	0
LINC03052	0	0	0	0
TRIM43	0	0	0	1
LOC124905589	0	0	0	0
LOC101926959	0	0	0	0
LINC00342	32	72	91	45
ANKRD36C	226	235	268	288
FAHD2CP	21	32	33	18
LOC124900512	148	90	170	208
GPAT2	44	29	53	57
LOC105373494	1	0	0	0
ADRA2B	316	324	759	260
ASTL	13	1	0	21
DUSP2	235	50	50	125
STARD7	12650	9188	11891	9352
STARD7-AS1	109	275	344	99
SNORA112	0	0	1	4
TMEM127	1200	3941	3411	1001
CIAO1	3100	3148	3634	2827
SNRNP200	11021	9187	7910	16487
ITPRIPL1	640	48	54	438
NCAPH	2443	195	180	2131
NEURL3	1	3	0	1
LOC105373496	0	0	2	2
ARID5A	490	156	247	443
KANSL3	2440	3651	4237	2069
FER1L5	67	28	24	102
LMAN2L	1008	1651	2135	654
CNNM4	837	597	696	952
MIR3127	0	1	0	0
CNNM3-DT	13	7	5	9
CNNM3	972	509	523	904
LOC124907859	0	0	0	0
ANKRD23	155	56	68	146
ANKRD39	246	134	199	195
SEMA4C	3615	1942	2090	3118
LOC124908044	70	14	24	34
FAM178B	8	4	6	12
LOC101927053	0	1	0	0
LOC124906158	0	0	0	0
FAHD2B	703	680	1219	712
ANKRD36	361	356	518	485
LOC100506076	1	2	6	0
LOC124907860	0	0	0	0
LOC107985920	0	1	0	0
APPAT	0	0	0	0
