	SRX22253792	SRX22253793	SRX22253794	SRX22253795	SRX22253796	SRX22253797	SRX22253798	SRX22253799	SRX22253800	SRX22253801	SRX22253802	SRX22253803	SRX22253804	SRX22253805	SRX22253806	SRX22253807	SRX22253808	SRX22253809	SRX22253810	SRX22253811	SRX22253812
LOC107986446	1	3	0	1	1	0	4	4	2	0	4	14	7	1	19	2	10	5	15	1	1
LOC105379151	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0
LOC101927357	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
LINC02201	0	0	0	2	0	6	2	10	51	30	9	6	22	7	25	1	12	0	0	0	0
SNX2	2009	1951	2340	2556	2931	2748	3012	3560	2787	2185	1552	2512	2823	2081	3342	1563	2459	1530	1802	1971	2147
LOC105379154	5	5	12	8	11	9	12	7	26	35	31	40	27	27	32	12	29	1	5	3	4
SNX24	373	288	710	638	882	938	853	1118	1228	944	581	965	1067	813	1077	669	976	257	291	356	479
LOC124901213	2	0	3	3	8	4	1	6	13	6	8	2	3	3	8	12	2	1	3	1	2
PPIC	137	119	261	238	324	474	467	676	2310	1818	1909	2269	2112	1803	2676	1775	1966	95	162	123	203
PPIC-AS1	5	2	12	9	6	15	10	16	35	21	20	17	30	25	46	22	38	1	10	7	7
PRDM6-AS1	1	0	14	8	13	34	50	79	121	108	86	144	108	84	201	65	105	0	0	0	0
PRDM6	2	3	52	53	53	504	610	1006	418	270	259	579	296	139	743	423	245	3	2	1	1
CEP120	973	574	1002	883	951	627	640	1026	879	781	415	768	804	776	766	673	779	556	986	665	1040
CSNK1G3	1461	1256	1242	1129	1496	825	778	1375	1277	1034	717	1402	1317	1284	1555	1019	1171	1105	1448	1446	1671
LINC01170	3	4	1	11	18	23	9	16	6	5	7	1	2	6	12	0	1	0	0	0	3
LOC101927397	1	3	3	3	16	4	11	19	7	3	10	0	3	4	5	0	1	1	0	1	1
LOC107986448	1	0	1	3	3	3	1	3	0	0	0	0	1	0	1	0	0	4	1	0	1
LOC105379155	0	0	1	0	0	0	0	2	0	0	0	5	0	0	0	0	0	1	0	0	1
ZNF608	914	1131	3716	3977	5284	3009	3528	4632	3569	2815	2759	2513	3171	3017	3336	1695	2960	912	963	941	840
LOC105379156	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379157	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0
LOC107986391	2	2	2	2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
LOC124901055	1	4	3	10	11	0	2	0	0	0	0	0	0	0	1	0	0	1	3	3	0
LOC105379158	0	1	1	2	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC101927421	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	1
LOC124901056	1	0	0	0	0	0	0	0	3	1	0	2	1	1	0	0	2	0	0	0	0
LINC02240	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LINC02039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAMD2B	186	185	130	213	194	123	179	280	942	1180	458	934	950	1020	479	730	1187	357	538	451	234
LOC101927514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH7A1	3908	4247	4039	4926	5799	2467	2925	4019	2334	2128	1555	3188	3132	3132	2905	1761	3258	4349	5149	5243	4908
PHAX	1783	1745	1771	1867	2093	1000	975	1518	1393	931	674	1427	1579	1355	1640	1037	1141	1803	2064	2282	2060
TEX43	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	6	1	0	0
LOC105379162	0	2	2	11	3	0	0	0	0	0	0	0	0	0	0	0	0	3	6	9	4
LMNB1-DT	1	2	2	2	8	0	0	3	0	2	5	1	5	6	2	1	0	4	2	0	1
LMNB1	6420	8038	9217	11220	12388	3776	4442	6373	1678	1500	641	2881	1968	2240	2005	917	2368	7613	8073	9109	7723
MARCHF3	141	121	57	62	82	59	91	108	1081	552	736	657	539	660	1214	492	455	155	200	176	178
LOC105379163	24	12	6	10	8	5	5	5	23	15	20	21	14	17	36	11	25	7	16	9	22
C5orf63	62	54	64	28	59	44	19	35	34	27	23	38	10	25	15	11	28	33	56	47	119
LOC105379198	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	3	1
MEGF10	444	199	318	371	370	54	154	156	87	27	324	70	21	52	58	109	32	883	1002	1028	828
LOC124901057	9	6	7	0	1	2	4	5	1	1	0	3	0	3	0	4	2	3	11	17	21
LOC105379199	5	0	2	1	3	0	2	1	0	0	3	0	0	0	0	1	0	8	8	9	7
PRRC1	1523	1850	2146	2207	2561	2613	2594	3584	2428	1743	1523	3202	3067	3559	3771	3866	3288	1952	1965	2434	1739
LOC124901058	0	2	0	3	0	0	0	3	7	3	3	2	3	0	0	1	4	1	0	2	0
CTXN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC192	7	12	7	4	4	4	6	2	6	1	2	3	4	1	1	3	1	13	24	14	18
LOC124901059	0	0	3	0	0	0	0	0	2	3	1	1	6	3	3	0	3	0	0	1	1
SLC12A2-DT	194	145	177	173	183	160	166	209	312	293	259	365	258	287	338	182	246	107	173	135	297
SLC12A2	611	585	849	701	757	655	665	890	3237	1325	823	1561	1997	5255	1380	1569	2050	626	696	748	682
FBN2	1933	2241	25329	35373	34655	7811	9633	12507	27887	20669	32915	11964	14159	12601	14910	10396	17203	1108	1444	1261	1725
LOC105379167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379168	0	1	3	2	1	0	1	1	5	0	0	1	2	0	2	1	2	0	0	0	0
SLC27A6	158	139	441	401	545	71	65	129	2832	1111	3805	1230	856	1154	154	729	1384	139	154	184	133
LOC102723638	0	1	0	4	2	0	0	0	9	11	27	4	8	1	0	4	0	1	0	0	2
LOC124901060	2	2	2	4	4	1	2	2	15	23	27	27	21	15	16	11	26	2	1	0	4
ISOC1	872	919	972	790	905	435	455	714	2009	1302	1598	1639	1117	1393	788	831	1631	537	537	605	768
MIR4633	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
LOC102723654	1	0	0	1	0	0	0	1	0	0	3	2	1	1	0	0	3	0	0	0	0
LOC105379169	4	3	0	0	1	0	1	0	0	6	1	1	1	0	0	0	5	0	1	0	1
MIR4460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19-AS1	172	116	33	28	29	47	40	53	11	42	10	52	70	21	37	9	90	30	25	33	157
ADAMTS19	4640	3187	1184	1032	1104	1931	1248	2121	251	1009	180	877	1427	718	549	175	2320	787	852	965	5230
MINAR2	10	1	1	3	3	4	2	0	0	1	0	1	4	0	0	1	1	5	0	3	12
LOC112267944	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0
CHSY3	48	45	31	46	24	40	29	48	333	113	208	725	161	306	475	790	309	43	33	45	37
LOC105379171	1	0	0	0	0	0	1	1	23	11	9	3	4	3	8	4	2	0	0	0	0
LOC107986449	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	4	0	4	0	2
LOC105379172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HINT1	3246	3564	3184	3306	3854	2648	2593	3529	4233	3265	2115	4475	4393	3906	2908	1981	4530	3020	3162	3402	3537
LYRM7	703	671	473	503	506	360	327	514	685	493	493	513	445	414	649	327	483	511	594	622	835
LOC124901061	1	0	1	0	0	0	0	1	1	2	0	0	1	2	2	1	0	1	0	0	0
CDC42SE2	1428	1401	1471	1378	1626	915	1072	1412	1367	1027	663	1007	1247	1284	743	702	1155	1099	1447	1409	1508
LOC105379173	11	7	12	8	7	13	12	10	11	10	12	8	3	4	2	5	9	10	38	7	9
RAPGEF6	833	777	938	815	802	573	763	977	844	691	463	605	717	912	809	592	838	759	970	969	901
FNIP1	544	425	640	600	829	696	768	997	1143	1002	1016	1097	1274	1027	1190	1009	1005	465	653	533	566
MEIKIN	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ACSL6	56	102	6	10	12	7	13	17	19	12	5	11	5	3	5	2	5	62	104	73	50
ACSL6-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0
LOC124901062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379174	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3
IL3	0	6	8	1	1	0	2	2	9	3	0	0	0	0	0	0	0	0	1	2	4
CSF2	2	11	12	1	4	2	2	1	16	5	0	0	0	1	0	0	0	0	9	4	4
P4HA2-AS1	0	0	0	0	0	0	1	0	1	1	1	6	3	0	7	10	4	0	0	0	0
P4HA2	270	244	267	389	494	639	658	877	1579	1123	1087	4660	2618	3178	4605	5735	2007	241	216	186	291
MIR6830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDLIM4	96	89	127	136	191	125	151	202	127	144	56	886	367	596	682	990	471	72	101	85	120
LOC124901063	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLC22A4	4	13	6	4	0	5	5	5	40	22	43	29	39	34	53	45	41	8	5	11	9
MIR3936HG	8	12	2	2	6	6	6	5	23	24	23	23	43	26	36	7	27	3	4	3	5
MIR3936	0	1	3	0	1	0	1	1	7	6	4	3	3	5	3	3	0	0	3	1	0
SLC22A5	73	57	111	109	125	154	125	216	248	227	159	372	448	434	399	260	522	41	54	53	107
IRF1-AS1	2	7	2	5	5	2	2	10	21	52	11	44	34	39	25	16	72	4	6	8	9
LOC124901064	3	4	3	0	6	2	5	10	17	18	2	13	11	17	2	5	13	5	16	5	8
IRF1	87	142	129	105	203	96	326	262	513	693	123	557	510	646	179	389	904	144	201	173	149
IL5	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0
RAD50	3329	2878	2942	2812	3122	1859	1724	2739	2792	1799	1661	1639	2067	2081	1829	1324	2127	1816	2164	2592	4312
TH2LCRR	2	1	0	5	3	0	0	0	2	0	0	3	2	2	3	4	5	3	2	3	7
IL13	0	0	2	0	0	0	0	0	3	2	1	1	0	0	0	0	0	0	0	0	0
IL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379176	0	3	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	2
KIF3A	763	668	774	772	971	549	549	830	786	573	506	585	874	687	653	653	599	718	881	800	778
CCNI2	8	10	11	5	16	6	7	17	4	9	9	19	17	25	5	13	10	17	20	24	39
SEPTIN8	1431	1386	2017	2156	2705	2972	3237	4286	3183	2866	1968	5554	5164	4842	3242	3693	5293	1188	1458	1282	1964
SOWAHA	11	9	4	2	3	17	56	53	23	34	2	136	230	115	4	54	240	5	13	4	7
SHROOM1	48	41	66	57	91	118	95	158	140	106	56	329	477	377	165	184	257	82	77	77	88
LOC124901190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDF9	4	4	6	8	19	8	6	21	5	15	15	11	11	8	17	7	11	1	3	3	6
UQCRQ	474	520	493	615	604	410	461	423	2157	1696	1349	1850	2141	1811	2207	973	1620	629	637	647	473
LEAP2	11	12	6	2	6	24	34	32	17	65	10	148	331	59	6	3	188	8	10	15	21
AFF4	3579	3181	5074	5404	5397	5950	6576	8465	9005	7671	5888	6719	9145	8086	9786	6919	7692	2867	3687	3423	3926
LOC124901065	4	0	3	2	4	0	2	0	0	0	0	1	5	2	6	0	2	0	2	0	3
ZCCHC10	347	364	507	458	512	361	348	538	549	380	354	335	394	341	340	250	386	410	522	575	449
HSPA4	12204	14711	12625	12892	13245	7398	7788	11054	9701	6947	6408	7019	8955	7913	10049	5485	6944	16309	17629	21148	13680
LOC105379178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSTL4	42	31	38	36	57	3	6	3	2	4	2	2	22	6	7	4	18	53	42	46	42
CTB-49A3.2	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	4	0
LOC124901067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC124901068	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-3M24.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MIR1289-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901066	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3
LOC124901210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WSPAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379182	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	0	0	0
C5orf15	795	994	1422	1458	1731	986	1016	1506	2169	1519	1297	2326	2386	2448	2601	1730	2244	1156	1092	1217	1032
LOC105379183	1	0	0	0	0	3	2	2	0	3	1	3	2	0	0	4	2	1	2	1	2
VDAC1	5889	7166	4903	5436	6071	3986	4323	5611	7712	6370	3990	7147	6854	7033	6300	4394	6637	6265	6956	7387	6037
LOC124901069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF7	975	1177	534	564	721	354	444	543	405	342	94	378	555	624	311	354	381	237	375	348	1069
SKP1	4772	5976	7039	7924	8328	4401	4843	6307	9514	7462	6061	8277	8090	7322	8413	4795	7206	5213	5729	6073	5297
PPP2CA	3646	3317	5110	4798	5017	2942	3012	4410	6018	4303	3659	5143	5241	4595	4752	3135	4333	3983	4427	5035	4352
MIR3661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKL3	87	120	100	117	143	97	107	184	85	80	79	126	97	105	139	102	106	48	66	63	100
UBE2B	223	297	342	371	453	358	363	493	1190	805	777	737	780	783	698	504	753	251	321	259	325
CDKN2AIPNL	709	832	802	895	893	469	383	604	411	288	240	602	435	455	539	253	449	650	736	728	928
LINC02999	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	3	7	2	4
LINC01843	0	0	0	0	1	1	0	1	4	0	0	1	3	2	0	2	1	0	1	3	0
LOC124901070	4	3	4	2	3	0	3	4	1	0	1	3	1	1	5	2	7	0	4	6	4
JADE2	790	871	1031	1165	1201	433	470	616	368	208	165	780	497	749	655	636	727	1117	1065	1328	1352
LOC124901191	1	2	2	2	2	2	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0
SAR1B	495	422	432	518	592	712	740	1103	2514	1880	1816	1936	2019	1719	1774	1469	1901	517	641	659	503
SEC24A	1254	1345	1406	1673	1727	2209	2419	3187	1484	1215	880	2202	2020	2073	2185	2398	1837	1529	1779	1818	1414
LOC124901192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMLG	1248	1174	786	782	990	690	748	1066	612	503	392	1180	711	691	906	744	891	826	1142	956	1335
DDX46	3873	4073	5313	5558	5317	2225	2321	2953	2751	2126	1658	2641	2736	2529	2847	1624	2585	5097	5006	5994	5045
C5orf24	423	508	936	907	1071	881	882	1358	4485	3090	3115	3321	3395	3271	4485	2426	3039	461	500	547	475
TXNDC15	456	579	692	770	1006	517	544	806	1212	892	795	1643	1224	1192	1601	1169	1206	632	648	707	534
LOC124901071	8	3	0	1	2	2	1	0	1	2	1	4	0	2	2	3	0	0	2	0	0
PCBD2	257	181	156	160	171	112	70	102	420	325	291	250	336	257	245	130	256	203	243	162	297
CATSPER3	13	22	10	16	14	15	15	6	39	23	34	15	21	17	37	13	15	15	25	19	31
PITX1	0	2	143	190	181	350	278	380	61	22	28	297	218	261	159	722	125	0	0	0	0
PITX1-AS1	21	29	74	69	75	54	70	89	50	59	118	104	72	80	61	49	62	11	10	9	27
EPIST	0	0	1	3	1	3	1	0	0	1	0	1	2	0	0	0	0	0	0	0	1
LOC124901072	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02900	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MACROH2A1	1400	1599	3173	3415	4268	3184	3014	4500	5133	3404	4090	5830	5796	5768	6044	3527	5092	982	935	1174	1895
DCANP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIFAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEUROG1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CXCL14	112	155	70	103	151	119	148	180	18	13	24	645	1595	439	489	443	169	72	48	25	58
SLC25A48	29	36	18	21	33	5	8	12	10	1	17	31	25	7	74	4	4	24	16	8	46
SLC25A48-AS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MIR5692C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986453	1	1	0	0	1	0	0	0	0	0	0	0	5	1	4	0	0	0	0	0	0
LOC124901074	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
IL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL21P	27	37	8	1	6	1	1	1	6	0	1	8	9	14	3	1	12	21	25	26	24
LECT2	0	2	0	0	0	0	0	0	1	2	0	25	50	8	0	0	17	1	2	0	0
LOC105379189	0	0	0	0	0	0	1	0	1	0	0	5	2	0	0	2	4	0	1	0	0
TGFBI	207	183	131	155	131	2014	3471	4311	5360	5468	1360	54680	12017	21867	3368	44557	39464	236	224	202	241
VTRNA2-1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0
SMAD5-AS1	0	3	2	1	1	1	1	2	1	0	1	3	0	0	0	1	6	1	1	1	0
SMAD5	2290	2616	3036	2677	3289	2420	2261	3496	2490	2088	1581	2594	2596	3056	2460	2288	2866	1864	2061	2432	2262
SMIM32	3	6	9	8	4	21	15	24	18	7	4	24	58	39	4	27	27	2	1	4	1
TRPC7	3	10	11	4	21	0	0	0	0	0	0	1	0	1	1	1	0	3	7	7	3
TRPC7-AS1	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	1	0	1	0	0
TRPC7-AS2	3	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	1
LOC124901075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC124901076	22	30	5	5	3	2	1	3	6	6	9	9	7	6	0	0	0	11	13	12	14
CTB-1I21.1	36	55	37	35	57	12	13	16	22	15	22	42	23	23	4	26	0	46	57	44	55
SPOCK1	689	730	319	329	295	113	85	145	4817	1398	9306	4389	2347	2903	2469	2793	2583	872	988	901	724
LOC105379192	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KLHL3	266	228	291	310	410	234	164	315	1037	1017	1064	762	582	860	427	375	899	342	412	358	405
MIR874	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HNRNPA0	5893	6400	8250	8078	9965	5306	5286	7043	5442	4127	3433	10186	8816	8863	10285	5776	8297	6537	6610	7373	6637
NPY6R	1	3	3	3	0	2	1	0	1464	438	971	219	253	319	764	125	269	0	1	2	0
PKD2L2-DT	21	23	10	21	21	15	12	22	20	8	10	12	7	9	5	3	14	15	19	11	18
LOC107986368	0	0	0	0	0	0	0	0	1	0	3	0	1	2	3	0	0	0	1	0	0
MYOT	4	2	4	7	0	1	0	2	27	12	11	6	1	4	3	5	3	1	2	1	3
PKD2L2	3	2	1	5	3	1	0	3	1	1	6	3	0	1	3	0	1	3	0	4	3
FAM13B	551	407	648	502	510	317	309	503	2115	1380	1330	674	1243	836	1803	364	977	348	398	326	630
FAM13B-AS1	2	11	9	3	10	0	0	0	13	6	12	3	6	5	7	0	10	7	3	10	10
LOC124901077	2	0	0	1	1	0	1	0	4	0	5	2	0	1	0	0	0	0	1	0	0
WNT8A	11	38	261	153	432	0	0	1	0	0	1	2	0	1	1	4	2	0	0	1	14
NME5	15	25	93	83	89	30	25	42	107	64	87	57	66	80	64	39	77	13	6	18	22
LOC124901208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRD8	886	1196	1675	2053	2591	1001	983	1603	1404	1053	1057	1536	1418	1479	1805	856	1364	1215	1434	1569	1163
KIF20A	1922	2548	2093	2802	3653	1175	1328	1707	943	470	146	2126	619	876	848	350	1494	2053	2278	2397	2053
CDC23	1565	1418	1790	1673	1958	1535	1488	2179	1647	1220	1066	1862	1592	1607	1910	1233	1624	1193	1495	1318	1806
GFRA3	39	27	21	26	32	21	22	21	40	28	7	126	51	158	67	81	105	36	34	27	61
CDC25C	636	601	642	817	1113	427	495	645	101	76	23	352	105	166	146	64	160	554	716	682	723
LOC100128966	24	17	25	26	27	20	16	19	0	0	0	2	1	3	0	0	5	22	25	27	44
FAM53C	1739	1606	1871	2013	2505	1187	1270	1816	1969	1733	1361	2603	2856	2754	3023	1640	2490	1515	1991	1795	2126
KDM3B	3262	3512	6423	7582	8221	4755	5179	6747	5383	4570	4116	5080	5853	6035	6212	3639	6252	3751	4069	4709	3847
REEP2	603	527	453	516	630	248	240	284	834	771	707	848	951	1022	1101	663	798	547	771	646	681
EGR1	121	257	334	382	308	481	541	1322	1269	737	292	5463	1206	2146	1491	1528	1651	569	167	104	143
LOC124901078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETF1	7333	6528	6092	6332	5871	3748	4041	5393	5107	3743	2762	4472	4925	4430	5193	3251	3717	6353	7220	8103	8126
HSPA9	16638	14923	11050	10220	10083	7815	6272	9689	10157	8046	5746	7142	8991	7623	8247	4655	6580	12810	13039	16511	21825
SNORD63B	7	11	6	2	8	4	3	8	4	3	7	2	1	0	2	2	1	6	11	7	7
SNORD63	11	3	8	0	2	4	5	7	4	3	1	1	1	2	0	0	3	6	5	4	10
LOC105379193	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
LOC124901196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNA1-AS1	4	1	1	0	3	5	1	0	7	7	7	3	5	8	3	2	11	2	1	4	1
CTNNA1	8564	9226	10390	12663	13017	9084	9302	11989	18876	15622	12631	18978	18879	19639	19659	12217	16879	9841	10990	11266	9697
LRRTM2	6	2	6	1	0	3	2	1	2	0	7	2	1	4	1	3	2	2	9	0	3
SIL1	119	100	155	181	218	202	230	285	534	442	420	897	768	847	1132	830	704	49	73	59	80
LOC124901079	10	4	9	5	13	13	13	9	24	10	57	12	16	18	17	18	34	12	27	12	12
LOC124901080	1	0	3	1	6	0	1	0	2	1	4	0	2	0	0	1	3	3	3	2	4
LOC124901081	13	2	1	2	1	0	1	0	0	1	1	0	0	0	0	0	0	3	2	8	3
MATR3	14706	15764	19693	19585	21754	8718	8856	13016	14043	11520	10044	10750	11067	10186	12952	6421	11043	16081	17186	20548	17617
SNHG4	1597	1706	726	640	739	123	84	108	82	68	56	64	87	57	94	38	56	1471	1587	1865	2213
SNORA74D	10	9	7	2	2	0	0	2	0	1	0	0	0	0	0	0	1	16	14	6	3
SNORA74A	2	5	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	4	3	2	3
PAIP2	2479	2737	3313	3777	4144	2177	2261	3258	3032	2428	1959	2653	2147	2092	2493	1530	2282	3553	3732	3979	2797
SLC23A1	7	3	11	10	21	49	46	69	6	31	4	51	105	20	16	5	42	10	15	17	7
MZB1	2	1	5	1	5	3	3	3	4	6	0	1	0	0	0	0	1	3	5	2	2
PROB1	48	41	122	120	233	59	67	80	71	74	62	162	68	81	42	91	156	65	69	69	49
SPATA24	104	105	129	169	214	91	86	154	99	105	94	84	108	112	106	102	149	93	80	83	114
DNAJC18	610	452	610	622	775	382	391	494	674	582	480	876	630	635	1083	574	741	501	651	482	832
LOC124901082	0	0	1	0	1	1	0	0	0	2	4	4	0	0	2	0	1	0	0	0	2
ECSCR	11	17	36	56	44	17	3	7	13	16	6	91	4	18	25	16	13	75	58	62	23
SMIM33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STING1	21	21	16	7	21	12	48	26	1712	1514	956	2022	1587	1807	2276	828	1565	15	43	11	43
LOC124901083	48	20	4	15	6	3	2	0	1	1	0	18	7	3	2	1	10	20	22	18	66
UBE2D2	4181	3095	2741	2655	2836	1880	1790	2621	3163	2499	1923	3556	3260	2951	3016	2026	3030	2335	2770	2785	5067
CXXC5	1232	931	2364	2612	3327	1041	935	1487	1983	1027	1073	3067	2947	4752	2679	2740	2987	877	1099	1165	1576
CXXC5-AS1	1	2	0	0	1	0	1	0	0	0	0	1	1	0	2	0	0	0	3	2	1
LOC124901084	0	0	4	0	0	0	0	0	2	2	1	0	0	0	2	0	1	0	0	0	0
LOC124901085	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
PSD2-AS1	2	1	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	2	2	0	3
PSD2	9	31	41	53	90	25	14	23	5	0	0	23	13	28	8	21	17	20	49	19	18
NRG2	1	1	477	543	947	165	95	150	12	27	15	84	23	16	34	31	38	8	2	3	4
LOC124900193	10	11	9	3	10	4	7	11	13	7	10	33	18	12	16	6	10	6	5	4	16
MALINC1	2	2	2	0	0	0	2	0	4	3	1	2	6	3	0	2	0	0	0	0	3
PURA	341	256	553	539	564	285	399	562	930	613	953	741	682	656	811	605	790	205	311	277	458
IGIP	24	21	32	19	25	27	41	23	121	57	127	137	65	71	102	78	99	10	26	11	29
LOC124901086	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
LOC101929719	0	0	0	1	4	1	0	1	0	0	3	0	0	0	3	1	0	0	0	1	0
CYSTM1	280	284	241	278	351	191	207	301	982	698	385	988	1121	1140	1156	497	858	283	368	362	352
PFDN1	778	863	1027	1148	1260	782	916	1086	2107	1542	1189	2486	2299	2096	2373	1356	1745	846	930	941	823
HBEGF	147	156	49	94	67	39	34	69	1519	1356	541	1430	1597	1389	936	1184	725	82	150	110	76
SLC4A9	3	2	1	0	11	1	0	1	4	0	2	3	0	0	5	4	0	5	8	2	2
LOC124901087	4	1	7	0	4	4	3	2	1	1	4	0	0	0	4	1	2	1	5	2	0
ANKHD1-EIF4EBP3	1	1	2	3	3	3	1	0	6	14	6	3	6	2	5	2	6	0	6	0	0
ANKHD1	29	36	35	35	37	20	36	22	43	27	24	27	22	35	25	14	22	47	66	57	46
EIF4EBP3	1	1	0	5	4	2	4	2	3	5	3	4	2	3	3	2	4	2	0	1	6
SRA1	830	954	658	757	791	588	643	858	998	872	634	1398	1185	1335	1651	1230	954	498	646	612	889
APBB3	108	110	279	227	411	206	203	326	158	187	159	514	295	397	540	293	270	114	133	115	133
MIR6831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35A4	1215	1385	1577	1869	2126	1014	1196	1528	2187	1810	1107	3097	2868	2947	3469	1822	2422	1384	1288	1711	1306
