	SRX2023641	SRX2023642	SRX2023643	SRX2023644	SRX2023645	SRX2023646	SRX2023647	SRX2023648	SRX2023649	SRX2023650	SRX2023651	SRX2023652	SRX2023653	SRX2023654	SRX2023655	SRX2023656	SRX2023657	SRX2023658	SRX2023660	SRX2023661	SRX2023662	SRX2023663	SRX2023664	SRX2023665	SRX2023666	SRX2023667
DUSP1	36	22	30	24	24	33	53	67	622	730	643	817	585	0	149	135	300	255	221	204	312	290	50	66	41	39
LOC105377730	2	1	0	1	2	1	3	2	3	0	2	7	2	0	2	0	1	1	0	2	3	2	1	0	3	2
ERGIC1	251	196	222	122	292	211	386	460	1187	1112	1634	1765	1426	0	545	507	491	508	294	334	380	309	224	201	242	217
LOC124901135	1	1	2	1	4	4	17	14	17	13	28	26	25	0	14	7	10	9	5	6	3	0	3	3	2	3
MIR10523	0	0	0	0	0	0	0	2	3	6	1	2	1	0	1	2	3	1	2	2	1	2	0	0	1	0
RPL26L1	244	127	189	85	212	141	254	295	527	478	510	644	432	0	390	276	342	333	208	189	193	247	169	207	231	240
RPL26L1-AS1	13	0	2	2	7	0	11	14	28	31	46	37	42	0	14	11	11	9	10	15	13	22	7	6	4	9
ATP6V0E1	251	236	301	149	328	243	565	631	2232	2294	2356	2711	2027	0	609	483	561	529	316	344	415	501	397	513	579	634
SNORA74B	0	2	1	0	0	0	6	8	5	6	12	9	11	0	4	3	3	1	3	1	1	0	1	1	0	0
CREBRF	136	27	32	27	63	33	95	103	234	240	276	287	242	0	60	60	64	87	294	292	151	235	243	263	248	266
BNIP1	39	26	23	7	32	23	27	34	75	74	96	89	82	0	62	45	42	45	26	39	34	51	34	41	27	49
NKX2-5	1	0	0	0	0	0	2	3	106	53	33	31	28	0	408	413	280	276	408	388	390	339	586	598	675	610
LOC105377731	1	0	0	0	1	0	0	0	0	2	3	5	3	0	8	9	9	7	13	8	1	2	40	27	4	3
LOC124901136	6	1	0	0	2	2	4	4	43	34	100	113	86	0	27	17	12	19	6	4	2	4	13	15	4	7
MIR12118	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	1	1	0	0	2	0	0	3	1	0	0
STC2	386	259	367	141	331	359	128	141	1726	1647	2797	2500	2438	0	2171	2077	3441	3355	351	365	404	478	94	93	119	130
LOC124901137	2	2	3	4	1	5	6	3	17	14	25	16	24	0	46	28	132	113	5	12	7	9	4	1	2	2
MIR8056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC105377732	0	0	0	0	0	0	0	1	1	3	1	1	1	0	1	0	2	1	18	14	2	1	9	1	1	0
LOC105377733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
LINC02995	1	1	2	0	0	0	9	4	5	3	5	16	5	0	6	7	2	4	9	8	4	5	11	6	4	6
BOD1	834	562	653	321	753	621	693	780	1043	1005	1009	1087	908	0	956	788	906	991	494	537	260	334	368	425	388	414
LINC01863	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LINC01942	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LINC01484	0	0	3	1	5	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC107984118	17	17	24	9	19	22	2	9	1	2	0	2	0	0	0	0	5	0	1	0	0	0	3	2	0	0
LOC124901138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CPEB4	168	154	272	103	300	202	307	344	3277	2448	1727	1791	1555	0	1175	1399	803	1111	1833	1955	3058	3718	2864	2914	2550	2408
C5orf47	2	2	7	2	3	0	2	1	3	7	10	8	9	0	0	1	0	0	5	3	11	15	11	16	13	10
NSG2	2	1	0	0	0	1	3	1	5	2	0	7	0	0	5	1	0	0	5	5	2	6	2	9	5	5
LOC102724551	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
LOC124901139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
LINC01411	0	0	0	0	0	0	1	1	2	2	0	1	0	0	1	0	0	0	0	3	2	1	1	1	2	3
LOC105377739	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
LOC105377740	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MSX2	2	4	2	1	4	1	578	620	313	295	297	309	268	0	682	741	392	401	873	913	280	274	393	458	393	349
MIR4634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377742	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	5	0	0	4	1	0	0
LINC01951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	2	1	0	0
LOC107986484	0	1	1	0	0	2	1	3	0	0	0	1	0	0	0	0	1	0	3	0	0	0	5	13	2	0
DRD1	2	0	0	0	0	0	12	10	4	8	31	25	28	0	0	1	10	5	228	204	1	0	1223	1342	314	312
LOC124901204	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SFXN1	411	245	342	169	378	311	931	973	997	894	1296	1368	1126	0	543	552	498	502	618	604	403	483	471	551	464	425
HRH2	128	60	60	30	85	79	64	87	71	44	98	116	84	0	105	92	53	56	135	118	35	28	136	115	98	84
LOC105377743	4	3	9	5	6	7	35	26	6	7	12	14	12	0	7	12	4	14	14	25	3	5	9	13	5	8
LOC124901140	5	5	3	1	4	2	5	10	1	3	6	11	6	0	2	0	4	4	2	6	0	1	0	0	0	0
CPLX2	14	10	15	10	21	11	36	34	11	3	5	11	3	0	8	12	15	21	21	8	2	3	7	1	1	2
LOC105377744	4	9	2	3	3	7	25	33	0	2	10	10	9	0	5	5	7	2	6	8	0	0	4	4	4	2
THOC3	282	130	120	86	197	160	209	281	393	333	423	458	364	0	210	146	197	183	108	96	48	78	85	84	62	78
THOC3-AS1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900194	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC124901141	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	0	0	0	1	0
LOC100996385	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAM153B	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
LOC107986487	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC643201	4	1	0	1	1	1	24	24	18	3	10	12	8	0	24	18	6	6	31	21	2	4	29	18	19	17
SIMC1	180	123	139	41	119	116	511	577	529	367	586	614	503	0	427	514	300	338	295	284	212	225	206	242	232	226
KIAA1191	1114	730	617	302	846	677	1526	1645	2731	2291	2300	2571	2014	0	2311	1978	1555	1441	1244	1343	1543	1415	1240	1302	1458	1513
ARL10	153	122	136	51	125	94	226	288	978	874	1038	1105	935	0	271	281	215	219	573	528	393	377	321	314	294	309
MIR1271	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
NOP16	286	284	338	151	354	306	329	364	338	269	291	302	253	0	196	140	229	182	178	171	122	160	107	142	158	139
HIGD2A	429	297	247	132	348	301	491	544	868	777	754	865	617	0	931	835	755	693	672	741	696	655	713	819	842	929
CLTB	41	39	28	13	38	25	31	47	256	270	242	258	210	0	104	74	110	100	69	91	166	168	181	186	209	237
FAF2	432	331	452	191	477	345	1219	1417	2287	2006	2428	2627	2142	0	1016	907	904	918	383	461	439	424	429	465	427	472
LOC124901142	15	11	10	3	18	8	81	78	51	85	97	94	86	1	40	82	52	30	18	9	12	19	17	23	15	9
RNF44	749	590	538	268	737	522	653	751	493	433	599	529	522	0	887	890	1066	1028	545	569	442	430	242	245	284	251
LOC124901143	3	2	1	0	6	1	14	7	4	9	8	2	7	0	2	8	5	3	7	3	0	1	4	6	2	6
CDHR2	1	1	3	1	5	10	9	20	6	2	2	2	0	0	4	7	8	8	8	1	1	6	2	3	4	1
GPRIN1	10	36	24	11	22	13	30	21	6	3	3	9	3	0	7	3	1	5	1	4	1	3	1	2	3	2
SNCB	6	4	7	2	9	5	0	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
MIR4281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E1B	8	5	5	1	3	5	2	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
TSPAN17	168	157	140	64	160	127	136	159	231	239	239	230	205	0	119	123	147	119	69	68	121	110	101	100	128	132
LOC124901144	1	0	1	0	2	1	1	2	3	1	2	2	1	0	3	3	2	0	2	5	0	6	2	3	0	0
LINC01574	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
UNC5A	34	60	31	17	28	44	17	21	2	6	2	2	2	0	1	1	0	1	1	0	2	1	2	3	7	5
HK3	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0
UIMC1	235	127	156	74	174	155	386	533	436	395	427	394	376	2	117	156	127	178	174	160	98	152	211	224	207	216
LOC124901145	4	2	8	4	7	9	57	49	35	42	52	67	45	0	34	22	18	11	10	11	5	9	20	20	10	11
ZNF346	201	119	136	56	167	133	346	397	408	336	396	401	344	0	312	286	278	236	195	226	254	245	176	182	182	178
FGFR4	139	186	184	85	238	142	76	87	44	42	49	50	44	0	89	104	129	178	6	7	4	5	2	2	7	5
NSD1	2853	2704	3621	1497	3278	2831	7714	8409	5272	4550	5766	5957	5154	0	3263	3442	3443	4288	2328	2495	2418	2494	2079	2189	1683	1650
RAB24	92	43	54	29	43	45	93	97	124	132	108	123	95	0	82	79	72	69	156	134	67	92	109	105	115	119
PRELID1	216	218	220	105	247	235	144	147	249	207	291	300	239	0	271	253	231	211	64	71	85	99	63	58	66	60
MXD3	31	12	11	7	9	6	20	36	24	22	29	27	23	0	53	43	39	37	17	20	10	12	13	15	11	12
LMAN2	650	476	521	249	707	481	584	614	1215	1394	1425	1610	1269	0	1083	839	1001	947	385	407	468	505	416	399	446	433
RGS14	51	25	16	15	26	15	15	5	10	19	12	14	10	0	21	13	17	31	22	29	11	12	17	12	12	9
SLC34A1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PFN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F12	18	16	6	1	11	9	0	0	0	5	2	0	2	0	3	1	9	1	1	1	2	1	1	1	1	0
GRK6	107	76	65	32	94	69	48	55	79	109	95	110	81	0	111	133	124	132	50	47	39	62	43	50	46	50
PRR7-AS1	5	2	3	2	0	1	0	5	11	7	6	4	6	0	8	7	8	8	5	6	1	2	3	2	4	5
PRR7	8	8	4	1	5	6	4	4	2	4	1	2	1	0	2	9	5	4	3	1	1	3	1	1	3	1
DBN1	684	532	748	270	795	568	845	997	1884	1914	2013	2154	1689	0	1018	1013	1213	1154	344	332	522	512	414	440	454	518
PDLIM7	230	85	150	67	131	104	232	288	1657	1546	1415	1563	1212	0	1090	1184	1283	1141	349	333	582	616	437	491	324	330
DOK3	9	11	18	12	15	16	75	59	69	50	40	33	35	0	42	62	86	74	2	3	10	13	6	13	7	8
DDX41	309	221	234	135	290	242	331	354	508	433	476	471	415	0	526	411	519	509	348	321	158	206	191	179	188	183
FAM193B	166	78	81	38	108	85	216	224	303	251	293	319	252	0	240	268	281	297	148	121	104	130	90	72	72	77
FAM193B-DT	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1
TMED9	94	55	60	30	70	70	150	151	836	640	536	508	445	0	147	102	199	162	62	70	89	106	55	64	74	83
B4GALT7	35	28	28	14	26	14	35	53	104	140	95	97	83	0	64	64	91	76	33	29	28	42	39	29	36	41
LOC202181	75	29	56	29	36	44	207	218	281	215	236	190	205	0	126	130	111	142	119	159	63	98	97	102	92	92
LOC107986489	0	0	0	1	0	1	0	1	2	0	2	2	2	0	2	0	1	3	1	0	0	0	0	0	1	0
FAM153A	1	1	1	1	1	2	4	2	2	1	1	3	0	2	1	1	0	2	2	1	2	0	0	2	0	1
LOC105377752	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC728554	397	314	290	72	193	147	177	189	333	327	390	381	332	0	232	103	207	181	104	95	40	70	73	77	81	83
LOC124901146	1	1	1	0	0	1	12	13	7	5	7	12	5	0	1	4	7	5	2	3	1	0	3	1	1	0
LOC100128340	5	1	3	1	3	1	9	11	10	4	6	12	4	0	8	7	5	6	10	5	0	4	3	12	10	8
PROP1	1	0	0	1	0	1	1	4	0	1	0	2	0	0	1	0	1	1	2	1	0	1	0	0	2	1
FAM153CP	0	0	1	1	2	0	4	4	1	6	1	2	0	0	3	4	1	5	4	4	0	0	2	0	1	1
LOC124901147	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0
LOC105377754	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
N4BP3	248	196	138	94	248	230	90	91	48	43	45	51	37	0	37	42	70	53	55	58	70	46	31	28	23	27
RMND5B	283	282	254	113	393	264	323	344	447	361	366	407	324	0	510	489	501	449	191	185	169	169	215	213	216	182
NHP2	149	158	114	55	170	134	105	125	94	145	167	183	133	0	124	113	138	140	43	51	54	49	38	50	47	40
GMCL2	4	1	2	0	1	2	2	0	0	0	2	0	2	0	1	0	0	0	1	2	1	0	0	0	0	0
HNRNPAB	3132	2932	2633	1506	3205	2889	3561	4264	3867	3944	5008	5273	4282	0	4071	2438	4102	4142	1233	1142	741	991	825	980	897	892
PHYKPL	143	67	104	45	106	90	366	378	426	392	462	435	412	0	448	436	467	386	212	204	124	151	122	136	107	102
LOC112267937	3	3	2	3	3	2	8	10	4	1	8	2	4	0	35	26	26	23	27	22	0	3	5	6	6	6
COL23A1	13	3	9	5	9	6	26	28	3	6	7	7	7	0	23	23	15	14	15	16	1	3	1	5	4	0
LOC105377757	2	1	3	3	0	2	3	7	0	3	0	0	0	0	5	6	2	3	3	2	0	0	3	2	1	3
LOC124901148	56	38	41	22	48	57	238	220	15	12	18	15	16	0	106	78	68	83	48	32	8	18	27	31	23	9
CLK4	98	29	105	36	75	56	356	382	713	504	621	639	553	0	103	117	88	129	432	439	207	295	244	219	226	188
MSANTD5	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	3	2	3	0	2	0	1	1
ZNF354A	145	35	108	49	82	65	223	211	190	180	226	274	194	0	81	137	108	124	195	168	63	103	77	94	119	99
AACSP1	3	9	16	4	2	9	10	8	1	3	1	4	1	0	20	14	36	35	1	5	1	0	2	0	3	4
ZNF354B	90	17	57	23	35	32	200	207	234	226	248	277	217	0	78	124	93	109	161	163	83	113	60	91	66	91
LOC107986493	4	0	2	0	1	1	13	20	10	10	13	22	9	0	7	5	3	3	4	6	0	0	2	0	3	5
ZFP2	27	10	11	3	13	6	27	41	36	33	38	28	34	0	11	22	16	16	47	29	14	18	14	14	19	11
ZNF454	2	34	89	29	66	21	162	184	122	142	187	169	164	0	14	16	17	15	10	14	9	7	10	9	6	7
GRM6	1	4	4	3	2	3	18	17	16	7	24	23	21	0	2	3	2	3	3	1	0	3	3	0	0	3
ZNF879	27	14	27	11	16	14	80	114	102	94	71	96	63	0	16	23	25	38	42	50	20	31	37	39	41	27
ZNF354C	294	96	149	23	128	71	176	173	96	107	133	128	117	0	18	35	1	6	45	43	9	6	29	25	1	3
ADAMTS2	61	38	31	20	33	30	75	95	281	256	206	207	177	0	341	372	246	215	130	175	39	48	3	7	11	5
LOC124900195	0	1	1	0	0	0	3	1	5	1	3	1	2	0	5	9	2	0	1	0	0	0	0	0	0	0
LOC105377759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
LOC124901149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC100289470	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105377762	16	3	1	3	6	2	13	15	10	17	10	5	7	0	1	6	8	2	0	4	1	0	2	4	1	0
RUFY1	256	130	158	76	174	134	371	415	530	433	595	599	511	0	511	448	419	405	189	177	148	180	192	227	187	220
RUFY1-AS1	3	3	6	1	3	7	29	23	28	35	28	19	25	0	26	33	27	24	6	5	4	9	5	10	11	5
HNRNPH1	4178	1899	3317	1603	3146	2560	9502	10626	7266	7862	8414	8571	7315	0	4265	3693	3455	4489	2446	2371	1652	2129	1819	1984	1671	1745
C5orf60	3	3	0	0	1	5	1	0	0	0	1	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0
LOC100502572	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105377763	2	3	0	3	3	4	0	5	5	10	13	8	10	0	1	5	4	6	3	1	1	2	1	0	2	0
CBY3	0	2	1	0	4	2	1	3	0	0	0	5	0	0	2	2	1	4	4	3	0	2	2	2	1	1
CANX	6282	5835	7429	3631	8178	6359	16867	19135	34392	34760	45031	49447	38172	0	7484	7350	7083	7916	8259	8720	7018	8072	7050	7902	8476	7939
MAML1	437	336	411	164	515	328	928	1022	978	833	889	889	780	0	1365	1416	1315	1149	547	537	485	460	494	530	401	412
LTC4S	1	0	2	1	1	3	1	0	0	0	0	2	0	0	4	3	3	1	3	3	1	2	1	2	3	1
MGAT4B	200	133	134	56	133	140	108	117	316	237	277	316	246	0	189	248	186	168	250	211	308	239	234	236	276	268
MIR1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SQSTM1	428	489	557	197	501	460	566	632	2142	2004	2649	2843	2317	0	1315	1019	1542	1469	561	614	633	672	822	938	856	893
MRNIP	12	2	2	1	3	2	22	14	43	33	36	18	31	0	33	36	24	26	22	13	6	8	11	10	12	12
MRNIP-DT	29	5	2	1	10	3	19	17	23	18	36	40	32	0	10	14	13	15	48	44	16	22	33	43	23	26
TBC1D9B	147	140	141	59	105	151	324	322	544	415	578	534	500	0	436	409	356	325	374	361	201	219	212	208	215	233
RNF130	276	150	173	70	219	182	334	371	359	307	350	344	303	0	221	181	260	219	308	305	155	158	235	253	244	236
LOC124901150	12	3	3	1	9	5	32	24	24	14	25	16	23	0	8	15	11	16	20	18	3	8	13	20	15	8
MIR340	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RASGEF1C	4	2	3	2	4	1	8	6	5	6	8	6	8	0	4	6	6	3	4	4	4	2	2	0	2	3
MAPK9	592	285	457	220	503	402	1167	1201	1587	1303	1370	1431	1229	0	736	703	578	797	845	977	774	896	789	832	902	834
LOC124901151	15	3	4	3	2	6	2	9	9	8	8	8	7	0	4	6	7	4	6	5	0	2	3	6	2	2
GFPT2	630	543	533	297	867	667	777	888	490	350	356	394	318	0	313	298	214	233	373	385	124	107	205	156	154	156
LOC124901152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC124901153	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
LOC102725231	0	0	0	1	0	0	1	2	2	2	1	0	1	0	0	2	2	0	1	0	0	0	0	0	0	0
CNOT6	583	301	442	176	475	415	1297	1378	1728	1473	2263	2141	2000	0	489	718	354	551	481	440	504	482	563	488	462	405
SCGB3A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC124901154	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FLT4	22	18	18	8	20	21	23	39	19	12	13	15	12	0	17	8	31	22	6	2	12	10	2	3	0	3
LINC02222	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2Y1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGAT1	232	211	186	120	236	200	256	277	400	421	544	582	491	0	312	249	302	355	177	172	141	127	139	173	148	159
ZFP62	296	152	194	128	234	179	535	602	367	473	467	504	414	0	232	235	213	321	316	292	157	214	248	261	221	211
HEIH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00847	19	9	5	2	6	9	0	2	3	6	5	10	4	0	7	3	8	4	12	30	17	21	16	14	22	14
LOC124901155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BTNL8	2	2	2	0	1	4	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
BTNL3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BTNL9	2	2	3	2	3	0	2	0	3	1	2	4	1	0	1	2	3	2	1	1	0	1	0	0	0	0
MIR8089	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-CAC1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-AAG1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-AAG1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-CAC1-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2V1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
OR2V2	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TRV-AAC1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-AAC1-3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
TRV-CAC1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-AAG1-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-AAG2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-AAC2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRP-TGG3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRT-TGT6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TRIM7-AS2	1	1	0	2	0	0	2	2	5	5	3	4	2	0	0	1	1	0	5	1	0	1	2	4	0	2
TRIM7	0	1	1	1	0	0	2	0	1	0	1	0	1	0	1	1	0	0	2	0	0	1	1	2	1	2
TRIM7-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
TRA-TGC3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRK-CTT2-2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-AAC1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRK-CTT2-3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-CAC1-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM41	86	37	45	28	46	44	101	121	102	110	141	140	121	0	241	229	213	200	73	74	75	56	69	66	86	82
RACK1	4905	4767	4138	2069	5594	4352	5284	5693	5973	5468	7537	8120	6478	0	6631	4624	7404	6799	2969	3313	1966	2132	2361	2496	2441	2506
SNORD96A	36	18	36	13	31	21	50	48	62	72	67	75	58	0	39	38	50	50	32	21	10	12	11	10	6	2
SNORD95	0	1	0	0	1	1	2	1	1	3	4	1	4	0	0	1	0	1	1	1	0	0	0	0	0	1
CTC-338M12.4	17	32	21	5	16	16	4	16	14	13	18	23	16	0	17	17	18	11	20	16	15	5	8	7	4	4
TRIM52	194	73	135	75	164	119	317	313	430	396	415	382	368	0	177	195	188	203	263	216	128	189	217	226	222	227
TRIM52-AS1	62	36	28	13	34	19	47	46	65	75	97	104	82	0	41	46	46	43	64	74	64	68	59	68	61	46
LOC100132062	0	0	1	0	1	0	1	1	3	2	2	0	0	0	0	1	1	0	0	0	2	0	0	1	0	1
OR4F3	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC124901156	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPTIN14P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC105374869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
LINC03066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP22	230	129	127	62	176	127	235	273	357	361	398	452	350	0	238	196	198	169	295	334	272	302	345	419	399	369
IRF4	9	12	32	9	21	19	42	38	25	16	14	37	12	0	9	1	13	7	1	5	1	2	1	1	0	1
EXOC2	867	550	742	370	865	676	681	709	1251	1136	1077	1158	957	0	384	387	387	455	566	618	632	827	784	851	754	675
HUS1B	1	3	5	0	1	1	2	0	3	3	0	0	0	0	2	5	2	1	2	2	2	2	3	1	1	4
LOC105374873	2	0	2	0	2	1	6	4	0	0	1	1	0	0	0	0	0	2	8	5	2	2	8	6	3	3
