	day30_rep1_gfp_oe	day30_rep1_control	day30_rep1_epi	day30_rep2_gfp_oe	day30_rep1_hey2	day30_rep2_hey2_ge	day30_rep2_hey2	day30_rep1_hey2_ge	day30_rep2_hey2_oe	day30_rep1_hey2_oe	day30_rep1_tbx5	day30_rep3_tbx5_ge	day30_rep2_tbx5	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe	day30_rep1_nr2f_ge	day30_rep2_nr2f_ge	day30_rep1_nr2f	day30_rep2_nr2f	day30_rep3_nr2f_ge	day30_rep4_nr2f_ge	day30_rep1_nr2f_oe
UBE2E1-AS1	17	11	33	10	5	10	10	10	9	11	16	14	12	3	6	20	9	10	8	13	18	14	11	9
UBE2E1	1200	657	1172	1084	725	807	697	771	1309	1370	781	1159	888	693	786	1359	1292	227	616	828	931	900	449	1164
NKIRAS1	964	208	450	761	612	412	420	341	871	942	445	587	511	266	302	996	902	195	214	599	523	355	188	865
RPL15	24659	14277	37012	23373	30838	15461	39097	17837	24997	21699	26624	21557	38373	24505	16959	23220	25730	19219	21961	13634	26609	20038	10092	20236
LOC124909354	0	0	0	0	0	1	0	2	1	2	0	3	0	0	0	1	0	0	0	0	0	1	0	1
NR1D2	2339	592	867	2185	1557	690	1307	781	2469	2191	907	1738	995	519	278	2702	2375	229	611	1075	864	575	543	2264
LINC00691	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
THRB	85	47	219	375	1173	172	1376	177	386	61	666	83	1106	167	64	93	457	39	55	74	42	181	128	144
THRB-AS2	8	1	2	3	0	2	2	0	2	3	0	8	2	0	3	1	3	2	0	0	0	0	0	7
THRB-AS1	0	0	0	2	3	0	10	3	1	0	1	0	7	1	0	0	1	0	0	0	0	1	3	0
LOC107986011	0	0	1	0	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	0
LOC107986070	0	0	25	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124909355	0	1	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
RARB	789	448	1280	922	1501	459	1061	723	1005	953	546	87	678	243	119	1005	1149	85	368	654	245	435	324	863
LOC124906342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RARB-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124909356	3	0	6	1	2	2	3	2	1	0	0	1	0	0	1	3	7	0	0	2	1	2	0	4
TOP2B	8936	4290	9280	8711	6944	4402	5410	4276	8912	9842	5399	4845	4516	3500	4257	11520	10572	1630	4591	7430	5743	5344	3088	11900
MIR4442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
NGLY1	2423	595	1249	1828	1511	1163	1400	854	2230	1915	739	1680	905	506	647	2191	1898	412	553	1069	1009	746	730	2012
OXSM	262	119	257	252	367	212	321	227	280	226	190	225	188	144	178	259	283	146	130	188	218	195	139	210
LOC105377000	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	4	0	1	0	0	0	0	4	0
LINC00692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC124909357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377002	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	9	1	0	0	0	0	1
LRRC3B-AS1	3	3	3	0	1	0	0	1	0	2	0	0	0	0	0	3	1	1	0	3	0	1	0	0
LRRC3B	14	15	58	4	2	0	2	0	4	7	1	0	9	0	0	11	14	0	10	9	5	1	1	18
LOC124909488	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0	0
NEK10	32	11	106	68	61	33	48	44	106	37	39	35	66	15	13	41	98	13	11	69	27	16	25	45
SLC4A7	1047	203	1303	1195	1126	462	929	487	1435	989	803	492	845	303	877	1114	1400	125	372	916	642	440	430	1759
LOC105377005	2	0	2	0	0	4	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0
LOC124906221	2	6	2	3	3	2	1	0	1	1	0	1	1	0	2	1	0	1	0	1	1	0	0	6
LINC02084	0	0	1	0	0	2	0	0	2	2	1	0	1	0	0	2	0	0	0	0	0	3	2	1
EOMES	4	1	6	0	0	5	0	1	2	0	8	10	0	2	6	2	2	0	5	3	2	1	0	1
LINC01980	15	7	21	7	10	16	24	7	8	6	6	5	2	3	2	11	12	6	2	10	1	6	6	11
LINC01981	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
LINC01967	2	0	1	0	2	1	5	0	0	1	3	1	0	0	0	0	0	0	0	0	1	3	2	0
LOC105377008	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CMC1	429	193	327	360	582	377	501	430	500	391	250	318	495	215	207	386	338	311	230	325	331	380	238	285
AZI2	516	268	669	598	439	321	458	294	652	529	419	726	471	289	391	594	700	211	328	415	390	298	224	655
ZCWPW2	36	24	96	64	64	33	61	28	42	43	64	31	52	52	26	53	91	43	66	42	52	41	35	45
LOC107986012	9	1	8	2	16	4	8	2	4	6	2	0	6	3	1	12	4	7	2	0	0	2	0	16
LINC00693	117	7	18	4	13	12	12	13	22	177	8	7	24	8	1	196	14	0	9	9	17	11	17	232
LOC105377009	2	0	1	2	0	2	0	0	0	4	1	3	0	0	2	2	3	1	0	0	2	0	0	0
RBMS3-AS3	33	18	20	17	16	14	18	16	19	49	4	14	15	8	13	47	14	16	23	13	12	15	14	34
RBMS3	652	394	989	695	1063	566	792	410	732	927	1291	880	1102	887	1073	803	928	474	1103	548	714	594	577	1080
RBMS3-AS2	10	0	3	8	1	2	2	2	11	3	3	1	2	3	3	7	6	8	0	2	12	2	3	8
LOC124906222	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	5
RBMS3-AS1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	1	0	0	0
LOC124906224	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
LOC124909358	1	0	5	0	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0
LOC124906377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927995	8	4	15	7	0	1	0	0	9	8	1	2	5	8	0	16	3	0	2	3	0	0	0	10
LOC105377013	2	0	3	0	2	0	0	0	1	0	1	0	3	3	0	1	0	1	0	0	0	0	0	2
LINC01985	0	0	0	0	0	1	1	2	0	2	0	7	0	0	1	0	0	0	0	0	0	0	0	1
LOC105377015	1	0	2	1	0	0	0	1	0	7	1	0	1	1	3	1	5	7	0	0	1	0	0	4
TGFBR2	1251	1572	3012	2526	995	489	1275	432	2344	1866	1352	1487	1248	2808	1180	1969	3281	510	1491	1631	1378	742	504	1330
GADL1	0	3	14	12	0	0	1	1	11	1	5	7	4	2	9	3	10	1	1	1	4	2	3	13
MIR466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377018	0	0	2	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0
LOC124909359	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STT3B	4558	2018	6122	5994	5451	3122	4659	3516	6058	4707	5077	10590	5054	2726	4324	5387	6523	1064	3916	4509	3746	3216	2058	5559
OSBPL10	160	253	1358	685	915	202	734	269	644	123	2042	795	1097	713	1177	114	791	195	977	488	703	484	297	327
LOC124909360	2	1	8	1	3	3	1	3	2	1	6	10	2	2	4	2	3	0	2	0	1	2	0	2
OSBPL10-AS1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ZNF860	7	9	75	20	37	4	44	7	25	9	112	36	58	24	94	4	37	5	27	19	19	18	6	15
LOC124900559	2	0	1	0	0	3	0	3	0	1	2	4	0	0	0	1	0	0	0	0	0	0	0	0
GPD1L	1001	984	1561	1417	1040	153	743	281	1720	1308	849	269	1032	587	220	1445	1590	46	414	1067	699	191	153	856
LOC124906367	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CMTM8	44	29	65	37	80	28	85	54	42	32	48	133	83	47	59	36	45	34	70	53	41	45	60	38
LOC124909361	2	0	3	0	1	8	1	1	0	1	1	2	1	0	0	0	1	0	0	0	1	0	0	3
CMTM7	154	80	357	121	215	166	293	158	146	116	290	356	287	169	312	89	128	287	186	145	135	335	212	132
CMTM6	1655	661	2210	2046	2114	1186	1867	908	1957	1542	2489	4376	2068	2069	3770	1596	2279	746	1724	1035	1317	1661	774	1703
MIR548AY	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DYNC1LI1	5976	1490	2053	3911	2896	1820	1951	1886	4680	6524	1756	2689	3683	1188	1810	6596	4022	625	1002	3471	2783	2281	855	5207
LOC124906226	23	6	5	4	8	6	6	17	11	13	2	8	21	5	1	11	7	14	2	8	3	4	9	12
CNOT10	1078	419	1047	937	972	551	900	526	1170	1156	624	797	890	545	583	1282	989	501	544	561	743	636	338	1238
TRIM71	321	71	144	45	250	331	259	236	34	321	134	634	129	43	688	332	32	62	60	240	145	163	231	743
CCR4	3	1	0	0	2	1	2	5	2	1	0	1	1	10	0	4	3	1	1	1	0	0	0	1
GLB1	655	1482	2486	1317	2051	997	2440	1269	1202	708	3023	1454	3251	2226	1434	776	1744	1558	2200	1333	2215	1292	1027	715
LOC107986072	0	0	1	0	1	1	1	0	0	0	2	3	0	1	0	1	0	0	1	0	0	1	0	0
TMPPE	38	31	214	55	133	84	170	60	48	35	170	123	188	64	139	36	72	4	84	111	97	45	42	36
CRTAP	1644	3358	8384	3868	7987	3576	9652	4116	3389	1827	7553	3686	9539	7380	4275	1877	4814	4704	6026	2990	6048	5257	3112	2632
SUSD5	268	116	376	308	407	366	237	201	338	295	260	119	280	206	417	281	332	31	267	416	307	134	60	472
LOC124909362	3	2	8	3	2	2	6	2	4	3	2	1	6	5	1	4	7	2	3	2	6	8	0	4
FBXL2	354	377	777	446	485	270	620	238	469	445	617	210	531	397	405	456	508	120	481	360	440	240	290	438
UBP1	2222	1020	3704	2648	2801	1718	2808	1614	2984	2020	3339	3716	3615	2153	4127	2294	3027	442	2212	1983	2392	2184	880	2803
LOC124909363	679	682	1366	1273	1234	393	1445	631	1482	616	3670	1086	1905	2553	1461	665	1406	640	2292	1582	3126	745	545	766
CLASP2	2660	1021	2518	2830	2604	1549	2080	1310	3396	3525	1976	1292	1932	946	2131	3869	3318	274	1357	2364	2147	1638	1029	4463
PDCD6IP-DT	229	65	278	263	197	144	142	123	302	178	418	392	225	176	333	244	330	18	216	265	180	142	51	296
PDCD6IP	4393	2054	4582	4839	3290	1912	2721	1981	5804	4582	3225	5173	2868	2323	3352	4982	5659	935	2380	3692	3253	2280	1688	5718
LOC105377024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1
LINC01811	2	0	5	5	1	0	0	0	6	2	3	3	5	0	8	1	1	0	1	1	0	2	2	5
LOC124909364	1	0	0	1	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0
LOC102724048	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2
LOC124909365	2	1	1	0	5	0	0	0	1	1	1	1	2	0	2	2	2	0	0	0	0	0	0	0
LOC101928135	36	0	18	26	9	2	12	3	28	67	7	0	11	7	0	42	42	3	1	7	4	3	3	31
ARPP21	45	55	80	37	81	3	166	14	48	71	33	6	41	37	4	83	58	8	28	19	32	10	28	79
MIR128-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124906227	3	0	0	1	3	4	2	2	1	1	1	2	9	6	5	0	1	49	0	0	0	2	1	1
STAC	581	99	176	371	641	407	565	456	507	603	581	278	2104	884	205	559	285	1027	596	269	483	597	440	645
DCLK3	8	2	23	6	4	5	7	3	4	11	1	3	1	0	20	14	8	7	8	8	24	7	3	16
LOC105377029	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0
LOC105377030	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LINC02033	0	0	3	0	3	0	10	0	2	0	3	0	2	3	2	1	0	0	3	0	0	1	0	2
TRANK1	81	352	1563	437	640	177	3383	282	403	129	1156	167	290	988	823	150	606	160	1050	142	125	253	211	212
EPM2AIP1	3267	2153	3120	4398	3695	1905	3283	2079	4476	3633	2790	1855	2512	1621	1773	4227	4559	693	1921	3263	2398	1871	1526	3990
MLH1	2164	811	2080	1665	1700	1050	1504	994	2022	2040	1404	1276	1652	954	1081	2277	1742	760	816	1671	1395	1193	815	2077
LRRFIP2	3744	1061	1973	3464	1693	1163	1562	929	4201	3670	1259	1685	1695	842	1248	4227	3684	515	634	2706	1938	1100	534	3880
UBE2FP1	25	12	26	26	22	18	9	7	32	21	20	51	11	15	46	26	33	1	19	25	8	8	0	32
LOC105377642	28	54	33	15	38	37	57	40	30	18	19	22	35	14	17	23	17	13	19	18	39	27	54	23
LOC124906354	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124909483	2	0	2	2	0	1	2	0	0	1	1	0	2	0	0	3	1	1	1	1	4	2	1	2
GOLGA4-AS1	211	114	134	411	190	36	140	65	453	182	168	227	218	130	56	169	371	36	121	82	198	48	23	167
GOLGA4	8693	1375	3387	9994	3263	1954	1951	1502	10118	6541	3973	8484	1811	2655	2959	7426	10251	352	2748	4225	2893	1895	1281	8500
APRG1	23	18	36	25	22	18	31	9	30	37	41	101	42	17	22	30	29	20	19	35	39	15	5	52
ITGA9	261	503	1265	924	1780	398	944	460	1066	392	599	84	4672	333	359	410	1114	165	701	811	766	985	233	372
ITGA9-AS1	27	15	27	21	11	15	50	29	24	17	15	12	30	25	8	20	24	14	6	14	18	24	2	9
CTDSPL	766	865	1783	1165	1368	687	1584	810	1345	739	1209	540	1785	1362	1129	883	1394	915	964	1376	1680	898	607	757
MIR26A1	0	3	12	0	0	1	7	1	0	0	2	1	6	3	1	1	0	0	0	1	0	2	0	0
VILL	5	30	117	25	10	10	40	14	24	10	52	29	27	30	51	4	35	107	95	15	45	41	32	6
PLCD1	265	290	744	281	603	292	778	450	334	293	479	542	878	431	521	247	302	669	429	232	417	510	673	237
DLEC1	20	17	57	22	21	20	22	13	21	11	20	19	17	16	14	23	20	6	22	10	18	10	6	20
LOC105377033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA1	1233	861	1603	1373	2707	1709	1975	2440	1810	1180	1651	1706	2009	983	1098	1212	1439	1084	1286	2104	2234	1752	1111	1150
MYD88	78	128	173	74	150	123	163	136	104	61	199	552	166	235	576	64	111	189	326	87	180	388	185	83
LOC101928234	2	3	6	2	0	0	0	0	1	0	1	2	0	1	0	1	0	0	1	3	0	2	1	1
OXSR1	1914	607	2196	1900	2137	1591	1889	1361	2315	1822	1862	3464	2096	1075	2640	1941	2159	441	1333	1630	1602	1556	950	2551
SLC22A13	1	0	4	3	2	3	5	1	1	1	5	12	9	2	7	0	3	0	5	1	2	0	1	1
SLC22A14	14	5	15	3	13	8	7	3	9	11	13	26	14	3	12	2	7	1	1	8	6	1	8	7
XYLB	33	17	101	44	50	29	62	19	32	38	88	30	58	35	50	36	66	19	51	28	46	36	7	69
ACVR2B-AS1	54	44	60	53	41	21	96	27	47	43	21	18	50	28	7	69	74	15	17	27	37	28	20	70
ACVR2B	867	422	1580	458	1381	960	1581	1119	439	952	1015	940	1076	472	969	1128	612	317	861	1394	1602	836	929	1793
EXOG	1065	198	515	957	505	478	379	400	1338	1044	489	638	496	331	349	1166	1076	105	303	1038	845	326	93	951
SCN5A	2625	2990	997	2490	1198	106	3058	62	3442	3771	223	291	583	150	85	4952	3594	84	283	5900	6838	151	159	2362
SCN10A	7	2	4	5	3	0	1	1	6	7	3	4	0	1	5	15	4	1	0	9	11	0	1	3
LOC105377034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN11A	33	2	37	23	11	14	17	12	18	32	35	55	30	10	13	44	17	11	13	13	24	11	3	45
WDR48	2169	838	1910	2013	1820	853	1489	966	2342	2839	1520	1894	1469	1127	895	3005	2288	521	1011	1194	1675	1189	791	2681
GORASP1	1758	1596	2816	2247	2722	2005	2588	2133	2651	1667	2480	2708	3128	1606	2216	1654	2326	877	1782	1800	2680	2165	1371	1641
TTC21A	126	35	181	110	93	58	146	29	142	89	137	108	182	88	61	92	122	51	75	64	73	51	35	98
MIR6822	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSRNP1	2815	631	2359	3850	1327	971	1309	610	5444	1136	1883	7342	2630	1216	4424	1165	4529	682	2104	655	1487	1636	687	1939
LOC101928263	16	1	46	11	4	18	20	17	18	15	22	51	38	7	44	9	24	8	44	36	26	21	9	10
LOC105377035	5	4	15	2	12	11	19	5	5	0	3	1	6	3	2	4	5	24	3	7	5	7	13	5
XIRP1	18254	15387	7248	13434	3676	9830	2491	8731	21472	17703	4064	6456	6485	1858	1828	18972	12576	1083	1469	27540	16755	5792	5817	13471
LOC124909366	4	0	0	0	1	2	1	1	0	4	1	3	0	0	0	0	0	4	0	3	1	4	0	0
DSTNP4	0	0	0	0	0	1	0	1	2	1	1	0	0	0	0	0	0	0	1	1	0	0	2	0
LOC102724104	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CX3CR1	2	21	17	4	13	16	12	4	3	3	19	1	19	70	6	4	13	8	8	2	12	4	3	6
CCR8	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
LOC105377037	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377644	11	4	17	9	14	4	13	11	9	8	12	16	11	6	5	12	10	7	15	16	10	1	5	11
SLC25A38	1224	576	1124	1056	1106	628	1103	790	1309	935	1371	2447	1184	878	841	928	1156	595	952	750	1172	749	424	1192
RPSA	24785	13132	31438	19825	26574	15240	31807	15085	22326	20504	20162	16293	28590	18413	20859	21318	20911	22561	16768	13697	22690	18718	9286	18843
SNORA6	10	7	27	16	23	15	26	11	7	8	18	19	22	9	20	18	12	3	11	25	15	6	11	19
SNORA62	10	12	30	16	27	10	38	10	12	14	18	16	31	11	18	10	20	6	5	20	9	16	5	22
LOC107986075	34	0	22	14	12	9	12	9	24	20	9	63	16	7	3	22	16	5	14	20	11	6	17	46
MOBP	10	0	2	3	0	5	1	6	3	4	2	7	1	0	9	11	3	1	2	2	0	1	0	4
LOC105377039	1	0	2	0	0	2	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0
MYRIP	37	19	11	15	9	5	12	5	33	70	1	7	9	4	5	87	22	5	13	46	13	5	11	42
LOC124909367	2	0	3	1	1	2	4	1	4	7	0	3	2	2	2	1	3	0	0	5	2	1	0	1
EIF1B-AS1	16	14	35	13	19	8	27	17	19	21	12	7	26	14	6	28	17	13	8	18	18	16	15	15
LOC124900557	1	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0
LOC124906228	4	1	2	5	0	0	4	0	2	6	1	0	0	2	1	2	3	1	0	3	3	1	0	5
EIF1B	5603	2126	2754	4377	2565	1984	2231	2847	5499	4741	1415	3755	2429	1282	1009	5287	5013	2084	1211	4372	4268	2474	2261	4501
ENTPD3	5	7	16	11	16	29	7	7	11	2	13	26	9	3	13	3	11	2	18	2	13	62	17	8
ENTPD3-AS1	53	16	47	31	33	30	44	33	33	51	29	68	50	25	25	55	33	23	17	37	46	28	11	36
RPL14	21658	8437	25073	17742	20657	13826	26094	13098	19078	17797	17520	17101	22912	17092	16728	19114	18751	16288	15353	11036	20803	15103	6807	16045
ZNF619	97	128	169	100	47	4	56	0	125	94	55	42	103	50	78	113	117	39	65	42	96	72	73	127
ZNF620	314	83	248	163	265	174	270	142	187	268	164	222	186	82	186	309	179	30	97	155	137	121	76	390
ZNF621	769	292	1043	828	749	553	545	444	966	693	717	2093	649	456	1027	698	998	149	597	540	581	560	350	926
LOC124909368	0	0	1	2	0	0	2	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	1	2
LOC124909369	2	0	4	0	1	1	4	0	0	1	0	6	0	1	0	2	2	1	1	0	2	0	6	2
LOC124906229	5	0	1	2	0	3	0	2	0	3	0	1	0	0	0	1	1	2	0	2	1	0	0	0
LOC124909370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377043	5	0	1	0	1	4	0	1	0	0	0	1	0	0	0	3	0	2	1	0	1	1	0	0
LOC124906230	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1
LOC105377045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTNNB1	20968	7810	22925	23709	20522	12084	15383	16572	25597	23362	16399	22193	15525	11818	16493	26501	27733	4013	12503	19086	15124	15104	6150	21872
ULK4	77	39	197	118	134	77	53	66	212	135	112	101	102	97	78	114	165	33	74	125	116	79	33	115
LOC105377046	3	0	1	1	0	1	1	0	10	2	1	4	0	0	1	2	5	0	2	0	0	1	0	3
LOC107986077	2	0	1	2	4	1	0	0	9	1	1	0	1	0	2	7	3	6	1	3	5	0	3	4
TRAK1	2861	3799	4212	3921	3599	1815	3727	2559	5097	3369	2832	1617	5047	1601	2204	3735	4549	702	1848	4549	6194	2862	2336	3162
LOC124906231	32	1	12	19	6	12	4	9	11	12	17	57	18	5	30	20	15	1	6	22	10	4	0	30
LOC105377048	1	0	3	0	0	0	0	0	0	1	0	2	0	0	0	2	1	4	0	0	0	0	0	1
CCK	2	2	21	6	0	0	0	0	5	0	0	5	0	6	8	0	4	0	2	1	1	0	0	16
LYZL4	10	1	3	0	1	2	0	0	3	12	0	1	2	1	0	13	3	0	0	5	3	1	2	6
LOC124909371	11	0	0	0	0	1	0	0	4	17	3	2	4	1	4	14	2	1	1	21	26	5	1	2
VIPR1	55	268	13	51	19	7	8	8	52	75	152	39	104	31	8	65	35	9	19	88	95	7	3	46
LOC124909372	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIPR1-AS1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SEC22C	1117	474	1313	1221	1317	766	1323	677	1264	1149	925	1060	1084	595	1056	1200	1321	331	624	980	820	788	449	1367
SS18L2	309	96	284	196	242	168	289	131	210	228	219	257	257	135	275	271	185	228	141	138	169	191	131	287
NKTR	2743	926	4063	2862	2305	1493	2373	1038	2680	2633	2921	2200	1958	1525	2110	3173	3203	473	1829	2119	1939	1510	1319	4027
ZBTB47-AS1	7	28	21	13	10	4	56	9	6	4	4	3	24	7	3	9	7	13	8	15	23	13	18	8
ZBTB47	760	1766	1986	1502	2198	850	3167	1349	1733	870	2066	496	3678	2006	669	866	1702	435	1505	2021	2708	1038	650	641
LOC124906232	12	2	7	13	6	15	17	5	20	12	4	28	19	4	0	13	21	0	4	6	20	2	5	13
KLHL40	12	11	1	2	5	1	21	0	8	8	5	0	33	6	2	10	5	20	2	10	33	6	19	3
HHATL	650	1058	76	240	420	28	1063	17	301	672	168	6	675	647	2	792	217	78	22	68	313	8	43	354
HHATL-AS1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC13	35	22	52	33	39	36	45	37	46	30	27	64	45	23	21	33	33	8	19	36	33	27	14	46
CCDC13-AS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
CCDC13-AS2	0	0	2	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	2	0	0
HIGD1A	8484	2532	4705	7496	6015	5485	4409	4256	8773	7833	4752	3581	7180	2561	4793	8070	7223	1567	2301	6108	5212	5012	2265	6428
ACKR2	14	18	61	17	29	22	52	33	14	7	135	17	101	51	65	10	25	11	71	7	58	38	24	10
LOC124909373	11	18	16	5	19	6	28	10	6	13	26	5	46	6	7	11	10	26	8	1	24	14	20	7
CYP8B1	2	2	18	2	7	2	12	4	7	5	28	4	29	8	9	6	8	5	7	2	8	9	3	4
ZNF662	138	42	195	113	4	3	6	0	111	157	38	61	49	74	107	156	129	6	0	23	19	0	3	86
KRBOX1-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KRBOX1	2	2	1	1	0	0	0	0	0	0	0	4	2	0	0	3	0	0	0	0	1	0	1	0
GASK1A	21	26	78	14	13	2	51	7	5	25	32	4	26	73	15	17	14	1	46	6	4	6	25	17
POMGNT2	648	1011	1092	585	1162	377	1980	687	646	763	1209	1102	1661	1204	414	850	721	668	951	684	739	660	619	565
LOC107986079	20	10	51	18	52	10	60	21	19	37	25	24	58	29	9	40	42	0	5	33	20	2	3	32
LOC105377051	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105377052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRK	394	130	272	437	278	132	215	108	428	376	205	377	240	161	215	425	485	104	133	181	195	165	49	525
SNRK-AS1	3	0	5	2	7	4	6	2	10	9	7	5	8	5	2	12	12	0	2	2	5	1	0	14
ANO10	364	266	798	366	591	392	681	367	454	369	614	536	815	325	655	387	500	405	526	387	443	446	251	480
ABHD5	1218	279	436	966	626	529	579	348	1161	829	394	1203	450	234	452	913	977	150	281	469	365	329	125	1356
LOC107986081	0	0	0	0	0	1	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1
LOC124909489	60	8	9	12	8	6	14	4	9	47	8	26	5	57	20	68	17	1	41	14	13	5	3	166
MIR138-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOPAZ1	1	0	0	0	2	2	0	5	0	2	0	3	1	0	1	0	0	1	2	0	0	0	0	2
LOC105377055	1	0	1	0	0	1	1	1	0	1	1	2	0	0	0	1	0	3	0	0	4	0	0	0
TCAIM	991	382	740	1146	671	458	494	372	1198	1048	673	520	544	431	522	1119	1188	205	564	682	764	411	187	977
C3orf86P	12	9	18	5	9	3	2	8	8	2	23	8	28	9	13	3	13	48	16	5	3	21	12	2
LINC01988	2	0	2	4	2	1	4	0	3	4	1	4	2	0	0	3	0	0	3	1	0	0	0	3
ZNF445	1417	826	2776	1646	2072	1191	1960	1129	1814	1583	2006	1760	2066	1041	1984	1821	2035	360	1270	1812	1905	1063	859	2365
LOC101928529	12	13	24	10	11	7	33	10	6	14	13	20	16	10	10	10	10	18	6	4	12	9	3	13
ZNF852	151	100	417	204	241	175	212	118	180	143	319	539	230	198	411	137	252	56	248	138	193	158	47	235
ZKSCAN7	304	297	692	319	523	243	563	284	363	347	243	229	332	246	238	376	411	119	321	348	386	296	295	459
