	BOR_1	BOR_2	BOR_3	BOR_4	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4
TRY-GTA2-1	0	0	0	0	0	3	0	0	0	1	3	0	2	1	2	0	1	0	0	1
TRA-AGC8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OST4	652	452	270	595	5560	2955	1512	4030	1548	1876	1897	758	1806	813	2790	3270	1145	1702	1485	630
EMILIN1	33	13	49	23	1960	2069	1367	626	274	1897	1656	1052	776	59	293	1113	129	1464	88	141
KHK	0	5	3	10	83	66	50	99	29	56	36	25	37	18	64	83	26	39	19	20
CGREF1	4	0	0	0	17	38	27	18	13	19	21	12	18	6	12	9	6	21	3	5
LOC124907744	0	0	0	0	8	0	5	1	0	0	1	0	1	0	0	0	0	2	1	0
ABHD1	1	1	0	0	7	5	3	14	9	11	4	7	4	5	6	9	4	12	2	2
PREB	710	618	398	1157	2671	1616	828	1994	762	891	862	491	1009	494	1723	1451	689	914	1011	388
PRR30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
SLC5A6	273	273	101	571	1019	1118	587	795	368	413	468	232	489	279	802	583	328	439	463	169
ATRAID	206	182	129	301	2481	1596	901	1470	849	951	872	648	1118	507	1616	1757	749	979	951	430
CAD	148	102	74	219	1556	1589	887	1917	638	981	962	633	966	469	1433	1204	586	1116	718	312
SLC30A3	243	192	321	215	1907	706	389	1622	760	1035	1201	674	1038	514	2120	1919	751	1343	1103	465
DNAJC5G	2	0	7	3	338	62	57	228	104	181	172	162	125	60	168	247	224	267	142	97
TRIM54	2730	2574	2508	4496	4314	1918	1054	3813	1594	1232	1229	647	2563	1016	3651	4407	1688	1620	2591	1353
UCN	29	47	25	41	59	25	20	49	29	21	26	20	45	12	59	59	24	46	23	13
MPV17	121	119	102	353	1151	943	487	737	454	544	529	305	544	244	679	724	401	531	455	233
GTF3C2	587	600	315	1343	1903	1592	825	1219	610	798	729	502	1045	567	1464	1461	621	786	780	412
GTF3C2-AS1	1	3	2	14	9	3	6	2	1	1	2	2	3	3	0	5	1	2	4	1
GTF3C2-AS2	73	51	44	139	307	243	122	260	104	136	112	109	163	83	277	158	109	128	233	79
EIF2B4	620	462	397	1044	1383	903	487	1229	436	489	441	233	509	294	822	900	375	499	596	255
SNX17	1130	961	419	1643	4127	3043	1546	3620	1246	1584	1413	847	1725	951	2999	2775	1050	1483	1620	735
ZNF513	313	297	220	462	753	401	251	653	246	277	306	129	316	147	516	450	202	289	258	98
PPM1G	1052	934	622	2235	4434	3093	1661	3433	1227	1324	1046	864	2157	1150	3214	2626	983	1225	2185	789
FTH1P3	1	2	3	15	16	5	6	11	6	5	0	1	5	1	12	17	3	1	10	0
NRBP1	2958	2860	2081	6177	7148	4614	2480	4483	2077	2578	2512	1617	2808	1596	4443	4021	1970	2641	2659	1204
KRTCAP3	14	6	21	8	24	20	13	40	8	26	16	11	20	6	14	20	7	22	13	8
IFT172	159	189	181	368	1724	1248	580	1669	658	861	760	709	982	526	1539	1298	687	904	1113	392
FNDC4	195	82	150	138	662	271	164	238	161	194	197	89	243	103	313	203	93	221	153	58
GCKR	1024	571	860	1550	11	4	1	7	4	3	2	0	7	2	0	9	3	24	2	0
C2orf16	162	202	478	380	309	189	91	234	127	152	145	129	183	94	175	210	109	135	139	68
ZNF512	663	511	613	1410	2685	1750	953	1647	688	953	798	819	1184	608	1532	1529	670	911	1090	581
CCDC121	64	104	80	232	253	179	90	210	83	148	61	69	128	79	189	168	112	113	133	59
GPN1	894	848	853	2733	1901	1333	651	1335	568	632	523	431	695	527	1293	1119	563	561	794	376
LOC124906143	2	0	4	12	0	2	0	0	1	3	1	1	3	2	0	1	0	0	1	0
SUPT7L	1705	1871	1274	4077	3878	2689	1302	3255	1415	1652	1446	871	1888	1021	2970	2683	1556	1537	1680	803
SLC4A1AP	628	653	516	1690	1869	1162	583	1720	513	591	483	418	783	479	1145	1230	499	559	748	372
LINC01460	4	4	8	0	326	139	72	167	80	124	115	95	139	59	187	157	93	124	139	72
LOC105374378	38	19	55	31	251	156	64	153	92	92	107	68	155	54	134	191	64	81	102	50
MRPL33	390	300	211	562	3685	2114	935	3567	870	1067	729	423	1300	709	1961	1978	858	769	1283	605
RBKS	15	28	14	27	108	52	23	57	30	41	23	34	49	22	76	78	30	42	43	18
BABAM2	234	188	164	333	1895	1343	679	1319	630	701	611	530	926	376	1208	1111	663	602	690	343
BABAM2-AS1	1	1	4	6	21	8	2	8	2	6	1	5	5	2	3	5	4	7	5	1
LOC105374369	3	3	8	2	1	5	1	0	0	8	4	1	7	1	7	1	2	5	4	1
MIR4263	0	0	1	0	1	3	0	1	0	0	1	0	0	2	0	3	0	0	0	0
LOC100505736	2	0	2	0	8	2	1	2	2	7	2	2	2	2	2	6	3	4	4	2
LOC124907745	2	1	7	5	6	4	2	26	9	15	4	6	14	3	3	3	17	9	4	7
LOC100505716	5	7	7	5	17	36	8	4	11	14	12	15	21	10	14	19	12	17	12	3
LOC105374381	0	0	1	0	1	1	0	0	0	0	1	0	0	2	0	7	2	0	0	0
LOC105374382	1	3	2	1	7	1	0	1	3	1	4	1	3	0	4	5	1	2	4	1
LOC105374383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOSL2-AS1	0	0	3	0	4	5	7	6	0	1	2	1	3	0	0	1	5	7	3	1
FOSL2	297	206	597	832	2359	3765	1428	1567	716	1001	886	781	1234	348	921	1050	716	761	654	405
LOC102723530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLB1	29	11	14	41	43	58	28	50	38	19	23	23	33	28	50	42	29	51	31	12
LOC124907746	0	0	1	0	7	2	1	4	1	4	5	1	3	4	6	4	4	2	3	0
LOC105374384	0	0	0	0	3	2	1	0	1	6	2	1	1	1	2	7	1	5	0	1
LOC100505774	1	1	1	0	55	35	21	38	28	16	21	17	23	6	27	34	22	39	13	13
PPP1CB-DT	1	1	5	3	102	81	33	93	42	55	54	54	64	17	83	83	82	85	63	35
PPP1CB	2656	2296	4107	7884	32784	25727	12227	29152	9876	12595	8175	10161	22184	14150	26519	21540	11128	9750	22575	9881
SPDYA	5	6	7	29	10	22	7	11	2	4	1	7	10	8	8	7	5	6	5	3
TRMT61B	150	119	105	284	546	328	172	472	149	190	130	111	238	128	341	377	129	210	221	95
WDR43	591	724	637	2755	1457	1519	657	828	391	486	380	383	765	541	983	959	366	419	832	359
SNORD92	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD53	0	0	2	0	1	0	0	6	0	1	0	0	0	0	0	2	0	0	1	1
SNORD53B	0	0	2	1	0	2	0	0	0	0	2	0	0	2	0	0	1	1	0	0
TOGARAM2	20	16	8	17	34	18	17	66	12	16	10	4	13	9	21	12	8	8	11	4
PCARE	0	3	0	7	232	33	21	168	69	64	40	21	61	12	35	109	86	59	21	28
LOC105374386	0	0	0	0	1	0	1	3	0	0	2	0	0	0	0	2	0	0	2	1
CLIP4	1191	886	946	2420	4669	3243	1362	3705	1448	1582	1219	746	2446	1100	2160	2422	1374	1224	1555	975
LOC124907747	2	1	1	0	0	4	1	0	1	0	2	0	1	0	0	0	0	2	1	0
ALK	2	2	1	9	28	20	4	17	8	8	4	4	7	5	6	1	1	5	1	1
LOC101929386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105374389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPEL5	2584	2686	1937	6888	7246	4252	1992	4214	1911	2177	2128	1275	2745	1626	4091	3491	2045	2149	2643	1185
LOC105374414	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0
SNORA10B	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907749	0	0	0	2	0	6	0	0	0	1	2	0	0	0	1	1	0	5	0	0
LBH	4280	6795	4240	13200	32243	17573	9195	28687	12754	14165	13605	10291	16273	9076	28461	26415	10866	11752	14073	6523
LOC102723594	1	7	0	3	22	45	25	58	20	32	20	2	46	28	53	56	12	6	35	18
LINC01936	0	0	0	0	95	52	25	128	59	74	77	25	65	34	105	304	66	67	83	78
LCLAT1	318	313	456	1152	2232	1363	804	1043	656	1110	798	764	1180	719	1530	2141	651	833	1017	731
CAPN13	0	0	0	2	3	1	1	11	0	1	0	1	1	0	0	1	2	1	0	0
LOC124905982	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC105374435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALNT14	1	1	3	2	24	47	19	27	7	8	14	8	13	3	13	11	6	5	8	9
LOC107985861	0	0	0	0	1	1	1	10	0	0	5	1	3	1	2	2	0	1	2	0
CAPN14	4	5	6	31	106	64	38	127	33	52	42	31	58	29	98	101	31	29	53	22
EHD3	295	234	374	444	3232	3177	1790	3542	1615	2296	2193	1341	3395	829	2461	4553	1232	1912	1402	1385
LOC124905983	6	5	9	21	111	90	48	121	49	76	75	39	96	33	75	154	45	69	62	43
LOC124907751	2	1	1	16	2	0	0	1	2	5	3	9	2	0	0	4	3	4	1	0
XDH	13	14	18	56	30	34	15	94	32	67	53	45	16	9	28	44	29	76	30	21
SRD5A2	0	2	2	2	4	44	24	0	6	1	5	1	1	0	5	1	4	1	1	0
LOC107985862	0	1	0	0	2	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0
LOC107985863	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0
LINC01946	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
MEMO1	296	331	288	886	1673	1174	500	1003	409	541	364	303	724	380	958	860	526	466	610	326
DPY30	261	255	200	694	1349	901	397	955	380	452	341	263	508	272	759	775	396	415	497	214
SPAST	294	297	259	1113	1279	907	491	1023	316	455	319	313	761	546	1103	905	424	401	756	350
SLC30A6	728	829	667	2240	1805	1358	664	978	556	757	503	455	990	602	1167	1081	565	611	882	396
NLRC4	110	73	179	254	149	102	78	79	29	71	56	37	66	30	100	114	47	59	69	53
YIPF4	1062	1054	839	3672	5967	4730	2139	4332	2013	2287	1475	1243	3559	1998	4298	4129	2129	1838	2962	1622
BIRC6	2876	4662	3618	12209	5798	4306	2454	5634	2633	3284	2562	2361	4045	2508	4687	5259	2637	3157	3046	1576
MIR558	0	1	5	0	0	0	1	0	1	1	0	0	0	0	0	2	2	0	2	1
BIRC6-AS2	5	3	16	6	6	4	2	4	2	3	0	4	2	1	3	2	2	1	3	1
LOC124905985	0	0	1	6	3	0	0	3	2	0	4	2	2	0	0	1	3	7	2	0
TTC27	407	374	313	934	1168	954	431	878	300	494	401	332	549	223	592	707	401	433	424	258
MIR4765	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0
LINC00486	4	3	1	2	76	24	14	40	30	28	16	19	24	23	43	38	25	26	28	11
LOC105374453	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	2	0	0
LOC100271832	0	0	1	0	4	5	4	5	1	7	2	1	0	4	7	4	1	3	3	2
LTBP1	1126	916	1584	2813	40402	28823	13265	32522	12826	16955	12689	8883	21694	10443	24583	23448	10890	14646	18911	8297
MIR4430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASGRP3	761	820	693	1803	3019	1969	844	2852	901	855	620	598	1403	846	2123	1871	986	745	1555	660
RASGRP3-AS1	15	9	15	36	37	45	19	38	12	21	17	12	24	12	28	42	19	11	20	5
FAM98A	1211	1383	742	3285	2584	1823	953	1767	748	971	722	457	1298	583	1371	1539	725	648	966	494
LOC105374455	0	0	1	0	7	7	5	10	1	4	0	5	6	0	4	11	6	7	2	4
LOC124905986	0	0	2	2	3	9	2	0	0	2	2	0	2	1	1	4	1	3	4	1
LINC01317	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MYADML	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC124905987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01320	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIM1-DT	1	0	1	0	57	109	73	69	19	45	25	27	66	19	59	75	30	43	26	29
CRIM1	101	106	164	580	2248	6024	2504	2027	778	1287	1108	1064	2806	771	1943	2140	795	1212	1305	787
LOC124907753	0	1	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0
LOC124905989	0	0	0	0	4	6	2	2	2	5	2	1	4	3	0	1	2	0	3	4
FEZ2	576	599	315	1525	3082	2085	962	2059	846	1136	906	712	1442	615	1604	1727	932	927	1003	683
LOC124905990	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT	0	0	0	0	1	84	27	5	0	2	6	1	0	0	0	0	3	2	0	0
STRN	1361	1436	2338	4748	10836	6600	3377	6221	3547	5137	3651	3449	6341	3768	7566	8363	4704	4955	5945	3338
HEATR5B	373	426	460	1121	3059	1487	932	2373	1075	1520	1259	864	1677	857	2167	2683	1418	1559	1477	857
GPATCH11	195	156	185	622	986	591	320	706	286	361	245	192	466	283	616	678	415	312	407	247
EIF2AK2	1073	1055	787	4023	2370	2283	1223	4235	840	1466	943	1080	1752	1085	2006	2019	895	1355	1531	778
SULT6B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPZOS	541	478	467	1341	1499	1126	592	810	513	632	490	502	853	896	2002	877	571	577	1475	317
CEBPZ	537	620	505	1706	1876	1090	559	1230	410	535	377	420	603	400	947	943	450	467	693	400
NDUFAF7	549	710	460	1931	1185	844	494	993	390	519	403	402	553	344	888	738	440	515	532	294
PRKD3	235	278	325	918	1991	1731	902	1237	621	841	706	638	1129	749	1631	1257	786	720	1098	515
PRKD3-DT	0	1	1	0	0	2	0	1	0	1	1	0	1	0	1	0	1	2	0	1
LOC124907754	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	3	0	0
QPCT	10	18	9	44	131	158	83	80	57	53	49	32	49	50	135	61	23	37	46	7
LOC107985868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC03063	0	1	0	0	14	3	0	2	2	6	4	2	1	0	3	2	1	4	2	3
LOC124905991	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CDC42EP3	1530	1825	1168	6537	26717	27790	11517	13039	7546	10971	8212	5443	16983	8029	17063	20438	7518	8364	12304	7912
LOC107985870	0	0	0	0	4	9	1	1	2	6	7	1	3	4	1	16	4	2	1	4
LOC105374465	0	0	0	0	5	3	0	1	5	6	4	0	2	5	5	8	2	4	1	4
LOC107985869	2	2	2	13	12	14	9	26	4	10	7	5	8	4	6	7	9	10	10	2
PIRAT1	1	0	0	2	22	17	10	13	8	14	6	5	5	6	10	21	1	8	3	4
RMDN2	26	19	7	62	392	301	151	330	99	126	64	56	114	133	251	218	77	71	139	58
RMDN2-AS1	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0
CYP1B1	35	7	20	102	331	2365	1025	292	91	328	304	111	353	169	261	526	114	394	198	198
LOC107985871	0	0	0	10	4	4	2	0	2	5	0	1	2	1	2	4	4	5	2	1
CYP1B1-AS1	0	0	0	0	3	7	6	3	0	3	4	1	4	0	0	5	0	2	0	1
LOC102723739	1	0	0	0	1	5	0	0	1	3	2	1	0	2	2	7	0	2	2	0
LOC105374467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATL2	538	467	548	1614	2554	1665	852	1874	679	898	685	611	1151	818	1769	1472	767	691	1106	559
LOC105374468	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01883	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02613	11	6	6	2	4	0	2	0	1	0	1	0	1	0	0	2	0	0	0	3
HNRNPLL	328	327	405	1150	2366	1757	836	1709	707	902	620	632	1298	752	1721	1477	769	747	998	521
GALM	171	179	124	326	1113	721	363	898	351	410	383	229	619	267	856	760	435	468	569	282
LOC124905993	1	1	4	0	2	3	0	5	4	2	3	1	5	2	5	0	1	3	7	0
SRSF7	1087	1017	845	2398	5854	3660	1735	4628	1766	1813	1389	1134	2272	1661	4957	3184	1772	1592	2731	1007
GEMIN6	166	126	79	234	624	393	221	561	157	243	129	117	244	143	404	334	187	165	310	115
DHX57	647	765	391	1787	1808	1196	623	1427	539	739	548	504	876	485	1161	1044	524	631	802	416
LOC105374470	0	4	4	11	2	3	1	1	1	1	0	1	4	2	2	4	0	0	7	2
MORN2	232	198	53	346	562	308	175	497	140	171	115	112	211	113	335	294	167	159	160	103
ARHGEF33	25	11	18	29	35	19	14	31	9	24	17	11	23	14	19	40	20	19	14	9
LOC105374471	5	6	11	6	12	6	7	15	6	10	6	5	8	2	12	9	4	11	4	3
LOC375196	1	0	0	0	9	9	8	12	5	6	8	12	7	2	1	9	6	5	2	3
SOS1	1205	1329	1283	4395	3833	2718	1499	2804	1342	2157	1462	1770	2419	1366	2857	2709	1787	2084	2008	1073
CDKL4	1	2	3	19	15	8	0	6	2	3	2	3	5	0	11	11	9	2	8	3
MAP4K3	766	829	937	2738	4344	3254	1580	3042	1333	1712	1115	1297	2305	1680	3393	3001	1681	1441	2529	1240
MAP4K3-DT	6	22	36	18	263	179	114	333	90	102	93	96	140	93	217	243	123	134	181	94
TMEM178A	56	38	132	127	2611	2019	1027	1318	652	803	569	449	1277	1023	2531	1889	690	614	1903	622
THUMPD2	137	116	151	348	583	379	192	392	177	227	204	167	209	162	399	414	202	180	242	138
LOC124905994	3	6	18	22	52	58	19	63	19	40	22	18	36	31	52	44	28	29	38	16
LOC112268436	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	1	0
SLC8A1-AS1	4	3	7	9	14	10	16	27	6	22	6	10	8	11	7	11	19	7	12	8
SLC8A1	1857	2294	3579	5113	74503	43095	21901	50859	20849	31372	21356	18374	43837	25278	49420	46350	19295	21179	36526	16606
LOC101929667	2	6	16	39	55	20	14	28	4	26	17	8	17	4	12	23	17	23	15	13
LOC105374473	0	2	1	1	2	4	2	0	1	0	0	1	0	0	0	2	4	3	0	1
LOC105374475	0	2	2	5	4	0	2	2	0	1	0	0	1	0	2	1	1	1	1	0
LOC105374497	0	3	0	0	0	4	1	0	1	3	1	0	2	3	0	6	2	3	1	1
LOC105374491	5	7	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01794	0	0	0	24	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0
LOC105374506	1	1	1	11	0	3	2	2	3	0	0	0	1	1	0	1	0	0	0	0
LINC01913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LINC01914	2	1	1	9	4	9	5	9	2	5	4	4	2	0	7	1	1	7	1	0
LINC02898	0	0	0	0	5	4	4	1	1	1	2	0	2	3	3	4	0	2	0	0
LOC124905996	1	0	0	0	2	2	5	11	0	0	0	0	3	0	0	1	0	0	0	0
LOC105374517	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PKDCC	354	378	202	443	2678	1793	1207	3223	1270	1069	1138	547	1328	480	1963	1717	738	1113	690	366
LOC105374531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EML4-AS1	0	0	2	0	5	4	3	18	1	6	3	3	5	2	3	2	2	1	0	4
EML4	500	457	602	1627	2634	2466	1335	1724	746	1097	965	832	1257	698	1649	1487	835	1044	1106	524
COX7A2L	1215	1087	1070	2877	4038	2603	1336	3831	1250	1504	1171	910	1803	967	2562	2216	1314	1314	1941	708
KCNG3	0	0	0	0	2	0	1	4	0	0	3	1	0	1	0	0	2	2	0	0
LOC124900542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTA3	415	398	593	922	1901	1373	675	1375	558	673	616	540	844	492	1242	1063	590	601	860	361
LOC105374555	0	2	0	15	1	1	1	0	0	1	0	0	1	1	1	4	0	0	2	1
OXER1	4	0	3	0	10	19	11	7	3	11	5	5	8	1	3	4	7	15	3	1
HAAO	0	1	1	10	30	28	15	14	9	23	33	18	10	0	1	23	6	32	8	7
TRI-TAT2-1	1	0	0	0	3	2	2	0	0	2	4	0	0	0	1	4	0	5	1	1
LOC105374568	0	1	0	0	0	7	2	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC112268413	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0
LINC01819	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC107985876	0	1	5	2	1	2	1	1	1	1	2	1	1	0	0	1	0	3	0	0
LOC124907756	0	1	0	0	0	2	2	0	0	1	2	2	1	0	1	0	1	2	0	0
LINC02580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374570	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
LOC124907755	1	0	0	0	1	0	0	0	0	2	1	5	1	1	2	2	3	4	4	0
ZFP36L2	186	201	140	518	4852	3071	1403	2157	1083	1615	1315	1408	2884	1067	2904	3682	1629	1627	2133	1221
LINC01126	1	0	0	4	29	22	14	42	17	20	18	14	14	6	26	28	13	23	24	5
THADA	415	390	215	854	1292	987	444	898	337	556	395	442	641	368	863	795	342	454	588	221
PLEKHH2	6	8	4	47	73	295	149	20	8	108	122	65	56	28	74	125	18	113	68	42
C1GALT1C1L	0	0	0	0	4	0	2	0	4	5	5	4	4	0	11	1	3	1	2	2
DYNC2LI1	176	136	83	448	656	515	237	505	213	289	195	174	325	181	459	382	272	263	286	131
LOC105374571	1	0	0	14	2	1	0	9	0	0	1	0	0	2	2	1	1	1	3	0
ABCG5	2	1	2	6	9	7	4	10	2	3	5	3	8	4	13	3	7	9	5	2
ABCG8	1	2	3	6	2	2	0	0	4	0	1	0	1	0	2	0	0	0	4	0
LOC102725159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRPPRC	3364	4208	2480	12046	8184	5958	2973	6916	2172	2577	2085	2349	4336	3223	7056	5032	2293	2462	4890	1921
LOC124907757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102723904	1	0	0	0	2	8	0	2	0	1	1	0	2	1	1	7	1	2	1	0
PPM1B	1116	1233	1035	3534	3991	2996	1440	4586	1263	1647	1121	842	2607	1118	2638	2852	1372	1402	1737	1042
SLC3A1	15	26	54	91	81	51	33	55	34	29	25	30	38	29	45	60	40	35	31	20
PREPL	773	1179	864	2536	4316	2537	1106	3406	1401	1613	1197	914	2183	956	2109	2721	1374	1303	1410	946
CAMKMT	26	14	38	54	254	144	72	184	89	90	58	73	116	39	106	97	76	71	78	41
LOC124905998	1	3	4	7	1	3	1	8	2	1	2	0	0	1	4	4	3	4	0	2
LOC124907759	1	5	9	35	8	5	4	13	3	8	0	5	1	0	2	15	2	2	6	3
LOC124905999	4	23	24	45	32	26	15	73	9	25	11	12	20	15	17	14	23	12	22	18
LOC124907758	8	3	15	13	26	23	4	26	9	15	5	3	12	2	7	10	13	7	4	7
LOC105374573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01833	1	0	0	1	0	256	96	0	0	6	3	0	0	0	0	0	2	5	0	0
SIX3-AS1	0	0	0	0	0	14	9	0	0	1	1	0	0	0	0	0	0	0	0	0
SIX3	0	0	0	16	0	296	120	3	2	6	6	0	0	0	0	0	0	1	1	0
SIX2	2	0	0	0	3	4	4	4	5	3	16	1	5	0	4	0	1	13	1	0
LOC107985809	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
LINC01121	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374577	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SRBD1	90	77	63	173	669	542	322	584	209	291	236	203	377	197	485	490	184	194	306	150
LOC102724965	9	2	0	0	50	15	11	24	11	14	16	5	13	6	30	27	19	22	8	8
PRKCE	117	74	127	267	788	625	300	805	328	415	322	218	433	292	731	576	300	354	535	235
PRKCE-AS1	0	2	4	4	1	2	4	4	1	4	0	0	5	2	1	1	3	4	6	3
LOC124907761	2	0	3	8	4	0	1	5	3	9	0	3	1	0	3	6	0	10	3	0
LOC101926974	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
LOC105374581	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
EPAS1	69	56	93	772	933	2769	1246	374	169	533	562	406	697	169	480	670	254	606	336	247
LINC01820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
LOC124907762	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
LINC02583	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
LOC124906002	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0
ATP6V1E2	24	22	17	93	202	194	98	156	72	153	109	88	124	53	180	211	83	154	124	62
RHOQ	2598	2702	1413	8620	17888	12603	6312	9781	4813	8263	5988	4410	9181	5522	12746	14643	6195	7161	9201	5507
RHOQ-AS1	45	46	88	206	203	115	53	45	50	75	94	69	110	33	114	163	62	108	97	58
PIGF	21	15	17	57	236	198	101	209	69	129	87	83	128	80	162	132	94	128	74	66
LOC124906003	22	10	28	72	93	67	26	38	25	44	14	27	50	35	79	72	39	45	61	49
CRIPT	482	419	324	1594	1422	1068	516	967	428	621	405	391	749	471	1096	891	522	518	717	359
LOC105374584	30	35	111	131	85	65	26	41	28	39	32	41	42	25	76	55	39	40	72	18
SOCS5	285	289	244	988	1385	1241	552	916	447	703	516	457	914	494	1007	940	456	509	591	381
LINC01118	1	0	0	0	4	5	1	3	2	4	2	2	4	2	9	2	1	4	3	2
