	SRX3375391	SRX3375392	SRX3375393	SRX3375394	SRX3375395	SRX3375396	SRX3375397	SRX3375398	SRX3375399	SRX3375400
LOC105377202	0	0	1	3	1	4	0	0	1	0
CSNKA2IP	0	0	1	0	0	0	0	0	0	0
EPHA3	189	19	47	101	9	1	122	227	720	1077
LOC124906381	0	0	0	0	0	0	0	0	0	0
LOC101930420	0	1	0	1	1	0	0	0	0	0
PROS1	73	67	227	431	1974	1256	1435	1356	1391	1138
ARL13B	310	356	253	273	508	415	166	201	281	360
STX19	10	0	0	2	5	17	2	1	11	26
DHFR2	88	94	146	207	256	134	95	146	164	177
NSUN3	270	260	398	433	620	515	326	391	381	412
LOC105373992	0	0	0	0	0	1	0	0	0	0
LINC00879	0	0	0	0	0	0	0	0	0	0
MTHFD2P1	1	1	0	0	1	0	0	0	0	0
MIR8060	0	0	0	0	0	0	0	0	0	0
LOC124909397	30	13	10	15	25	12	5	0	12	13
EPHA6	197	89	688	454	235	93	21	9	36	78
LOC107986103	28	7	12	11	23	38	3	1	16	33
LOC101929278	1	0	6	1	0	0	0	0	0	0
LOC124906256	0	0	4	4	0	0	0	0	0	0
ARL6	293	275	232	257	417	359	153	234	161	235
LOC101929298	0	0	0	0	1	0	0	1	2	4
CRYBG3	1540	1034	1169	943	1444	1136	2263	3555	8435	5656
LOC105373994	1	2	4	0	3	6	2	2	27	32
RIOX2	217	363	203	179	480	375	409	599	538	572
LOC124909398	0	0	1	0	0	1	2	2	0	1
GABRR3	0	0	0	0	0	0	0	0	0	0
OR5AC2	0	0	0	0	0	0	0	0	0	0
OR5H1	1	0	0	0	0	1	0	0	0	0
OR5H14	0	2	1	2	0	1	0	0	0	0
LOC105373996	0	0	0	0	0	0	0	0	0	0
OR5H15	0	0	1	0	0	1	0	0	0	0
LOC105373998	0	0	1	0	0	0	0	0	0	0
LOC105373997	83	120	334	214	9	1	0	0	0	0
LOC101929320	1	0	0	0	0	0	0	0	0	0
LOC105373999	71	30	36	35	3	14	0	0	0	0
OR5H6	2	4	3	4	0	2	0	0	0	0
OR5H2	8	1	1	3	0	4	0	0	0	0
OR5K4	0	0	0	0	0	0	0	0	0	0
LOC105374000	0	0	0	0	0	0	0	0	0	0
OR5K3	0	0	0	0	0	0	0	0	0	0
OR5K1	0	0	0	0	0	0	0	0	1	0
OR5K2	0	0	0	0	0	0	0	0	0	3
CLDND1	1486	1475	1225	1604	2068	1665	703	939	1466	1438
GPR15	0	0	1	0	0	0	0	0	0	1
CPOX	1252	1129	791	1015	897	701	423	709	611	649
ST3GAL6-AS1	4	3	3	8	31	22	37	38	31	14
ST3GAL6	148	160	175	253	1055	957	885	1046	703	661
DCBLD2	3569	3740	3373	4809	5954	5557	4375	5677	9419	6510
LOC105374002	3	0	2	0	5	6	0	4	2	4
LOC105374003	0	0	1	1	1	2	0	2	0	2
LOC124906343	0	0	0	0	0	0	0	0	0	0
LOC124909399	0	0	0	0	0	0	0	0	0	0
LOC107986104	0	0	0	0	0	0	0	0	0	0
LOC105374004	0	0	0	0	0	0	0	0	0	0
LOC105374007	0	0	0	0	2	0	0	0	2	0
LOC105374005	0	0	0	0	5	1	0	1	0	9
LOC124909401	1	1	0	0	0	1	0	0	0	8
COL8A1	32	28	5	5	229	120	154	450	171	499
HP09053	18	15	7	12	34	37	5	5	28	42
CMSS1	581	771	350	342	639	548	256	400	261	236
FILIP1L	66	34	52	50	241	450	319	74	1911	3782
MIR3921	0	0	0	0	0	1	0	0	0	0
LOC124909400	156	58	84	59	194	505	21	15	258	626
LOC105374009	9	5	6	1	19	36	2	2	23	43
TMEM30CP	2	1	0	0	0	0	1	0	1	0
TBC1D23	807	890	690	971	1500	1106	778	937	1098	1275
NIT2	455	580	260	312	763	663	701	945	731	783
TOMM70	3498	3870	2042	2985	3370	2794	2798	3746	3674	3020
LNP1	214	250	137	159	475	369	188	200	286	217
TMEM45A	736	470	743	1166	1481	1050	499	931	243	315
ADGRG7	1041	1537	795	1084	1762	1261	1356	1313	0	1
TFG	1894	1908	1340	1712	2570	2093	2305	2546	2061	2052
ABI3BP	22	9	11	15	24	56	9	12	447	711
LOC124906260	3	0	6	11	10	30	2	9	48	172
LOC124906356	0	0	0	0	0	0	0	0	0	0
IMPG2	5	3	9	8	17	15	60	65	79	120
SENP7	308	244	438	704	1410	1242	734	851	1381	2155
LOC124906362	0	0	0	0	0	4	0	0	1	6
FAM172BP	3	3	0	0	0	0	0	0	0	0
TRMT10C	991	1359	515	712	904	813	636	826	492	549
PCNP	2413	2022	1648	2469	3349	2983	1098	1588	1518	1803
ZBTB11	786	749	503	649	1212	1035	478	555	895	975
ZBTB11-AS1	18	20	17	28	39	40	13	12	24	22
LOC124906262	224	255	181	235	448	367	130	191	723	792
RPL24	6904	7281	5676	7590	9507	7283	2447	3397	4803	3508
LOC124909402	10	9	4	6	15	23	10	1	15	45
PDCL3P4	6	9	9	2	10	13	3	9	10	31
CEP97	905	973	865	952	2114	1914	678	911	1517	1340
NXPE3	923	1059	381	406	698	564	339	499	560	553
NFKBIZ	151	189	72	62	261	231	149	174	646	655
RDUR	0	0	0	0	0	1	0	0	3	3
LOC101929411	0	0	0	0	0	0	0	0	0	0
LOC107986105	0	0	0	0	0	0	0	0	0	0
ZPLD1	1	0	18	16	1	1	6	0	0	1
LOC105374016	1	0	95	162	0	1	3	1	23	6
LOC107986106	0	0	60	97	1	0	0	0	0	0
LOC105374017	0	0	32	43	0	0	0	0	0	0
LOC105374018	0	0	0	0	0	0	0	0	0	0
MIR548AB	0	0	0	0	0	0	0	0	0	0
LOC124909491	0	2	0	0	0	0	0	0	0	0
LOC124909492	2	1	0	0	0	3	0	0	0	2
LOC105374020	0	0	3	3	4	4	0	0	4	13
LOC105374021	2	4	1	0	0	1	0	0	0	0
LOC107986108	0	0	1	0	0	0	0	0	3	5
LOC105374023	0	0	0	0	0	0	0	0	0	0
ALCAM	669	796	208	221	3440	2294	485	944	1248	2162
LOC124906263	9	3	6	1	32	103	4	0	48	170
CBLB	507	584	620	809	2247	1757	355	392	1323	1609
LOC105374024	0	0	0	1	1	1	0	2	4	4
LOC124909403	0	0	0	0	0	0	0	0	30	25
LOC105374026	0	0	0	0	0	0	0	0	1	1
LOC105374027	0	0	0	0	1	0	0	0	10	5
LOC107986110	0	0	0	0	0	0	0	0	9	2
LOC107986112	0	0	0	0	0	0	0	0	2	0
LOC101929485	4	0	20	15	0	0	0	0	3	3
LOC105374029	23	15	34	14	2	9	1	1	14	34
LOC101929534	73	92	112	59	1	6	4	5	33	53
LOC124906264	42	63	47	39	1	6	0	1	11	20
LOC107986021	24	26	38	26	1	3	2	2	13	12
LINC00882	0	1	1	1	1	3	1	4	14	10
LOC124909404	0	0	0	0	1	2	0	0	6	12
DUBR	36	67	20	17	63	60	104	108	512	530
CCDC54	0	1	0	1	2	3	6	2	4	12
CCDC54-AS1	1	2	3	2	1	2	11	6	13	19
LINC01990	3	1	1	0	3	0	3	3	1	1
BBX	2999	2662	3561	4276	5046	4323	4978	6594	3116	2640
LINC00635	0	2	0	0	0	0	0	0	1	0
LINC00636	0	0	0	0	1	0	0	0	2	2
LOC124906266	1	0	0	0	0	0	0	0	4	1
LOC124906265	4	2	4	6	8	7	1	3	76	111
CD47	377	415	367	375	549	548	334	468	2087	2587
LOC105374031	0	0	0	0	0	0	0	1	0	6
LINC01215	0	0	0	0	2	0	0	0	0	14
IFT57	871	1010	912	921	1258	884	822	1001	751	720
LOC124909405	0	2	0	0	5	2	1	0	0	1
HHLA2	0	0	0	0	0	0	2	1	0	8
MYH15	40	41	211	236	69	75	15	25	48	72
LOC124900545	1	0	1	0	0	0	0	0	0	0
LOC124909406	0	0	0	0	0	1	0	0	1	1
CIP2A	1317	1696	826	900	1564	1398	171	170	831	940
LOC124900556	6	5	3	4	12	12	0	1	12	26
DZIP3	1687	1782	1869	2537	2678	2069	1592	2055	1696	1711
LOC105374033	0	0	0	0	0	0	0	0	0	0
LOC105374034	1	0	0	0	2	0	0	0	0	0
RETNLB	0	0	1	0	0	0	0	0	0	1
TRAT1	0	0	0	0	0	0	0	0	0	44
GUCA1C	0	0	0	0	0	0	0	0	0	0
MORC1	0	0	0	0	0	0	0	0	2	3
LOC124906382	0	0	0	0	0	0	0	0	0	0
MORC1-AS1	0	1	0	0	0	0	0	0	0	0
C3orf85	0	0	0	0	0	0	0	0	0	0
LINC00488	0	3	3	1	0	1	0	0	1	0
DPPA2	175	179	58	70	21	21	1	2	2	6
DPPA4	15463	15919	4630	4704	2754	2002	45	40	86	170
LINC01205	4	6	1	1	1	0	0	0	1	0
MIR4445	0	0	0	0	0	0	0	0	0	0
LOC124906267	2	0	0	0	0	0	0	0	0	1
LOC105374036	0	0	0	0	0	0	0	0	0	0
LOC105374037	0	0	0	0	5	1	0	3	0	1
LOC151760	27	17	27	27	115	68	55	59	25	26
NECTIN3-AS1	2	2	4	6	8	9	2	5	7	6
NECTIN3	739	872	379	623	1326	1154	762	1045	899	1161
LOC124909493	1	2	1	2	3	5	14	17	29	46
LOC105374038	0	0	0	0	0	1	0	0	1	5
LOC105374039	0	0	0	0	0	0	0	0	1	24
CD96	1	2	1	0	6	4	0	0	9	44
ZBED2	0	1	1	1	0	1	4	0	0	89
PLCXD2	206	202	42	36	211	167	116	148	75	119
PLCXD2-AS1	3	9	3	2	6	10	0	1	1	4
PHLDB2	1706	1969	3081	4044	2665	1939	1252	938	5752	4639
LOC107984087	0	0	2	1	5	9	0	0	0	3
LOC105374040	4	2	12	27	17	23	2	1	4	17
ABHD10	658	826	695	876	1187	836	465	671	661	649
TAGLN3	117	113	98	99	97	87	1	7	14	34
TMPRSS7	1	1	2	2	0	0	0	2	2	2
C3orf52	216	361	143	100	608	469	213	186	369	384
MIR567	1	0	0	0	1	2	0	0	2	2
GCSAM	41	48	20	15	64	83	10	14	72	106
TBILA	0	0	0	0	0	0	0	0	0	0
SLC9C1	56	30	679	657	84	94	3	6	272	267
LOC124909407	15	10	84	64	33	50	15	9	91	113
LOC105374042	3	4	6	4	14	7	5	3	21	16
CD200	1629	1481	2636	2989	763	491	41	25	270	499
LOC105374041	1	4	1	1	0	0	0	0	3	0
LOC124909408	2	6	3	3	0	0	0	0	0	0
BTLA	5	4	12	6	1	1	1	2	0	6
ATG3	880	1056	552	588	779	594	613	780	600	576
SLC35A5	912	966	1085	1484	1558	1178	785	916	757	788
CCDC80	112	122	59	80	1309	647	7612	4846	3736	5597
LINC02042	2	1	3	2	3	3	0	0	0	1
MIR9900	0	0	0	0	0	0	0	0	0	0
CD200R1L-AS1	1	0	0	0	4	0	0	2	0	2
CD200R1L	0	0	4	0	1	4	0	0	0	3
CD200R1	4	2	3	12	17	4	11	5	11	6
GTPBP8	372	449	290	464	717	514	545	509	389	426
NEPRO	1761	1699	1675	2447	2855	2195	1579	1756	1532	1429
LOC124906268	0	0	1	1	1	3	0	1	6	11
LINC02044	3	2	1	5	23	20	10	7	17	22
LOC102723430	0	0	0	2	4	2	2	0	8	4
LOC124909486	4	2	7	7	101	105	9	19	19	63
BOC	100	76	140	220	2914	2449	186	190	658	1732
LOC124909409	3	0	5	0	88	185	4	4	37	260
LOC127898559	7	6	9	12	24	28	14	11	33	55
CFAP44	1	0	0	0	0	0	3	0	1	3
CFAP44-AS1	0	1	1	0	4	3	1	0	1	4
MIR8076	0	0	1	0	0	1	0	0	1	1
SPICE1	20	12	13	14	34	48	8	7	56	81
SIDT1	9	5	1	2	2	4	2	6	26	33
MIR4446	0	0	0	0	0	0	0	0	0	2
LOC124909410	0	1	3	1	3	3	4	3	2	2
USF3	1167	939	668	681	966	987	674	575	1634	1530
NAA50	5243	7387	2338	2684	5291	4823	2204	2906	2397	2676
ATP6V1A	4838	4856	2655	3098	4590	3646	2020	1969	1262	1572
GRAMD1C	65	39	83	94	176	157	19	18	60	96
ZDHHC23	587	685	188	189	519	526	665	931	333	326
CCDC191	56	41	222	270	414	380	100	119	297	409
LOC105374048	0	1	2	3	5	8	1	5	12	11
QTRT2	1332	1916	811	897	1182	1069	377	424	445	469
DRD3	1	6	0	2	0	0	21	10	0	0
ZNF80	1	0	2	2	1	2	0	0	0	0
TIGIT	0	3	6	5	0	2	0	0	8	5
LOC124909411	0	0	1	0	0	1	1	0	1	1
ZBTB20	131	59	189	149	349	485	1250	829	2381	2456
MIR568	0	0	0	0	0	0	0	0	0	0
ZBTB20-AS1	1	0	3	2	3	10	4	1	23	43
ZBTB20-AS5	0	0	2	0	0	0	0	1	1	9
MIR4796	0	0	0	0	0	1	0	0	0	1
ZBTB20-AS3	0	0	0	0	1	3	0	0	8	14
ZBTB20-AS4	2	1	2	0	2	8	0	0	8	15
LOC105374051	1	0	1	1	1	8	0	0	0	1
GAP43	294	401	90	59	48	35	25	20	43	115
LOC124909412	0	0	0	0	0	0	0	0	0	0
LOC124906269	0	0	1	1	1	1	0	0	1	8
LSAMP	98	91	388	695	962	1206	1081	797	572	1157
LOC124909413	0	0	3	4	0	6	0	1	2	11
LOC105374053	0	0	0	0	0	1	0	0	0	2
SNORD155	0	1	0	0	0	0	0	0	1	2
LOC107986116	0	0	1	2	0	2	2	0	1	3
LOC124909414	2	4	7	8	32	80	6	6	61	172
LOC105374052	1	2	3	6	13	39	3	0	26	121
LSAMP-AS1	4	3	5	3	4	5	3	2	8	20
LINC00903	0	0	0	1	0	0	0	0	1	6
TUSC7	1	0	2	2	13	24	1	2	12	35
MIR4447	0	0	0	0	0	0	0	0	0	0
LINC00901	0	0	1	2	11	12	0	0	2	8
LOC124909415	3	0	17	12	183	452	34	24	69	418
LOC105374054	2	0	0	0	4	14	1	1	1	9
LOC124906271	0	0	0	1	0	2	0	0	0	5
LOC105374056	1	1	3	12	173	312	35	16	57	273
LOC124906270	6	2	14	28	367	835	74	35	129	661
LINC02024	0	0	0	0	6	23	3	0	6	14
LOC101926953	2	0	0	2	34	60	2	2	9	44
LINC03051	1	0	1	6	118	134	79	48	13	62
LOC124909416	0	0	0	0	0	1	0	0	0	0
LOC105374058	0	0	0	0	0	1	0	0	0	0
LOC105374060	1	1	9	15	6	4	0	0	0	0
LOC101926968	0	0	3	1	1	0	0	0	0	0
LOC124909417	0	0	0	1	1	1	0	0	0	0
LOC105374059	0	3	6	17	2	3	0	0	0	1
IGSF11	35	41	30	64	111	138	37	28	144	95
IGSF11-AS1	2	0	0	1	1	3	0	0	2	9
TEX55	0	0	2	3	2	2	0	0	17	7
UPK1B	10	7	5	21	15	9	4	3	87	56
B4GALT4	855	942	682	1433	2241	1763	411	556	359	393
B4GALT4-AS1	9	6	3	6	17	22	2	5	1	15
ARHGAP31	261	247	265	566	639	434	3125	3414	4330	2978
ARHGAP31-AS1	13	16	12	9	28	32	10	4	35	57
LOC124906273	25	16	10	25	28	32	41	47	268	257
TMEM39A	882	1064	1131	1446	1808	1663	450	480	1186	1342
POGLUT1	393	635	466	635	1235	1023	574	614	509	654
TIMMDC1	1436	1936	736	951	1452	987	2370	2690	1518	1004
CD80	3	3	7	13	9	5	6	10	12	14
LOC107986118	0	0	0	0	0	0	0	0	0	0
ADPRH	115	118	79	97	90	78	224	310	286	197
PLA1A	0	0	0	1	15	26	7	0	13	18
POPDC2	4	6	1	3	396	329	5514	6354	20020	9222
COX17	339	381	247	280	449	328	500	611	487	407
LOC105374063	7	13	5	9	30	24	12	11	58	66
LOC105374064	0	0	0	1	2	0	0	0	0	0
CFAP91	77	67	78	77	359	326	16	9	11	35
NR1I2	37	56	13	20	21	17	0	2	7	14
GSK3B	2661	2284	1909	2463	3804	3036	2802	2833	3329	3060
MIR6529	1	0	1	0	2	3	1	1	3	10
LOC105374065	1	0	0	0	0	2	0	0	0	0
GPR156	52	64	55	61	96	83	9	18	23	49
LOC124909418	4	4	8	1	3	3	0	0	7	13
LRRC58	3022	2147	2185	2403	2055	2049	824	1048	1266	1666
LRRC58-DT	4	4	5	3	5	5	3	1	6	5
LOC124906274	0	0	0	0	1	2	0	0	0	3
FSTL1	8428	9532	14215	21017	34745	24883	14541	14719	27527	36741
MIR198	0	0	0	0	0	0	0	0	0	0
LOC124900546	350	319	319	365	850	1063	122	115	2315	4255
LOC107986121	0	0	0	0	1	0	0	0	3	0
NDUFB4	1974	1904	1505	2151	2140	1516	1371	1616	2268	1320
HGD	1	2	0	0	2	2	12	0	10	9
RABL3	308	474	357	437	717	453	387	416	669	628
GTF2E1	1135	1302	543	698	1202	888	766	1042	513	408
LINC02049	1	0	0	0	0	0	0	0	0	0
LOC105374069	34	36	11	6	4	2	0	0	0	1
STXBP5L	129	140	80	56	125	104	5	5	109	105
MIR5682	0	1	0	0	1	0	0	0	0	0
POLQ	1808	1878	864	794	2130	2043	198	251	1210	1220
ARGFX	5	3	0	0	0	0	4	1	11	12
LOC124906360	1	1	0	0	0	0	0	0	0	0
FBXO40	5	2	0	0	2	0	1617	2502	3580	1393
HCLS1	45	48	13	8	18	21	4	6	54	113
GOLGB1	4397	3399	4564	4502	7195	6422	7716	8992	9038	8010
IQCB1	1204	1280	853	1003	1325	1134	340	605	582	619
EAF2	54	64	19	14	27	26	14	22	26	41
SLC15A2	52	47	7	5	37	37	25	13	87	142
ILDR1	53	29	7	15	45	43	5	3	9	3
LOC101927010	5	2	0	1	1	4	0	0	0	0
CD86	10	11	8	6	2	1	0	0	28	26
CASR	2	4	0	0	0	0	1	0	9	9
CSTA	0	10	1	0	0	0	0	0	1	3
MIX23	950	1020	564	657	531	365	375	562	354	331
FAM162A	4609	1837	3013	4115	1265	837	3236	6949	1796	1126
WDR5B	108	156	156	158	438	344	160	206	282	283
WDR5B-DT	20	12	8	13	10	29	6	5	34	44
KPNA1	1638	1642	1011	1286	2399	2294	2418	2352	2014	2242
LOC107984000	0	0	3	3	3	3	2	0	0	2
LOC105374071	0	0	0	0	0	0	0	0	6	2
PARP9	71	128	75	54	117	81	41	27	302	292
DTX3L	346	410	186	178	232	165	81	39	676	655
PARP15	17	13	4	1	3	4	1	1	12	47
LOC124909419	0	0	0	0	0	0	0	0	0	3
PARP14	1389	1647	1159	1307	1357	1098	207	97	1199	1423
HSPBAP1	309	297	170	166	336	276	87	87	187	288
LOC124906363	0	0	0	0	0	0	0	0	0	1
SLC49A4	303	391	145	183	556	467	292	258	403	351
LINC02035	84	60	44	51	248	262	150	149	268	296
SEMA5B	350	337	367	784	288	193	44	59	1232	1766
PDIA5	493	481	402	513	616	520	137	67	272	444
MIR7110	6	4	1	0	2	4	0	0	1	0
SEC22A	227	287	204	301	540	444	283	319	517	557
ADCY5	516	518	114	130	206	127	813	499	9088	4783
LOC124909420	1	0	0	0	0	0	0	0	28	28
HACD2	1197	1273	832	985	1830	1320	729	607	1149	1069
MYLK-AS1	11	11	4	5	26	29	17	15	21	25
MYLK	670	733	241	150	657	613	229	150	894	1488
LOC124909421	7	8	5	3	14	28	3	10	27	52
MYLK-AS2	0	0	0	0	5	0	0	0	1	3
LOC105369194	13	17	6	4	14	20	0	3	10	15
LOC124906346	0	0	0	0	0	1	0	0	0	2
CCDC14	3077	2907	3302	3328	5934	7070	942	1199	3743	5431
ROPN1	3	3	2	1	0	0	0	0	1	0
KALRN	263	288	175	155	1281	1076	1584	1495	1557	2053
MIR5002	1	0	0	1	1	1	0	0	5	7
LOC105374077	0	2	0	0	3	14	0	0	15	31
MIR6083	0	0	0	0	0	1	0	0	2	1
LOC105374076	0	0	1	1	5	8	0	0	7	15
LOC124906276	1	3	0	1	4	4	1	2	2	5
UMPS	1659	2186	1156	1444	1956	1466	575	571	774	761
MIR544B	8	6	2	6	5	1	0	0	4	3
ITGB5	8873	9882	5929	6240	4064	2744	3022	2567	1938	1555
LOC124909422	90	51	59	66	57	68	7	8	51	72
LOC124906277	16	5	5	3	1	6	1	1	7	6
MUC13	0	0	0	0	0	2	0	0	1	0
HEG1	299	334	464	556	3365	3869	2161	2374	6244	4893
LOC124909423	0	0	0	0	7	3	3	13	1	7
LOC124906278	5	14	6	1	16	19	9	4	22	36
SLC12A8	211	418	181	231	249	228	41	63	42	48
MIR5092	0	1	0	0	0	1	0	0	0	0
ZNF148	1286	980	1278	1456	2273	2087	1680	2119	2507	2441
LOC105374080	8	11	6	16	20	25	6	5	6	9
LOC105374081	0	0	0	0	0	0	0	0	1	0
LOC124906351	0	0	0	0	0	0	0	0	1	2
SNX4	600	678	822	1057	1480	1095	618	689	868	845
OSBPL11	1106	1137	633	688	1219	1023	1077	1182	796	781
LOC112267908	9	21	30	51	116	75	17	16	6	13
LOC105374312	0	0	0	0	8	7	0	0	2	5
LOC124909424	1	2	2	3	19	24	1	3	0	18
MIR548I1	0	0	0	0	1	3	0	0	0	1
LINC02614	4	0	22	43	34	39	1	12	4	45
LOC102723696	38	19	142	223	201	265	20	29	100	230
FAM86JP	19	23	17	22	36	22	19	32	16	21
ALG1L1P	6	16	3	2	13	9	3	4	7	4
ROPN1B	2	0	1	3	2	2	2	0	8	13
SLC41A3	708	577	814	1126	1138	858	693	718	988	817
LOC124909425	1	0	0	0	1	0	0	0	1	8
LOC105374085	7	9	6	5	16	10	34	26	20	13
ALDH1L1	34	26	16	24	17	10	24	28	31	18
ALDH1L1-AS1	0	1	0	0	0	0	1	1	0	0
LOC105374083	0	0	0	0	0	0	0	0	0	0
ALDH1L1-AS2	2	1	0	1	1	1	0	1	2	1
LOC124909426	3	4	4	11	10	3	3	10	13	19
LOC107986124	4	2	0	0	6	10	0	3	6	10
KLF15	421	427	373	594	507	384	78	158	386	176
LOC105374088	1	1	2	3	3	4	0	0	1	0
LOC107986044	1	0	0	0	1	0	0	0	0	1
CFAP100-DT	1	2	0	0	0	0	0	0	0	0
CFAP100	15	18	12	7	8	11	4	6	16	24
LOC124906280	7	1	0	0	2	4	0	1	7	12
ZXDC	1609	1223	931	1112	1519	1363	1243	1354	1722	1609
UROC1	0	1	0	0	1	0	0	1	3	4
CHST13	38	44	5	2	37	20	40	16	19	3
C3orf22	2	2	3	0	1	3	1	0	10	4
LOC105374090	10	9	16	9	43	45	47	32	51	105
TXNRD3	177	164	150	160	435	297	252	313	314	374
NUP210P1	0	0	0	0	0	0	0	0	0	1
CHCHD6	571	466	273	345	379	276	351	800	300	205
PLXNA1	3820	3744	2659	3047	4674	4351	5036	7347	6887	4738
PRR23E	0	0	0	0	0	0	0	0	0	0
LOC124906281	1	0	0	0	0	1	0	0	0	0
PRR20G	1	2	0	0	0	0	0	0	0	0
LINC02016	0	0	0	0	0	0	0	0	0	0
LOC105374094	0	0	0	0	0	0	0	0	0	0
LINC01471	0	0	0	0	0	0	0	0	1	1
LINC02034	0	0	0	0	0	0	28	38	45	14
TPRA1	515	576	398	539	777	533	516	721	516	460
MIR6825	0	0	0	0	0	0	0	0	0	0
MIR7976	0	0	0	1	0	1	0	1	1	0
MCM2	6026	8377	3591	3649	6599	5146	1029	1441	3435	2386
LOC107986126	0	1	0	1	1	0	0	0	0	0
PODXL2	822	789	179	155	190	119	250	237	82	251
ABTB1	34	39	26	40	98	68	95	74	157	99
MGLL	7	4	5	3	13	2	115	59	257	216
LOC107986127	1	0	0	0	0	0	4	0	13	17
LOC107986129	0	1	1	2	0	0	0	2	3	3
LOC105374096	0	0	0	0	0	0	0	0	0	0
LOC124909427	0	0	0	0	0	1	0	0	3	1
KBTBD12	10	18	4	2	12	14	29	16	214	115
LOC102723759	6	3	4	10	19	18	3	3	12	22
SEC61A1	3797	5118	2934	3623	5413	4457	3547	3334	3921	4012
RUVBL1	3649	4785	1766	1792	2764	1955	1285	1609	1266	967
RUVBL1-AS1	4	3	4	1	14	10	0	2	8	4
EEFSEC	225	213	144	152	314	258	272	301	302	326
LOC124909428	10	2	2	3	12	4	2	2	4	2
LOC124909429	0	1	0	0	0	1	0	0	0	1
DNAJB8	0	0	0	0	0	0	0	0	0	0
DNAJB8-AS1	0	0	2	0	1	0	0	0	0	0
GATA2	2	7	20	34	640	445	206	105	186	264
GATA2-AS1	0	1	7	9	179	118	71	47	88	126
LOC90246	0	0	2	2	70	70	50	24	101	102
LINC01565	0	0	1	0	0	3	0	0	2	2
LOC124909430	0	0	0	0	0	3	1	0	0	0
RPN1	7114	8596	7989	9044	9766	7215	5419	5485	4469	3661
LOC124900558	0	0	0	0	1	0	0	0	0	0
RAB7A	2205	1670	1423	1504	1379	1129	1547	1459	1932	1651
MIR12124	0	0	0	0	0	0	0	0	0	1
IFT122P3	6	3	55	95	5	13	34	38	7	16
ACAD9-DT	29	50	53	62	55	37	35	21	28	90
ACAD9	574	793	598	781	1196	1033	583	767	964	972
CFAP92	174	94	90	153	174	233	38	60	187	227
EFCC1	3	4	0	1	15	23	1	0	35	38
GP9	0	0	0	3	0	2	0	0	7	3
LOC124906368	0	0	0	0	0	0	1	0	0	0
RAB43	59	105	42	97	78	52	29	35	32	22
ISY1-RAB43	0	0	0	0	0	0	0	0	0	0
ISY1	130	177	136	208	217	135	144	174	191	195
CNBP	8517	8676	6286	8439	11561	10037	4312	6091	5702	4541
LOC105374101	13	21	26	27	51	33	17	30	35	48
LOC105374102	0	0	0	0	1	0	0	0	0	1
COPG1	3420	3577	4372	5712	5516	4501	3675	3986	3936	3699
MIR6826	0	0	1	1	1	0	0	1	3	3
HMCES	873	963	689	780	1099	815	938	1222	1494	1061
H1-10	2336	3012	2305	2907	7291	4793	1905	2304	2234	1717
H1-10-AS1	105	175	83	104	304	208	48	29	90	91
RPL32P3	127	83	72	136	207	190	65	92	144	169
SNORA7B	42	38	38	49	93	122	99	111	58	80
EFCAB12	7	4	6	3	12	5	4	3	3	8
MBD4	1059	1243	779	997	1698	1358	711	866	675	659
IFT122	557	567	705	861	1110	851	531	419	965	981
RHO	1	0	0	2	2	0	0	0	4	0
H1-8	0	1	6	6	2	0	0	0	1	0
PLXND1	1284	1519	1510	1764	2262	2164	432	360	5477	5305
LOC124909431	0	0	0	0	1	0	0	0	3	3
TMCC1	766	616	594	728	1334	1117	985	1181	1141	1029
TMCC1-DT	31	31	56	101	189	156	79	158	125	140
TRH	5	3	26	46	26	14	182	285	394	247
ALG1L2	7	10	31	45	28	14	0	0	1	1
LINC02014	8	9	12	7	14	12	0	4	1	2
FAM86HP	26	29	60	67	117	90	32	56	47	54
LINC02021	42	40	86	122	167	114	20	36	45	55
LOC124909432	6	7	6	20	22	11	1	6	8	12
LOC107986131	9	14	55	86	116	59	26	29	18	10
LOC107986133	7	6	27	36	89	106	52	18	24	38
LOC124906285	3	0	7	22	68	49	12	5	12	13
LOC124906287	0	0	1	2	8	11	2	1	2	0
LOC124909433	0	1	9	8	20	24	13	8	6	11
COL6A4P2	12	9	76	194	442	467	161	138	51	74
LOC105374106	0	0	0	1	0	0	0	0	0	0
COL6A5	0	4	3	0	7	5	0	0	8	40
COL6A6	15	8	47	63	1138	1220	24	18	7135	7180
PIK3R4	2023	2577	1236	1446	2384	1921	1255	1404	1520	1365
LOC107986023	2	4	15	5	23	8	5	5	6	10
LOC105374107	0	0	0	0	0	0	0	0	0	0
LOC105374108	0	0	0	0	0	0	0	0	0	0
ATP2C1	2616	2381	2114	2698	3467	3142	1753	1977	2700	2849
ASTE1	132	214	136	136	354	259	192	209	249	266
NEK11	11	24	59	79	120	83	156	161	263	341
LOC124909434	3	5	2	1	10	6	1	1	14	26
NUDT16-DT	2	5	9	10	12	19	5	5	13	37
NUDT16L2P	382	328	276	350	393	302	163	230	133	60
NUDT16	1175	1178	937	1198	1779	1365	1697	2563	1294	982
LOC107986025	1	2	3	1	5	3	1	2	5	6
LOC105374110	0	0	0	0	1	1	1	0	3	3
MRPL3	4280	5313	2343	2873	3276	2506	1487	1942	1576	1410
SNORA58	4	9	5	3	4	7	2	1	5	17
LOC105374114	1	5	0	3	1	0	3	1	2	0
CPNE4	40	20	9	19	151	93	54	70	52	77
