	day0_rep1	day0_rep2	day2_rep1	day2_rep2	day5_rep1	day5_rep2	day14_rep1	day14_rep2	fetal_rep1	fetal_rep2
CRYZL2P-SEC16B	1	1	2	0	2	4	0	0	5	2
SEC16B	0	0	0	0	0	0	0	0	0	5
CRYZL2P	45	48	5	22	32	30	9	5	85	101
LOC124904459	3	1	3	1	1	1	0	1	1	3
RASAL2-AS1	58	53	37	42	66	52	44	47	108	90
RASAL2	2960	2789	1470	1329	1819	1721	2700	2718	6335	5206
LOC105371630	79	34	44	25	47	95	17	12	529	798
LOC105371629	32	20	10	20	204	219	88	90	151	229
CLEC20A	11	13	8	3	5	14	2	5	34	47
LOC101928866	0	1	0	0	0	0	0	0	1	0
TEX35	0	1	0	0	0	0	0	0	10	9
LOC105371631	0	0	1	0	0	0	0	0	0	0
LOC124904460	3	5	10	6	21	18	2	13	6	13
C1orf220	28	23	27	28	53	44	12	20	66	97
LOC105371632	26	9	17	11	45	75	7	14	92	212
MIR4424	0	0	0	1	0	0	0	1	0	0
LOC124904461	8	7	17	14	33	21	6	9	8	8
RALGPS2	2117	2110	3136	4052	4124	4117	2031	2738	2041	2453
LOC124904462	5	2	6	3	4	8	0	0	4	17
ANGPTL1	16	12	31	27	38	88	23	3	195	597
LOC102724754	0	0	0	0	0	1	0	0	0	2
FAM20B	3070	3035	2229	2528	4124	3202	2490	2823	3453	3034
TOR3A	869	1012	904	998	1041	751	626	787	432	475
ABL2	1801	1174	1302	1243	2737	3400	1384	1254	2335	2303
LOC124900429	7	2	3	2	5	6	0	0	8	19
SOAT1	192	264	1100	1915	2271	1778	927	950	1350	1518
AXDND1	5	2	14	16	8	6	8	11	7	5
NPHS2	0	2	3	9	1	0	0	0	0	0
TDRD5	22	35	15	23	14	9	1	2	41	34
LOC105371635	0	0	0	0	0	0	0	0	0	1
FAM163A	2	2	9	12	0	0	5	0	7	54
LOC128071543	0	0	0	0	0	0	0	0	0	0
MIR12116	0	0	0	0	0	0	0	0	0	0
LOC105371634	0	1	1	4	1	0	1	0	3	32
LINC02818	31	16	14	18	14	12	11	17	7	18
LOC124904463	0	1	0	1	0	0	0	0	4	5
TOR1AIP2	4877	5515	3572	4386	5883	4667	5235	5427	4249	4413
TOR1AIP1	1363	1506	1567	1974	1938	1516	1197	1273	1671	1647
LOC101928933	2	0	0	6	1	1	0	0	0	2
CEP350	5580	4084	4717	4518	7729	7184	4786	4531	7227	6989
LOC105371636	8	7	13	8	30	9	2	3	2	4
QSOX1	6698	6456	5275	6712	4527	3224	1349	1311	3175	3330
LHX4	13	7	1	3	6	3	1	1	10	7
ACBD6	1768	2185	1154	1404	1829	1462	1436	1582	1473	1455
LHX4-AS1	0	0	0	0	0	0	0	0	0	0
LOC105371637	29	19	20	15	43	52	9	7	71	148
MIR3121	2	0	1	0	0	0	1	0	1	3
OVAAL	0	0	0	0	0	0	32	52	10	4
XPR1	3227	3108	2744	3546	4023	3092	8917	10408	4158	3092
LOC124904464	23	9	14	14	25	34	9	11	77	155
KIAA1614	143	117	166	216	170	173	74	75	771	574
LOC107985231	9	4	7	4	2	9	1	3	28	46
KIAA1614-AS1	8	2	9	2	4	4	1	2	8	12
STX6	2845	2919	1228	1495	1868	1653	1221	1346	1305	1357
MR1	2	5	14	5	16	8	12	7	63	115
LOC124904465	2	1	0	3	11	10	0	0	3	1
IER5	1236	952	1263	1838	2256	2227	669	572	893	727
LINC01732	2	1	1	1	0	1	2	0	1	3
LINC01699	0	0	0	0	0	0	0	0	0	2
LOC107985454	0	0	0	0	0	0	0	0	0	0
CACNA1E	66	50	21	32	30	15	32	45	11	52
LOC107985232	2	0	0	0	0	0	0	1	1	3
LOC105371640	1	0	1	1	1	0	0	1	0	1
ZNF648	14	51	14	5	36	25	5	4	3	10
LOC105371642	0	0	0	1	0	0	0	0	0	0
LINC01344	0	0	0	0	0	0	0	0	0	2
GLUL	7939	10388	10600	15448	15279	11176	4310	5040	9130	5140
TEDDM1	0	2	2	2	4	6	0	3	13	15
LINC00272	0	0	0	0	0	1	0	0	3	1
RGSL1	0	0	0	0	14	15	0	0	1	0
RNASEL	94	112	172	162	422	282	373	367	259	388
RGS16	495	604	447	218	269	332	204	16	114	91
LINC01686	11	12	26	13	14	13	11	8	5	6
RGS8	6	4	62	37	26	38	17	12	15	1
LINC01688	0	0	0	0	0	0	0	0	0	0
NPL	73	90	98	89	102	115	25	34	133	201
DHX9-AS1	36	29	50	52	80	84	22	18	30	43
DHX9	18113	21793	10106	10297	17148	13396	11306	10980	9784	8915
SHCBP1L	0	0	0	0	0	0	0	0	10	5
LAMC1	10952	9221	10663	12556	28014	20077	18417	17860	43491	30817
LAMC1-AS1	12	13	7	6	23	13	5	9	33	70
LAMC2	609	693	1651	1700	1253	1094	223	54	437	304
NMNAT2	385	403	77	85	283	290	96	72	260	159
LOC105371646	0	0	0	0	14	5	2	2	12	7
SMG7-AS1	8	14	13	11	36	31	23	28	74	64
SMG7	1225	831	784	930	1603	1619	1071	837	2900	2960
NCF2	6	2	7	12	22	18	5	7	95	83
ARPC5	2252	2793	1655	1864	4261	3156	2348	2309	2435	3311
RGL1	161	209	63	88	2253	1523	2011	1841	2801	3390
APOBEC4	1	0	2	1	1	8	9	6	136	198
COLGALT2	208	217	401	288	713	571	1589	2158	1528	1594
TSEN15	1015	1366	1011	963	1567	1241	1042	1470	1020	1131
LOC102724830	9	5	6	5	12	11	5	13	3	18
LOC124904466	0	0	1	0	0	0	0	0	4	5
LOC124904467	0	0	0	0	0	0	0	0	0	0
C1orf21-DT	10	10	1	3	8	8	5	2	11	13
C1orf21	786	886	246	211	2075	1453	793	741	2738	2484
LOC107985236	10	3	4	0	31	41	6	3	84	142
LOC124904468	1	0	1	0	4	2	0	0	1	2
LOC105371648	1	3	2	1	46	34	1	1	6	9
EDEM3	1375	1563	1042	1173	2992	2563	2580	2718	2411	2544
LOC105371649	0	0	0	0	0	2	0	0	0	2
NIBAN1	514	576	80	154	111	102	355	589	7237	5091
LOC107985238	1	2	0	0	0	0	0	0	36	47
LOC124904469	21	4	1	2	2	5	1	5	307	477
LINC01633	0	0	0	0	0	0	0	0	0	0
RNF2	1202	1386	1429	1755	2233	1953	1141	1389	1100	1291
TRMT1L	1060	1249	1162	1417	1624	1224	1229	1816	940	931
SWT1	449	500	469	631	723	594	347	455	654	604
LOC105371651	34	21	33	22	75	75	16	21	168	254
IVNS1ABP	14037	15990	7758	6776	10851	9528	2550	3854	9146	8325
CBSLR	61	31	42	42	100	144	34	31	151	151
GS1-279B7.1	4	5	6	2	12	15	1	3	21	40
LOC107985239	3	0	2	2	5	13	3	5	4	3
LINC01350	0	0	0	0	0	2	0	0	2	1
GS1-204I12.4	0	1	1	0	5	2	2	0	2	3
HMCN1	2829	1813	4956	3868	13005	14899	6255	2805	9108	14759
LOC105371654	1	3	1	2	6	5	0	0	1	15
LOC124904471	0	0	1	1	0	0	0	0	0	0
PRG4	4	7	3	1	14	16	3	7	469	175
TPR	14787	14585	12899	13873	17452	13969	10535	11568	12257	11873
ODR4	950	1101	952	1240	1500	1296	880	1096	923	1179
PDC-AS1	1	2	3	1	4	9	10	8	20	25
PDC	5	0	0	1	2	5	3	2	19	23
PTGS2	28	25	6	3	8	12	17	7	117	203
PACERR	3	3	2	3	1	4	0	0	6	6
PLA2G4A	71	90	10	12	74	37	16	16	144	265
LINC01036	0	0	0	0	1	2	0	0	2	2
LOC105371655	0	0	0	0	0	0	2	0	9	11
LINC01037	0	1	0	2	17	15	4	3	6	8
LOC105371656	0	1	0	0	0	3	3	1	6	5
LINC01035	0	0	0	0	0	0	0	0	0	0
LOC105371657	0	0	2	2	1	3	1	0	4	8
LINC01701	0	0	0	0	0	0	2	0	1	1
BRINP3	2	0	0	0	1	2	0	11	1546	1277
LOC105371659	0	0	0	0	0	0	0	0	13	11
LOC105371658	0	0	0	0	0	0	0	0	15	29
BRINP3-DT	10	2	2	0	1	0	0	2	83	62
LINC01720	0	0	0	0	0	0	0	0	0	0
LINC01680	0	0	0	0	0	0	0	0	0	0
LOC105371661	0	0	0	0	0	0	0	0	0	0
RGS18	0	0	1	0	0	0	3	0	19	13
LOC105371662	0	0	0	0	0	0	0	1	0	0
RGS21	0	0	0	0	0	0	0	0	0	0
LOC124904473	0	0	0	0	0	0	0	0	0	0
LOC124904472	0	0	0	0	0	0	0	0	0	1
LOC105371664	1	0	1	0	5	2	0	1	0	5
RGS1	0	0	0	0	11	14	33	0	2	8
LOC107985241	0	0	0	0	0	2	0	0	1	0
RGS13	0	0	1	0	6	1	325	167	1	1
MIR4426	40	39	41	37	56	41	8	17	16	16
LOC105371665	1	2	1	0	0	1	3	4	1	4
RGS2	475	518	199	245	2536	2106	476	413	217	453
LOC105371668	0	0	0	0	0	0	0	0	0	0
LOC105371667	0	0	1	0	0	1	0	0	0	0
RGS2-AS1	2	1	0	0	1	4	1	2	4	11
UCHL5	1260	1143	719	806	1045	1004	561	632	800	1008
SCARNA18B	2	6	5	3	9	5	1	3	5	4
RO60	4685	4132	3968	4181	6828	6610	3692	4450	3964	4611
GLRX2	97	159	89	100	137	103	184	177	157	148
LOC124904474	1	0	0	0	1	0	0	0	1	1
CDC73	1949	1660	1392	1519	1680	1595	1260	1343	1310	1711
MIR1278	1	1	1	0	1	4	0	0	3	8
B3GALT2	25	13	29	10	34	109	20	16	372	519
LINC01031	4	2	0	0	1	2	1	0	5	7
LOC124904475	0	3	0	0	1	2	0	2	9	27
LOC124904476	0	0	0	0	0	0	0	0	0	2
LOC107985242	0	0	1	0	0	0	0	0	4	6
LOC105371670	0	0	0	0	0	0	0	0	0	0
LOC107985458	2	1	0	0	0	0	0	0	0	0
LOC105371671	2	0	2	1	0	0	0	0	0	0
LOC105371672	7	2	34	33	7	5	0	0	0	0
LINC01724	0	0	0	0	0	0	0	0	0	0
LOC105371674	0	0	0	0	0	0	0	0	0	0
KCNT2	1029	659	551	616	938	1170	315	362	363	937
LOC124904597	203	82	136	48	130	324	22	27	151	631
MIR4735	1	0	1	0	0	1	0	0	1	5
CFH	0	0	1	1	0	0	0	0	1380	1992
CFHR3	10	16	6	2	19	13	0	1	0	1
CFHR1	0	0	0	0	0	1	0	0	4	1
CFHR4	0	0	0	0	1	0	0	0	0	8
LOC105371675	0	0	0	0	0	0	0	0	0	0
CFHR2	0	0	0	0	0	0	0	0	2	0
CFHR5	0	0	1	1	0	0	0	1	0	0
F13B	0	0	0	0	0	0	1	0	5	1
ASPM	7597	8411	5264	5594	11092	9941	879	722	6329	7228
ZBTB41	718	490	658	835	1226	1224	865	939	1485	1680
CRB1	2	3	1	3	7	5	15	17	47	42
LOC124904477	0	0	1	0	1	3	0	0	0	2
DENND1B	219	187	221	194	510	518	659	739	1660	1853
C1orf53	6	7	5	7	10	12	41	39	24	14
LHX9	0	2	3	3	2	0	0	0	49	42
NEK7	652	592	684	1149	1695	1400	2807	4312	4627	3725
LOC105371677	0	0	0	0	0	0	0	0	0	1
ATP6V1G3	0	0	0	2	1	0	1	0	0	1
LOC124904478	0	0	0	0	0	0	0	0	0	0
PTPRC	0	0	0	0	0	0	3	0	129	438
MIR181A1HG	0	2	0	0	3	1	3	2	46	133
MIR181B1	0	0	0	0	0	0	0	0	8	9
MIR181A1	0	0	0	0	0	0	0	1	1	3
LINC01222	0	0	0	0	0	0	0	0	0	35
LINC01221	0	0	0	0	0	0	0	0	0	37
LOC107985243	0	0	0	0	0	0	0	0	0	13
LINC02789	0	0	0	0	0	0	0	0	0	2
LOC105371680	0	0	0	0	0	0	1	0	0	0
LOC105371682	0	0	0	0	0	0	0	0	0	0
LOC124904853	0	0	0	0	0	0	0	0	0	0
NR5A2	928	1281	331	369	48	30	92	9	173	158
LOC107985244	3	1	15	38	0	1	0	0	0	3
LOC124904479	6	1	17	13	16	20	6	0	2	8
LINC00862	63	50	20	45	56	51	33	6	5	5
ZNF281	3506	4190	2326	3173	3758	3178	2414	2079	1314	1396
LOC124900414	15	4	8	8	11	11	1	2	0	0
LOC124904480	323	288	270	277	213	175	57	84	2	6
LOC107985459	0	0	0	1	0	0	0	0	0	2
KIF14	3002	3888	1829	2255	4361	3322	314	255	2094	1883
DDX59	704	710	677	823	726	552	386	370	595	635
DDX59-AS1	8	1	7	9	30	31	6	22	2	0
CAMSAP2	2409	2354	1818	1739	3380	3132	3153	3221	4135	3936
GPR25	0	2	0	0	0	0	0	0	1	0
INAVA	1158	1680	839	1045	1882	1265	233	149	17	114
MROH3P	7	6	7	7	10	12	0	0	1	0
KIF21B	2344	2461	1817	2651	722	584	142	115	198	393
LOC101929305	132	165	45	94	18	10	6	7	1	7
CACNA1S	5	5	10	15	10	10	127	181	27	42
LOC124904481	0	0	0	0	0	0	0	0	0	0
ASCL5	22	18	27	39	43	39	9	17	5	9
TMEM9	2418	2564	2436	3439	3498	2567	2001	2600	1106	1062
IGFN1	1	0	1	1	0	2	2	2	14	112
PKP1	25	25	14	13	47	22	0	2	13	218
LOC101929326	0	0	0	0	6	10	47	59	64	50
TNNT2	83	149	19	12	1761	1927	59944	105986	87974	42594
LAD1	551	1030	173	198	242	216	130	167	34	73
LOC101929343	72	132	42	43	146	118	49	102	50	60
TNNI1	19	22	16	25	6149	4411	61666	83533	50180	21889
PHLDA3	1550	1736	429	817	657	531	1515	1869	244	319
CSRP1	759	1537	509	486	5358	3392	4171	4721	3380	3754
CSRP1-AS1	25	19	7	8	72	46	155	262	139	116
LOC124904484	3	5	2	2	6	5	4	7	4	10
RPS10P7	10	9	5	7	16	12	43	36	31	23
NAV1	2278	2061	1507	1510	6417	5415	7988	17261	38036	24107
LOC124904482	145	91	150	179	82	123	49	74	803	915
IPO9-AS1	10	4	5	5	12	12	2	4	16	15
MIR5191	1	2	0	0	3	3	0	0	8	9
LOC124904483	137	73	105	92	442	686	158	281	4756	7124
MIR1231	0	0	0	0	0	0	0	0	0	0
IPO9	5585	6605	3908	4266	7296	5748	4710	5464	6605	5848
MIR6739	6	2	3	5	11	8	1	1	2	8
SHISA4	103	116	129	204	130	79	115	187	201	179
LMOD1	83	52	15	26	541	494	2320	2479	337	756
TIMM17A	1270	1776	731	1062	1525	1241	1478	2081	963	1089
SNORA70H	0	0	1	0	0	0	0	0	0	0
RNPEP	2536	2596	2225	2710	2559	1618	1575	1741	747	751
ELF3-AS1	46	60	12	9	24	24	11	9	7	12
MIR6740	2	4	1	0	3	3	0	1	2	0
ELF3	378	253	167	307	204	144	197	118	9	60
LOC105371684	3	1	0	0	0	0	0	0	0	0
GPR37L1	59	34	28	39	55	33	8	8	29	31
LOC105371683	0	0	0	0	3	0	0	0	0	0
ARL8A	1085	951	839	1015	686	485	719	749	797	705
PTPN7	26	13	7	8	9	10	1	1	21	184
PTPRVP	11	14	10	15	18	10	2	4	11	93
LGR6	59	48	24	14	25	24	5	1	22	217
LOC124904840	0	0	0	0	0	0	0	0	1	0
LOC101929388	0	3	1	0	0	0	0	0	1	4
LOC124904839	0	0	0	0	0	0	0	0	0	0
UBE2T	1186	1414	625	564	1356	933	294	309	1321	1020
PPP1R12B	869	581	478	519	2034	2194	30582	38915	77393	41524
LOC124900426	2	0	0	1	3	4	2	1	85	105
SYT2	428	482	73	279	397	348	87	81	702	759
KDM5B	23429	17978	15356	17494	18735	13858	12529	16212	6465	6036
LOC124904583	16	7	6	9	8	8	3	3	2	0
PCAT6	35	19	23	28	22	12	19	39	4	4
MGAT4EP	8	5	1	3	3	3	1	1	0	2
ACTG1P25	89	162	29	48	171	147	90	121	35	30
RABIF	222	296	100	120	285	198	391	400	303	331
KLHL12	2168	2292	2209	2746	3369	2419	2059	2797	1730	1188
ADIPOR1	3354	3529	2734	3384	3779	2828	2805	3084	3317	2272
CYB5R1	406	442	592	870	722	505	1490	1844	2068	1233
MGAT4FP	11	30	1	11	12	3	9	3	1	0
TMEM183A	2594	2954	1464	2037	2348	1787	1754	1906	1141	911
PPFIA4	2997	764	3060	4404	615	507	3537	5659	5156	3381
LOC105371687	82	29	76	39	9	5	12	29	87	87
MYOG	6	1	2	1	3	1	2	5	100	62
MYOPARR	4	1	5	3	0	3	3	6	14	14
ADORA1	81	127	50	35	28	28	465	348	535	345
MYBPH	3	3	3	1	2	1	13	8	55	66
CHI3L1	7	11	11	1	0	1	9	25	15	22
LOC124904485	0	0	0	0	0	0	0	1	0	1
CHIT1	3	3	1	0	2	1	4	3	7	10
LOC124904486	4	4	6	7	13	12	2	2	5	19
LINC01353	2	0	2	0	11	6	6	3	1	4
BTG2-DT	5	1	3	2	8	3	0	1	0	5
BTG2	1593	631	1225	1955	2453	1979	788	869	1582	1329
FMOD	8	5	236	278	464	201	287	19	2077	3075
LOC102723529	2	1	1	1	4	0	0	2	1	4
BMNCR	0	0	0	0	1	0	0	0	0	2
LOC124904487	0	0	0	0	0	0	1	0	0	0
PRELP	18	8	7	12	41	31	15	1	343	641
OPTC	8	10	1	0	1	0	0	2	4	3
LOC105371688	21	24	14	1	4	8	1	4	15	16
LOC124904488	0	0	0	0	0	0	0	0	0	0
ATP2B4	2118	1612	4140	4520	10312	7494	6987	6689	18673	15077
SNORA77	3	4	2	2	4	7	5	3	29	24
LINC00260	12	10	10	10	28	25	10	8	92	161
LOC102723543	8	0	7	5	9	13	3	2	71	81
LAX1	2	0	1	2	1	0	0	0	3	16
ZBED6	1611	1177	1469	1489	3791	3557	1587	1389	4040	4739
ZC3H11A	0	0	0	0	0	0	0	0	0	0
LOC128031836	0	0	0	0	0	0	0	0	0	0
SNRPE	2857	3524	2105	2884	3630	3078	837	956	1129	1179
LOC105371689	4	10	4	2	37	25	0	0	3	0
LINC00303	0	1	0	0	2	3	0	0	1	1
SOX13	2475	2994	1113	1760	1669	1178	537	665	641	558
ETNK2	497	629	443	622	853	509	471	702	205	218
ERLNC1	4	4	5	6	4	6	0	4	3	6
REN	0	0	0	0	2	1	0	0	10	13
KISS1	3	0	2	0	1	1	9	50	241	49
GOLT1A	68	74	20	27	39	20	23	17	5	1
PLEKHA6	388	472	185	407	8480	5666	3144	1797	4405	3444
LINC00628	3	0	0	0	0	0	0	0	0	0
PPP1R15B	4847	4467	2638	3396	4715	4693	2621	3321	2971	3278
PIK3C2B	1045	870	1701	1817	1782	1480	1062	951	1640	1724
LOC124904584	6	9	26	13	28	25	1	5	4	11
TRK-TTT3-1	42	28	61	65	295	249	153	159	82	71
TRK-TTT3-2	0	1	1	2	4	6	0	2	1	1
MDM4	3618	2726	2129	2518	4926	5364	1760	2205	4029	5403
LOC105371692	86	57	61	39	70	76	29	17	76	165
LRRN2	21	27	31	20	48	28	11	11	10	23
LOC124904490	4	6	5	3	6	9	0	0	5	16
LOC105371693	6	5	12	4	0	0	0	0	6	2
LOC105371695	0	0	2	4	0	0	0	0	0	0
LOC105371694	0	0	0	0	0	0	0	0	0	0
NFASC	671	708	1441	1947	53	22	36	25	641	723
CNTN2	281	165	18	14	28	22	5	6	54	85
TMEM81	205	121	63	93	95	103	55	70	68	49
RBBP5	1947	1994	1024	1259	1760	1395	1059	1235	986	1002
DSTYK	1512	1207	897	1090	1618	1418	1440	1505	1462	1466
TMCC2	438	491	172	170	244	215	239	317	848	342
TMCC2-AS1	5	5	0	1	1	3	2	2	5	4
NUAK2	395	329	441	516	727	652	227	113	49	54
KLHDC8A	26	48	12	14	10	6	18	24	38	100
LEMD1-AS1	4	0	2	3	0	1	0	2	3	3
LOC105371698	0	0	1	0	0	0	0	0	0	0
LEMD1	27	12	42	54	10	18	1	0	1	2
BLACAT1	602	646	826	1028	422	485	28	23	52	103
MIR135B	5	5	9	12	7	5	1	0	1	2
LEMD1-DT	105	127	96	128	55	48	2	1	6	4
TRK-TTT8-1	2	1	0	0	0	0	0	0	0	0
CDK18	1467	1244	1331	2117	1263	930	432	538	924	508
MFSD4A-AS1	0	2	0	4	1	7	1	8	8	6
MFSD4A	23	15	23	27	34	34	18	43	65	114
LOC124904491	6	0	0	0	1	1	1	0	0	11
ELK4	2608	1716	1487	2072	2350	2981	923	959	3865	4217
SLC45A3	571	721	181	162	342	262	64	114	165	189
LOC105371701	1	5	3	0	5	4	1	1	10	5
NUCKS1	31727	32419	25637	30910	44773	34836	13940	18978	24132	21517
LOC124900423	12	2	7	2	7	16	0	3	13	41
RAB29	502	504	218	295	195	177	205	282	166	223
SLC41A1	1852	1715	1149	1307	1326	1025	1873	2357	4825	3217
PM20D1	24	6	10	4	11	22	15	10	22	184
LOC107985250	36	20	17	15	31	43	29	51	2	337
PM20D1-AS1	210	183	89	107	134	120	168	293	11	538
SLC26A9	7	2	0	1	3	3	38	39	266	152
SLC26A9-AS1	2	2	0	1	2	2	2	3	7	14
LOC103021295	1	2	0	2	0	1	0	3	0	0
RAB7B	0	1	1	1	7	6	12	31	196	289
CTSE	3	0	0	1	18	9	6	0	4	175
RHEX	1	0	0	0	3	0	9	11	7	6
LOC105372857	2	0	2	0	3	1	1	1	6	16
LOC124900428	0	0	0	0	0	0	0	0	0	0
AVPR1B	8	11	1	0	6	1	3	6	16	15
LOC124904492	0	0	1	0	0	0	0	1	0	4
LOC105372869	1	0	0	0	0	0	0	0	0	0
LOC105372873	0	1	0	0	0	0	0	0	0	0
FAM72A	265	241	126	133	195	146	19	21	60	57
SRGAP2	1384	1526	1145	1218	3892	3352	1908	1647	1695	2249
IKBKE	329	495	207	221	262	128	383	358	169	287
MIR6769B	0	0	0	0	0	0	0	0	0	0
IKBKE-AS1	17	15	4	11	8	10	2	4	16	24
LOC124904493	15	5	8	4	15	14	5	8	7	22
RASSF5	141	128	35	34	399	267	1215	1141	1072	849
LOC124904494	6	3	0	2	13	16	9	7	37	70
EIF2D	1450	1647	1878	2561	2604	2019	775	1141	1461	1278
DYRK3-AS1	4	1	4	13	12	9	5	13	2	5
DYRK3	478	455	496	631	1228	976	660	617	1497	1062
LOC124904496	1	0	1	0	1	5	0	0	4	7
LOC124904495	0	2	8	3	16	12	9	11	26	13
MAPKAPK2	1748	2062	1422	1675	3690	2819	6413	7018	6590	4165
IL10	0	0	1	1	0	0	0	0	1	4
IL19	0	0	1	0	0	0	0	0	1	0
LOC105372878	0	0	0	0	0	0	0	0	0	0
IL20	0	0	0	1	0	0	0	0	0	0
LOC105372879	1	0	0	1	0	0	1	1	1	0
IL24	0	0	0	0	1	1	1	0	1	1
FCMR	4	4	0	0	3	0	1	3	19	19
PIGR	2	3	1	0	2	1	1	1	2	1
FCAMR	0	0	0	0	0	0	0	1	0	1
C1orf116	244	250	60	60	16	6	37	8	6	46
PFKFB2	1476	1614	882	789	888	652	958	1200	424	527
LOC124904826	1	1	0	0	0	2	0	0	0	3
YOD1	1598	1325	737	806	1426	1282	674	681	682	814
C4BPB	0	0	0	0	0	0	3	0	8	4
C4BPA	0	0	0	0	2	1	0	1	9	21
LOC107985251	4	1	3	2	5	16	16	14	43	118
LOC124904497	0	2	1	1	3	1	4	1	39	55
CD55	654	760	303	335	496	447	348	422	703	700
LOC124904498	0	0	0	0	0	0	0	0	0	0
LOC105372880	0	2	1	0	0	0	0	0	0	0
CR2	392	284	19	8	2	1	1	1	0	26
CR1	21	18	5	1	4	1	0	0	37	23
CR1L	93	63	35	34	20	20	2	1	11	24
CD46	4793	4193	2652	3749	4934	4495	2698	3481	3115	3324
MIR29B2CHG	4	3	6	4	14	18	3	9	28	41
MIR29C	0	0	0	0	0	0	0	0	0	0
MIR29B2	0	0	0	0	0	0	0	0	0	0
LOC148696	5	0	1	0	6	9	0	0	22	37
CD34	6	7	2	4	649	964	25	20	4836	4387
LOC107985253	0	0	0	0	2	7	0	0	25	30
LINC02767	0	1	0	2	17	24	0	0	14	22
PLXNA2	148	148	21056	33595	3124	2281	3066	1833	7303	5116
LOC105372887	0	0	24	9	6	4	3	1	17	34
LOC124904499	0	0	18	16	4	4	3	1	20	21
LOC124904500	0	2	196	170	31	44	15	10	256	274
LOC105372884	0	4	142	139	13	35	7	5	125	152
LOC105372889	0	0	1	1	13	11	1	0	1	1
LOC124904501	0	1	1	10	15	5	2	0	2	5
LOC107985460	0	0	0	2	1	1	0	0	1	0
LINC01735	0	0	1	1	0	3	5	0	5	6
LINC02769	0	0	1	0	0	5	4	1	5	13
LOC105372892	1	0	1	2	6	7	0	0	7	19
LINC01717	0	0	0	0	1	3	0	0	1	3
LOC107985255	0	0	0	0	0	1	0	0	0	1
LINC01774	0	0	0	0	0	0	0	0	0	0
LOC105372895	0	0	0	0	0	0	0	0	1	0
LOC105372896	0	0	1	0	0	0	0	0	0	0
LINC01696	0	0	0	0	0	0	0	0	0	0
LINC01698	0	0	0	0	0	1	0	0	0	0
MIR205HG	101	139	29	46	301	291	11	1	0	122
MIR205	9	13	2	4	18	14	0	0	0	14
LOC105372898	0	0	0	0	0	0	1	2	0	2
LOC105372899	0	0	0	0	0	0	0	0	0	2
LOC107985256	0	0	0	1	0	1	2	0	3	2
CAMK1G	42	22	25	53	79	42	239	178	172	133
LAMB3	26	37	16	15	14	1	36	37	81	286
MIR4260	0	0	0	0	0	0	0	0	0	0
HSD11B1-AS1	2	0	0	0	2	1	3	15	12	11
G0S2	19	26	3	2	22	11	512	871	571	248
HSD11B1	0	0	0	1	0	3	2	0	10	28
TRAF3IP3	10	3	4	3	9	17	2	4	20	94
C1orf74	256	261	224	249	368	256	168	227	242	147
IRF6	1448	1106	755	874	735	538	327	195	708	462
UTP25	912	1166	886	1176	1170	1067	576	659	689	715
SYT14	1287	1283	487	423	333	361	113	160	3	38
SERTAD4-AS1	56	49	23	7	5	5	3	6	26	31
SERTAD4	344	476	278	168	76	51	36	2	459	669
LINC02602	1	1	1	0	7	5	2	11	6	7
LOC124904502	0	0	0	1	0	0	0	0	0	0
HHAT	14	22	247	379	774	557	295	373	538	496
LOC124904503	0	0	2	2	7	8	0	1	16	19
KCNH1	11	13	13	21	377	146	60	13	92	165
LOC105372901	0	0	0	1	11	5	0	1	6	15
KCNH1-IT1	0	3	1	0	10	3	1	0	1	4
LOC105372902	18	16	30	46	67	59	19	19	13	21
RCOR3	472	520	765	974	1762	1801	1201	1333	1970	2118
TRAF5	877	823	1455	2232	1011	862	156	275	590	1410
LOC124904504	28	27	31	39	28	36	2	6	42	90
LINC00467	205	207	403	444	281	166	176	235	70	64
LOC107985259	7	5	17	13	15	19	2	2	8	16
RD3	8	19	6	14	31	16	6	2	6	11
LOC107985261	0	0	1	6	0	0	0	0	3	1
LOC107985260	0	0	1	1	0	2	61	64	59	24
SLC30A1	1319	1340	1892	2274	1788	1363	1311	1471	1051	1202
LOC105372903	2	4	1	2	0	1	0	0	3	3
NTRAS	0	0	0	0	0	0	0	1	0	0
NEK2	1000	1167	1223	1610	4448	2472	158	128	839	644
NEK2-DT	6	8	4	4	14	11	0	0	10	2
LOC105372904	1	0	0	1	1	0	0	0	0	0
LPGAT1	1191	1423	878	1330	15320	12782	3656	3683	3376	3186
LPGAT1-AS1	0	0	0	0	3	2	1	0	0	0
LOC124904505	9	2	6	8	18	30	2	2	23	22
INTS7	1278	1525	947	1187	2501	2274	959	1172	1450	1437
LOC124900448	1	0	0	1	2	2	0	0	1	3
DTL	3685	4515	1865	1702	4618	4225	301	454	1721	1716
RPL21P28	69	90	80	78	89	74	27	37	60	42
MIR3122	0	1	1	0	4	1	0	0	8	15
LINC02608	5	4	1	5	11	10	12	33	16	4
PPP2R5A	2275	2407	2020	3080	2543	2009	3072	7221	3258	2236
SNORA16B	4	9	2	1	2	9	1	4	2	12
PACC1	729	750	335	314	682	543	264	305	217	293
LOC105372906	6	2	7	3	4	4	0	1	0	3
NENF	521	590	423	580	546	337	405	504	879	692
LOC124904506	0	2	4	1	0	1	0	0	0	3
LINC02771	0	0	1	1	0	0	0	0	0	2
LOC105372908	0	0	4	2	1	1	0	0	0	0
