	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4	IDA_1	IDA_2	IDA_3	IDA_4
LOC105378802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
LINC02238	0	0	0	0	0	2	0	0	0	0	0	2	1	0	2	0	67	12	33	30
LRRIQ3	1	1	0	3	1	9	2	5	3	3	1	0	0	2	0	4	41	8	11	15
FPGT-TNNI3K	69	88	32	48	14	112	23	66	29	65	34	42	32	22	30	48	11	16	10	9
FPGT	450	319	200	304	204	497	219	356	180	383	201	313	175	298	255	217	221	145	165	158
TNNI3K	44	9	2	11	1	20	1	10	5	21	4	14	5	4	8	16	12	0	1	7
LRRC53	164	120	58	86	64	163	76	63	50	151	94	73	40	89	92	105	118	45	78	72
ERICH3	5	3	2	4	2	10	2	3	0	0	1	3	3	4	10	3	100	17	75	52
ERICH3-AS1	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	16	4	8	3
CRYZ	2343	1318	593	1303	640	2936	777	2147	1005	1429	959	1084	536	945	876	845	1105	444	1094	1001
TYW3	1306	925	380	679	429	1901	411	1090	527	855	435	576	341	514	464	557	742	397	620	486
LHX8	1	2	0	5	0	30	6	3	2	0	4	2	0	5	1	0	26	2	15	20
SLC44A5	1813	1604	798	1502	634	1943	966	2013	992	2578	836	1359	1152	1468	1294	1202	598	415	905	483
ACADM	4923	3463	1391	2477	790	4557	966	2639	1315	2849	1455	1645	958	1246	1609	2405	3415	788	1518	1603
DLSTP1	114	129	47	160	97	287	86	196	86	240	84	110	61	108	92	88	96	96	131	88
RABGGTB	2991	1989	801	1190	723	3366	776	2023	994	1507	828	1104	572	899	957	1176	2119	805	1355	1149
SNORD45C	31	5	5	5	4	4	1	8	7	8	6	7	3	9	7	6	15	5	11	3
SNORD45A	50	19	8	9	10	28	8	23	2	23	9	15	10	16	16	10	24	13	25	11
SNORD45B	65	37	17	20	11	50	10	39	17	23	14	11	3	14	21	20	30	14	40	17
MSH4	27	8	1	17	23	32	10	8	4	25	10	7	8	22	9	2	62	22	52	26
ASB17	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	5	2
LOC105378806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC101927342	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	4	5
LOC124904200	10	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	13	1	17	7
ST6GALNAC3	410	315	151	299	203	801	163	427	179	165	217	225	52	170	234	215	278	99	110	145
LOC105378807	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0
LOC124904201	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1
LINC02567	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	7	4
ST6GALNAC5	123	234	82	224	188	330	219	682	348	122	94	213	52	174	93	135	67	95	75	47
MIR7156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PIGK	1168	942	394	867	425	1654	469	1277	610	1164	485	710	457	567	589	539	454	293	325	303
LOC105378808	84	112	53	71	88	131	60	122	57	78	55	71	37	95	87	91	107	62	67	55
AK5	4	4	2	3	3	9	9	70	29	1	2	4	0	2	0	3	56	9	49	41
LOC124904202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZZZ3	1804	1961	891	1427	847	2918	691	1912	970	1705	774	946	739	833	971	1389	906	598	604	536
USP33	2818	2475	1170	1892	1110	3707	1062	2752	1450	2408	1169	1487	816	1315	1353	1617	2491	954	1778	1381
MIGA1	711	564	272	524	375	806	311	681	310	586	274	428	242	362	309	395	970	359	703	400
NEXN-AS1	85	66	31	63	23	65	32	55	14	48	18	21	13	40	32	36	162	57	145	80
NEXN	24168	17886	8259	15950	4710	42086	5396	20939	9784	16633	8411	9144	6653	5397	7233	13997	2929	2823	1461	2495
FUBP1	4806	6108	2607	4321	2081	6759	2406	5637	2834	5384	2682	3733	1821	3076	2809	4282	4089	1471	2853	2210
DNAJB4	1974	1794	900	1391	737	2953	602	1876	831	1107	712	983	386	685	729	1184	3864	837	3042	1873
GIPC2	6	1	2	4	4	15	2	12	5	5	3	7	5	3	4	4	77	10	51	29
LOC107984997	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	14	0	11	2
MGC27382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1
PTGFR	19	2	0	28	140	108	121	256	121	1	12	162	2	133	14	3	44	52	66	43
IFI44L	414	0	0	5	37	12	8	15	18	2	6	75	6	41	0	0	48	218	301	40
IFI44	1330	3	0	25	50	56	49	76	50	13	23	134	3	73	20	2	47	122	404	60
LOC124904203	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	3
ADGRL4	196	97	40	117	52	410	97	173	71	137	121	156	64	106	111	57	61	24	38	46
LOC107984998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	1
LOC105378810	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	1	12	5
LOC105378812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC105378811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	3
LINC02792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
LINC01781	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	2	4	3
LOC105378813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
LOC107985018	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	11	3	10	5
ADGRL2	2283	2618	1140	1904	1299	4483	1161	2328	1322	1729	1224	1480	625	1356	1398	1912	1283	777	949	767
LOC101927434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	13	6
LOC124904204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	3
LOC105378814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	19	15
LOC107985396	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	5	0	3	4
LINC01362	0	0	4	0	0	0	1	2	0	0	1	0	0	0	0	1	14	2	10	7
LINC01361	0	3	0	1	0	0	3	0	1	0	0	1	0	1	0	6	15	1	20	11
LOC105378816	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	4	2	3	3
LINC01712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	5	3
LINC01725	3	6	0	2	1	0	0	0	0	1	1	1	0	2	0	0	16	4	7	5
LOC101927560	7	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	13	6	16	9
TTLL7	769	438	229	594	237	912	262	892	427	451	392	374	166	314	380	326	883	161	456	489
TTLL7-IT1	5	0	2	1	0	4	0	0	0	2	1	0	2	1	2	0	11	4	7	4
LOC124904205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	5
PRKACB	2326	2182	1128	1987	974	3512	1020	2619	1198	1868	1032	1356	756	1057	968	1430	1206	648	835	766
LOC124904808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD13	43	27	3	22	28	44	16	14	12	26	13	12	5	39	10	14	18	17	11	19
UOX	0	0	0	0	1	2	1	0	0	0	0	0	0	3	0	3	19	2	24	8
DNASE2B	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	11	0	0	3
RPF1	1406	1100	378	792	341	2056	568	1361	657	1194	548	722	402	608	546	720	943	366	870	477
GNG5	3684	5505	1584	3588	1324	8267	2777	5042	2655	4861	2327	2725	1498	2147	2210	3262	2861	1266	1801	1578
SPATA1	29	44	10	40	9	37	23	24	11	35	13	36	12	40	20	34	115	25	60	27
CTBS	395	356	187	270	174	467	207	469	191	365	207	279	125	226	215	273	483	180	348	193
LOC105378819	1	5	1	4	6	11	12	9	2	11	5	3	1	16	3	3	39	10	106	12
LINC01461	7	0	0	4	4	4	2	0	1	2	2	2	0	1	0	5	3	2	3	2
LINC01555	0	4	2	1	3	0	0	2	0	0	0	0	0	0	1	1	33	5	15	6
LOC124904206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
SSX2IP	1699	1454	709	1171	618	2164	566	1446	788	1414	691	828	512	730	774	898	2048	475	1267	863
LOC102724892	7	6	8	4	1	8	4	1	1	5	3	3	2	3	4	3	15	2	13	10
LPAR3	304	348	116	199	108	460	168	142	91	371	123	196	112	219	137	206	203	38	133	103
MCOLN2	8	21	7	5	3	2	1	9	11	5	4	6	2	1	4	10	52	7	29	10
MCOLN3	46	43	35	32	20	46	48	110	59	38	26	46	10	57	38	38	379	33	359	137
DNAI3	33	38	27	36	18	63	31	47	27	28	19	8	3	27	10	16	1084	176	481	311
MIR4423	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	1
SYDE2	1773	2714	1247	1965	1094	3072	812	1853	844	2597	894	1176	1075	1137	975	1976	1938	644	712	678
LOC124904207	10	11	5	4	4	17	7	6	4	5	3	10	3	6	8	7	50	8	21	14
LOC105378821	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	3	12	11
C1orf52	998	836	313	553	297	1288	365	812	361	722	377	450	267	423	429	519	733	220	643	344
BCL10	226	238	97	215	125	432	122	450	193	246	109	151	82	110	114	182	508	113	326	162
BCL10-AS1	2	2	6	2	2	1	4	4	2	0	1	2	0	2	0	4	10	5	9	4
DDAH1	1158	1517	724	1871	498	2518	619	2883	1293	1138	704	733	418	589	642	1193	2152	275	772	1015
LOC124904208	14	5	11	8	9	20	16	24	10	17	5	19	4	16	4	5	41	26	13	8
CCN1	2397	1941	666	1459	2816	2472	926	2759	1716	1210	851	1024	423	630	585	1086	1452	1263	1215	1199
LOC124900422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1
LOC112268231	2	4	0	2	0	2	0	8	0	5	2	0	2	1	2	0	6	3	1	2
LOC107985057	0	0	3	3	0	6	3	1	2	5	0	3	1	0	2	3	2	0	1	1
ZNHIT6	447	632	279	451	222	810	246	633	334	488	244	341	188	267	248	482	649	187	344	275
LOC105378823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	3
COL24A1	15	9	5	14	9	44	13	26	16	30	6	11	7	20	9	6	177	25	116	96
LINC02795	5	11	6	3	2	5	7	2	6	4	1	3	5	5	3	2	18	2	17	5
LOC124904209	8	25	6	9	10	13	7	9	5	4	9	11	8	15	14	18	15	8	9	4
LOC105378825	2	22	4	3	8	9	3	8	6	7	5	9	2	7	10	8	14	4	9	4
ODF2L	2110	1788	733	1301	776	2977	742	1614	810	1603	736	1028	550	923	880	1163	1108	474	785	539
MIR7856	0	1	1	0	0	0	2	0	0	0	2	1	0	3	1	2	0	0	0	0
CLCA2	0	0	2	1	0	2	2	1	0	3	0	0	0	3	1	0	95	19	48	35
CLCA1	2	1	0	3	2	9	4	1	1	2	1	3	0	1	1	0	87	5	32	26
LOC124904210	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1
LOC105378827	39	25	3	32	10	75	17	24	14	43	21	29	5	20	27	19	49	14	69	51
LOC105378826	1	0	1	1	3	2	1	0	0	0	0	1	0	0	0	0	5	1	1	2
CLCA4	0	2	0	0	1	2	0	0	1	2	0	0	0	2	1	2	52	7	45	26
CLCA4-AS1	67	52	31	51	15	82	40	46	21	64	39	41	16	44	30	37	77	25	169	43
CLCA3P	0	1	2	1	0	4	0	1	0	0	0	0	0	2	0	1	28	6	25	11
SH3GLB1	10549	9753	4853	10086	3782	17809	5565	12149	5860	11057	5152	7444	4260	5810	5471	6921	6144	2774	3769	3721
LOC105378831	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
SELENOF	2358	1874	747	1436	743	3223	948	2692	1335	1786	863	1346	607	1088	940	1082	1574	618	2065	1039
HS2ST1	2790	3121	1591	2359	1026	3878	1094	2768	1389	2509	1215	1525	985	1240	1297	2016	1715	679	1246	914
LOC124904211	32	1	2	7	4	17	0	5	4	11	0	14	1	11	15	7	24	10	19	8
LINC01140	47	24	11	31	61	41	52	18	17	82	21	52	18	56	32	18	55	45	46	18
LINC02801	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	2
LMO4	3990	5928	1947	2844	1682	7080	1948	3509	2049	3741	2303	2380	1320	2196	2230	3701	2786	1322	1412	1851
LINC01364	1	1	0	0	0	1	2	1	0	1	0	2	0	1	0	0	7	1	10	5
LOC105378833	23	21	3	15	11	16	11	2	2	10	6	13	6	12	15	8	45	12	44	21
LOC105378834	3	10	8	10	6	14	3	11	5	6	2	3	3	12	7	10	47	18	36	30
LOC107985408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1
LOC105378835	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	6	3	1	5
LOC107985518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	7	5
LOC124904212	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	84	15	30	30
LINC01773	0	9	3	2	0	2	0	0	0	0	0	0	0	0	2	0	57	8	11	19
LOC101927871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC105378836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1
LOC105378839	11	12	5	16	6	32	8	2	8	11	4	14	6	17	9	13	22	4	13	14
PKN2-AS1	6	2	1	6	0	3	2	3	2	1	2	3	1	3	1	4	24	7	8	8
LOC105378838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKN2	4521	3901	1879	2860	1264	5821	1437	3286	1646	3631	1624	2040	1236	1608	1725	2556	1998	907	1344	1140
LOC124904213	4	1	1	0	0	3	0	0	2	0	0	4	0	3	3	1	19	4	4	4
LOC124904214	75	63	61	60	42	105	51	62	20	77	31	79	31	84	46	73	109	55	52	40
GTF2B	708	648	269	400	230	1080	361	634	349	560	257	316	192	390	318	396	916	298	1518	467
KYAT3	371	446	203	205	122	687	189	589	255	263	133	235	95	193	135	313	229	101	205	108
RBMXL1	1092	1258	569	882	441	1452	473	1137	596	1052	442	591	382	512	470	801	1336	315	863	562
LOC124904215	1	3	1	2	1	3	1	1	1	2	0	5	1	4	3	4	5	3	3	2
GBP3	86	40	21	33	26	71	61	150	79	31	32	88	6	55	23	14	262	41	212	115
LOC105378841	4	19	4	2	1	1	3	1	2	2	4	4	0	9	0	11	49	3	29	18
GBP1	214	51	21	108	135	242	134	811	323	66	52	221	22	142	50	20	24	97	140	38
GBP2	119	4	5	61	57	198	62	128	67	15	39	78	5	66	32	2	112	68	118	148
LOC112268267	7	6	6	4	9	13	8	12	6	2	5	9	2	7	9	6	54	9	46	25
LOC105378842	0	0	0	0	1	2	0	0	1	0	0	2	0	0	0	0	3	0	7	1
GBP7	7	0	1	2	0	3	0	0	0	0	0	0	0	1	0	0	4	1	5	1
GBP4	115	29	11	52	79	149	34	39	22	28	49	35	13	35	36	8	112	89	111	88
LOC107985076	11	0	0	1	0	3	0	0	1	0	2	1	0	0	3	1	5	1	4	1
GBP5	2	0	0	0	1	0	0	3	1	0	0	2	0	1	0	0	20	2	9	10
LOC729930	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	5	2	5	0
GBP6	3	0	0	3	0	3	3	2	2	0	2	1	2	0	2	2	52	8	24	23
GBP1P1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	7	6	9	3
LOC105378844	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	7	1	4	3
LRRC8B	357	233	133	299	179	316	171	558	234	253	187	209	97	198	167	166	1089	168	1179	700
LOC124904216	6	1	2	0	5	2	0	1	0	1	0	1	2	4	2	0	6	3	10	4
LOC128092251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC8C	276	250	113	343	144	446	181	568	322	367	176	259	155	167	180	129	421	145	467	263
LRRC8C-DT	40	31	13	36	14	64	23	57	22	55	21	25	17	31	29	19	14	16	28	21
LOC107985743	0	0	1	1	1	1	0	3	0	0	1	0	0	3	0	0	4	0	5	0
LOC124904833	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
LOC107985744	0	0	0	5	2	0	2	0	1	0	0	0	0	0	1	0	3	0	4	2
LOC101927975	0	0	0	0	0	0	0	1	1	0	1	0	2	1	2	1	10	3	9	2
LRRC8D	345	434	172	302	137	401	150	585	293	375	199	224	125	174	160	232	438	125	249	207
LOC105378847	1	2	1	2	1	0	0	4	0	2	0	3	0	0	2	1	9	3	5	4
GEMIN8P4	22	19	14	10	12	32	14	29	20	36	17	18	7	14	11	16	34	8	30	14
ZNF326	2075	2013	908	1507	814	2571	730	2201	986	1713	809	1109	649	1025	938	1479	1602	621	869	796
LOC105378848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2
LOC105378849	0	0	1	1	2	9	2	1	3	5	0	2	0	1	5	0	18	5	15	9
LOC107985088	36	16	8	20	34	75	28	19	13	11	22	32	8	54	36	14	153	31	93	89
LOC105378850	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1
LOC105378851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
SNORD3G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3
BARHL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	6
LINC02609	21	30	15	24	7	35	9	20	19	29	14	13	12	21	21	19	33	11	27	29
LOC124904217	1	2	0	1	6	3	1	2	3	1	1	0	2	1	4	3	2	2	8	2
LINC01763	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	6	0	6	2
ZNF644	2383	2132	1109	1973	1049	3859	828	3280	1202	1955	1034	1306	820	976	1099	1633	1779	817	1197	927
HFM1	217	130	58	121	94	291	90	170	87	216	79	147	78	135	122	82	182	90	104	90
LOC107985417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
LOC105378856	4	3	2	5	0	6	1	6	1	2	1	0	1	3	1	2	38	1	22	5
CDC7	581	637	228	302	155	733	230	523	295	544	199	312	158	189	158	366	465	132	348	188
LOC102723436	27	30	13	24	4	27	8	29	7	20	7	5	5	7	6	30	22	5	12	7
TGFBR3	791	657	250	468	457	898	527	581	359	780	258	733	320	745	384	430	271	152	250	149
BRDT	2	2	0	0	1	1	0	0	1	0	1	1	0	1	0	2	70	6	28	17
LOC124904218	156	159	78	167	144	142	103	178	89	188	100	139	70	123	84	120	203	70	82	83
EPHX4	40	39	11	43	19	74	17	50	36	37	13	22	16	16	21	26	67	7	31	25
SETSIP	6	2	1	2	0	2	0	3	0	0	2	1	0	0	0	1	17	5	2	4
BTBD8	380	437	160	302	315	518	240	421	217	374	179	343	135	305	251	271	347	319	174	126
C1orf146	0	4	0	2	2	1	1	1	2	3	1	3	0	0	4	0	2	1	4	1
GLMN	611	644	358	419	227	1140	211	717	345	657	274	381	215	294	280	411	660	171	432	337
RPAP2	1134	1504	787	1068	675	1676	601	1162	682	1215	579	885	466	832	768	1069	1430	587	963	718
GFI1	12	12	7	5	10	12	9	19	3	5	2	5	2	13	8	13	31	1	35	17
EVI5	1780	1371	673	1631	670	2782	680	2173	980	1583	701	887	675	756	717	980	1115	450	854	629
RPL5	25801	26002	9666	13170	9260	41698	8697	23202	11682	19994	8717	12233	6097	10131	8850	16094	14945	7376	8477	7491
DIPK1A	905	621	295	443	208	1216	312	672	352	696	348	434	234	347	316	417	315	120	257	192
SNORD21	19	8	4	7	4	12	2	9	3	19	2	8	6	2	3	7	8	8	9	5
SNORA66	6	4	1	6	7	13	2	9	4	17	3	9	3	5	3	7	5	3	3	6
LOC124904219	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	13	5
MTF2	1156	1091	448	679	472	1649	366	1074	571	936	391	536	344	432	454	760	950	280	584	419
TMED5	2865	3709	2078	2361	812	3798	1003	3553	1633	2516	1353	1580	869	1155	1231	2387	2604	508	1469	1113
CCDC18	343	382	193	313	144	478	110	382	212	333	152	166	99	118	121	212	412	136	389	127
LOC107985521	8	13	6	13	6	11	3	12	10	5	3	5	4	12	3	3	42	4	19	8
CCDC18-AS1	216	191	90	142	193	197	152	327	144	142	126	198	57	214	193	155	505	366	398	269
DR1	1940	2220	963	2035	915	2964	876	2397	1132	1978	918	1268	686	1004	932	1392	3031	668	2052	1331
FNBP1L	1538	942	389	986	759	1737	634	1680	788	966	587	867	398	769	728	688	1208	604	922	692
TRC-GCA7-1	0	0	0	1	0	3	0	0	4	0	0	1	1	0	1	0	1	0	0	0
BCAR3	265	174	84	287	131	204	128	406	180	177	122	144	80	148	151	129	275	122	266	164
BCAR3-AS1	0	0	1	1	2	3	3	1	0	4	2	0	0	3	1	0	7	3	14	3
LOC102723480	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	1	9	4
MIR760	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TRR-TCT1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNTTIP2	1764	1625	698	1001	591	2670	534	1904	857	1401	581	690	577	593	617	1037	2130	620	1486	859
GCLM	335	350	185	302	88	346	112	326	155	297	142	171	148	156	159	250	1062	78	591	365
LOC124904221	2	1	0	0	0	0	1	1	1	0	2	0	1	0	0	0	3	0	4	2
ABCA4	1	1	1	0	1	0	3	5	4	1	2	0	1	1	0	2	147	22	116	54
LOC124904222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	6
LOC105378858	8	10	5	5	0	5	1	11	4	11	0	4	8	1	2	1	18	6	16	11
LOC124904821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ARHGAP29	2618	3225	1487	1896	671	3297	942	2961	1508	2413	979	1291	944	953	742	2119	1027	370	740	530
ARHGAP29-AS1	5	0	1	0	1	2	3	0	2	0	0	0	0	0	2	0	6	4	5	3
ABCD3	3309	2993	1461	2199	1259	4235	998	3034	1555	2774	1130	1568	1167	1291	1273	1940	2171	856	990	962
F3	621	377	139	471	266	521	440	938	394	1122	258	631	419	505	257	243	85	137	149	74
LOC124904223	47	27	9	29	20	11	28	24	14	65	10	26	26	37	15	14	17	20	35	12
MIR12133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378861	5	0	1	0	0	1	0	1	0	2	0	0	0	1	1	0	2	2	1	0
SLC44A3-AS1	46	36	19	35	34	116	61	65	39	49	20	55	14	63	21	22	61	22	55	36
MIR378G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
SLC44A3	82	24	13	31	38	87	45	91	32	47	26	50	10	34	24	17	127	25	108	56
CNN3	4104	5309	2101	4212	1740	6546	2202	8429	3984	3820	2076	2905	1365	2453	2187	3009	5767	1362	4385	2710
CNN3-DT	534	483	176	292	117	493	232	540	275	467	174	266	122	221	219	261	226	93	231	110
ALG14	244	225	98	156	71	353	132	295	145	179	84	134	65	107	82	142	242	68	159	108
LOC124904224	7	10	3	7	4	7	8	4	5	13	1	12	4	6	4	5	27	10	28	11
LOC105378863	7	2	1	3	0	0	1	1	0	3	0	5	0	2	2	3	7	3	5	3
ALG14-AS1	0	3	0	0	1	0	1	0	2	3	1	2	0	1	1	0	4	4	6	1
TLCD4	3698	5039	2849	3956	1373	6196	1327	3638	1586	3439	1819	2187	1374	1561	2208	3826	2503	673	941	1143
TLCD4-RWDD3	52	23	20	35	9	45	9	35	16	31	14	19	6	12	28	39	25	7	7	11
RWDD3-DT	15	16	4	14	11	27	13	20	8	16	9	9	7	10	10	7	26	8	27	15
RWDD3	929	572	196	344	150	842	204	507	246	468	217	268	184	190	288	314	244	104	149	147
LINC01760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	4
LOC105378864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
LOC105379825	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	3
LINC01650	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
LOC107985420	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	2	6	5
LINC01761	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	2
LINC02607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	8	5
LOC101928219	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	5	4
LOC124904592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
LINC02790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	9	3
LINC01787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	3	12	6
LOC105378866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	3
PTBP2	1325	1967	836	1241	732	2425	471	1433	750	1245	601	759	471	606	692	1347	1134	561	728	495
DPYD	32	13	7	25	21	67	40	106	53	65	22	52	16	46	19	7	101	22	78	63
DPYD-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	1
LOC105378867	0	0	0	0	0	0	1	1	0	1	1	0	0	0	2	0	23	2	14	8
LOC124904226	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2
LOC124904225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DPYD-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2
LINC01930	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	2	1	2
LOC124904227	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	6	1	2	2
MIR137HG	0	0	0	0	0	4	0	5	0	1	1	0	0	1	0	0	12	1	5	4
LOC124904228	5	2	1	1	0	2	0	5	3	0	0	6	0	1	0	1	25	3	24	7
MIR2682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
LINC01776	0	0	0	2	0	2	1	3	1	0	1	1	0	0	0	0	8	1	3	3
LOC124904229	0	0	0	0	0	0	0	4	7	1	0	0	0	2	0	0	29	4	12	9
SNX7	1159	671	295	693	332	1691	412	1062	562	885	393	606	302	496	483	459	459	237	414	270
PLPPR5	1	0	0	1	2	4	1	4	1	2	0	3	0	5	3	0	27	4	22	9
PLPPR5-AS1	0	0	0	0	0	0	0	1	0	2	0	1	0	1	1	0	27	4	12	9
PLPPR4	20	22	8	11	21	27	13	23	18	4	9	35	4	20	18	12	58	11	62	28
LOC107985093	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	4
LINC01708	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1
PALMD	83	137	63	94	52	45	53	110	75	66	28	70	23	60	66	81	104	47	66	54
FRRS1	313	510	250	270	135	474	154	401	177	259	151	197	75	113	124	317	753	191	247	239
AGL	8807	9574	5116	6427	2980	14005	2672	7220	3467	7894	3736	4252	3180	2953	3666	8049	4694	1834	1520	2027
