	CAR_1	CAR_2	CAR_3	CAR_4	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4
TRI-AAT6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRM-CAT4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-AGC_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRI-AAT7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901289	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRNAA-AGC_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRM-CAT5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAA-AGC_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901290	1	2	2	1	8	4	1	2	1	4	3	2	1	1	3	2	4	1	4	1
TRNAA-AGC_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-AGC14-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUSBP2	5	2	4	7	8	11	2	10	8	15	9	7	4	1	9	15	7	10	9	2
LINC00240	0	3	9	2	26	6	5	8	7	8	6	7	8	0	2	8	4	11	4	2
LARRPM	5	5	5	4	41	30	17	91	16	24	26	20	29	13	32	32	13	22	17	10
TRI-TAT2-2	0	0	0	0	5	2	1	2	0	1	2	0	5	0	1	6	3	1	1	0
TRP-CGG2-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-GCT1-1	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
H2BC11	2	11	8	1	59	12	5	15	9	14	24	6	10	6	29	15	11	19	5	7
H2AC11	0	4	3	0	28	9	3	8	5	6	21	6	14	5	17	8	1	22	2	7
H2BC12	66	165	108	121	672	334	181	218	153	165	236	116	197	77	272	231	178	241	116	67
H4C9	2	5	2	1	15	9	1	15	3	5	9	1	7	2	5	1	1	6	1	1
H2AC12	0	2	4	0	5	1	0	0	1	3	6	0	1	2	0	7	1	15	1	1
MIR3143	0	1	0	0	2	1	0	1	0	1	2	2	1	0	0	0	0	2	0	0
TRH-GTG1-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRT-AGT6-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRI-AAT5-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-CAC6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-CGA2-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRR-ACG2-2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRR-ACG2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901293	0	1	3	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0
TRL-TAA4-1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-AAC5-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRI-AAT5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PRSS16	4	30	32	19	16	37	21	21	13	19	24	28	20	6	25	18	20	25	12	11
TRI-AAT9-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRI-AAT3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-CAC2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-TAC4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRQ-CTG5-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-GCT2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POM121L2	0	6	21	2	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
LOC105375107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R10P	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TRX-CAT1-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRK-TTT6-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF204P	126	300	263	274	517	281	133	388	155	270	171	309	229	123	295	411	239	282	223	155
ZNF391	45	107	69	88	182	177	90	117	63	131	81	122	100	52	92	157	88	123	54	45
ZNF184	108	183	168	151	794	496	257	466	210	272	185	202	365	216	541	554	256	246	359	181
LOC105375001	2	2	2	2	9	6	3	1	3	5	7	5	3	9	7	6	7	7	5	0
TRS-AGA2-2	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1
TRD-GTC2-6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0
TRS-AGA2-3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0
TRS-AGA2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRD-GTC2-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-TGA4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRQ-CTG1-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-AGA3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-AGA1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-TGA2-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRQ-CTG2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-AGA4-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TRR-TCT5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TRK-TTT9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRD-GTC3-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TRK-TTT4-1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRX-CAT1-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-CAA3-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-CAA2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRT-CGT5-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRI-TAT2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRV-AAC3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901292	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRI-AAT8-1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRR-ACG2-4	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TRS-CGA3-1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TRV-AAC4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRT-AGT2-2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRI-AAT2-1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
LINC01012	12	7	49	3	30	25	20	48	17	26	21	29	19	9	23	33	27	33	23	11
LOC124901291	6	2	6	1	17	10	5	10	6	11	11	3	8	3	19	12	3	11	4	1
TRL-TAA2-1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRT-AGT4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRV-AAC1-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100131289	0	0	8	2	7	2	0	5	1	2	3	7	4	1	0	3	0	7	1	0
TRQ-CTG6-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRQ-TTG3-3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2BC13	0	3	3	0	5	1	1	0	0	0	4	0	1	2	1	0	1	1	1	0
H2AC13	0	0	5	1	6	6	1	6	1	2	3	0	2	2	9	5	1	4	2	1
H3C10	2	9	5	1	20	13	1	15	11	5	17	4	11	2	9	24	6	38	5	2
H2AC14	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2BC14	1	0	8	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
H4C11	0	0	0	1	1	0	0	0	0	2	1	0	1	1	0	0	0	0	0	2
H4C12	6	0	1	1	5	4	0	1	5	3	6	1	2	1	5	4	3	2	1	0
H2AC15	1	3	1	6	59	12	11	48	28	22	21	15	20	10	45	19	13	21	19	6
H2BC15	1	6	5	7	17	9	7	17	6	4	6	8	9	1	15	12	4	11	9	4
H2AC16	0	1	3	1	0	0	0	0	1	1	0	0	0	5	4	0	0	0	1	0
H1-5	1	2	2	1	0	0	0	0	1	0	0	0	2	1	2	3	0	0	1	0
H3C11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4C13	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
H3C12	0	0	4	0	1	1	0	6	1	0	3	1	2	0	0	1	0	4	2	0
H2AC17	1	1	1	0	3	6	1	11	1	3	4	0	9	0	3	5	2	16	1	4
H2BC17	0	0	1	1	2	2	1	3	1	0	3	2	4	1	2	2	2	4	0	0
TRX-CAT1-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRG-GCC2-3	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
OR2B2	0	0	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
OR2B6	0	1	3	0	6	5	5	0	3	3	11	5	8	4	12	4	1	9	4	0
LOC124901506	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
OR2B8P	0	0	5	0	0	0	1	0	0	1	0	1	0	0	2	5	0	2	0	0
ZNF165	20	57	35	56	112	90	46	55	19	33	39	29	32	38	114	84	30	40	60	30
ZSCAN12P1	7	23	34	15	53	36	21	18	6	18	18	12	28	14	46	39	18	19	19	12
ZSCAN16-AS1	9	16	18	8	385	186	99	389	123	129	106	89	124	79	219	229	154	144	132	55
ZSCAN16	100	103	92	84	342	160	102	185	91	117	79	64	127	79	215	181	108	113	149	51
ZKSCAN8	1294	1299	1552	1205	2997	2236	1080	2019	1244	1485	1147	1282	1854	1312	2458	2241	1541	1631	1725	763
ZKSCAN8P1	11	43	24	46	96	51	23	104	26	53	33	58	54	49	125	73	69	65	62	31
TRS-GCT5-1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0
TOB2P1	137	95	134	105	69	83	40	84	35	38	47	34	44	36	65	80	43	57	42	25
ZSCAN9	242	246	259	194	1216	726	364	813	377	478	361	286	528	324	862	763	501	469	526	246
ZKSCAN4	102	87	179	85	470	252	164	289	137	182	158	171	234	121	275	353	180	210	217	123
NKAPL	2	5	9	2	9	8	4	13	6	4	1	1	4	0	3	10	4	3	0	1
ZSCAN26	743	468	657	485	1349	760	431	745	410	554	455	419	599	342	878	960	496	593	599	335
PGBD1	201	209	196	203	1053	743	343	816	295	378	312	177	550	177	514	586	318	327	391	246
ZSCAN31	95	127	139	94	429	283	142	311	157	190	122	131	206	126	242	347	178	210	178	110
ZKSCAN3	450	298	450	315	1081	670	372	696	318	381	333	314	685	365	917	817	302	349	638	269
ZSCAN12	314	256	453	249	898	652	334	799	295	389	329	352	431	258	597	580	332	379	478	228
LOC105374998	1	1	4	3	1	0	0	2	0	0	1	3	0	0	0	2	0	0	0	1
ZSCAN23	208	127	279	122	1775	1021	617	1779	753	974	727	765	1076	490	1131	1315	970	1018	801	493
TRT-TGT1-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-AAG4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901294	1	0	3	0	7	9	1	0	2	1	3	3	5	0	0	11	3	1	0	0
TRT-CGT1-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901295	1	2	8	0	4	0	0	3	0	1	2	2	2	0	1	7	1	0	0	2
GPX6	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GPX5	0	0	17	8	10	0	0	0	3	1	0	2	0	2	3	0	2	0	1	0
TRI-TAT3-1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
LOC107986586	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRR-TCG5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAND3	56	66	127	82	457	281	119	355	135	168	118	179	193	121	299	278	147	155	172	98
TRQ-TTG2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRS-GCT4-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-AGC3-1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374996	0	1	3	1	3	4	0	17	1	1	0	2	3	1	0	7	1	2	2	2
TRA-TGC2-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRT-CGT3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00533	0	1	4	0	6	1	1	6	2	3	1	1	4	0	4	8	3	2	1	4
TRA-AGC4-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-CGC2-1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TRA-AGC5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-AGC7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRT-AGT3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-CGC4-1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TRV-AAC6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRR-CCG1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRK-TTT7-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-TGC6-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRF-GAA6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRF-GAA5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-TGC1-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRF-GAA1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-AGC1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-TGC7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRF-GAA3-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-AGC6-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRA-TGC5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRF-GAA4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901296	2	3	5	0	9	4	2	7	4	2	5	2	3	1	1	10	2	1	1	2
TRA-AGC2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01623	0	1	11	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0
TRA-AGC2-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRR-CCG1-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-CAA1-1	0	0	2	1	1	1	0	1	1	1	1	0	0	0	1	3	0	0	0	0
HCG14	0	3	3	3	4	1	0	3	1	0	1	0	0	0	1	0	2	1	1	0
TRIM27	1297	1455	1218	1193	2741	1792	1077	1732	881	1087	984	786	1256	635	1984	1833	939	1053	1139	634
TRL-CAA1-2	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0
TRQ-CTG1-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRL-AAG2-2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
LINC01556	1	2	8	0	0	6	1	0	0	1	0	1	2	0	0	2	2	3	0	0
TRM-CAT3-1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TRK-TTT3-3	0	0	3	0	1	3	0	0	0	1	0	0	0	0	0	2	0	0	1	0
TRM-CAT3-2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRF-GAA1-2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRE-CTC1-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCG15	10	12	14	11	25	31	14	20	18	17	27	17	32	11	28	31	17	23	13	10
TRL-AAG3-1	0	0	0	1	1	0	3	0	2	1	0	2	3	0	9	3	2	0	2	0
ZNF311	18	10	46	20	143	104	50	116	34	79	48	64	62	21	59	87	45	63	57	30
LOC105375002	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OR2W1-AS1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2W1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2B3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2J1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2J3	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2J2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901297	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC03003	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375006	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375005	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OR14J1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR5V1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR12D3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR12D2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR12D1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR11A1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10C1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2H1	4	1	12	4	4	0	1	1	1	1	1	1	0	4	2	0	2	3	1	0
LOC105375008	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAS1L	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901486	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02829	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01015	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2I1P	0	0	22	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0
UBD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD32B	1	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0
OR2H2	29	96	52	90	66	56	21	86	28	48	34	31	34	33	88	46	32	45	70	26
GABBR1	893	764	862	512	5333	3379	1888	4739	2388	3153	3106	1771	3127	1360	4043	4110	2336	3109	2468	1129
MOG	21	15	19	17	983	961	534	947	333	459	362	84	563	150	367	1668	247	282	215	395
ZFP57	1	2	15	2	423	284	122	218	117	104	124	44	228	49	140	205	109	66	93	56
HLA-F	102	165	78	132	110	162	97	272	59	71	96	56	85	15	37	94	68	111	34	29
HLA-F-AS1	32	50	26	63	45	36	28	46	20	45	21	22	38	7	23	97	31	55	23	17
IFITM4P	1	0	1	0	2	2	0	4	1	1	3	0	1	0	0	5	1	3	1	0
HCG4	1	3	5	1	1	1	0	4	1	3	1	6	1	0	0	1	2	2	0	1
HLA-V	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-G	30	84	61	30	7	13	2	5	2	3	1	3	3	0	3	1	2	2	1	1
LOC105375010	0	2	23	0	2	1	0	5	1	1	1	2	2	3	4	0	4	3	6	0
HCP5B	0	1	13	1	2	2	3	0	1	3	2	0	1	3	2	2	0	1	5	1
HLA-H	30	43	42	45	63	110	38	116	23	34	17	29	46	38	167	27	19	37	121	6
HCG4B	0	9	11	4	7	4	4	0	7	3	4	0	6	22	46	16	2	5	44	7
LOC124901298	39	50	36	46	41	51	23	39	14	32	17	16	20	7	26	31	27	22	17	8
HLA-A	1028	973	819	590	4656	5317	2508	4675	1603	2030	1853	1509	2558	463	1691	2940	1135	2005	892	670
HCG9	0	1	5	1	2	0	0	9	3	3	1	4	4	8	21	2	2	4	9	3
POLR1HASP	34	22	48	20	124	88	59	148	52	76	54	57	69	45	138	96	83	102	83	26
HLA-J	14	12	24	12	65	22	31	54	26	41	45	28	48	18	49	52	48	45	22	16
POLR1H	144	167	101	110	417	249	153	330	135	184	151	100	149	95	279	310	137	159	145	93
PPP1R11	588	356	530	348	2393	1647	832	1398	694	842	806	582	1002	484	1337	1291	744	845	760	403
RNF39	0	1	10	1	20	11	9	21	6	8	10	4	8	8	11	6	7	11	3	2
TRIM31	0	1	10	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
TRIM31-AS1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900227	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM40	1	1	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
TRIM10	0	0	26	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRIM15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM26	976	2119	1332	2099	1150	1176	571	1018	496	635	553	362	832	375	992	1106	487	631	608	305
HCG17	2	1	9	2	18	18	6	5	7	14	11	4	11	9	20	16	7	16	6	6
HLA-L	62	85	80	72	30	21	12	15	17	14	23	22	12	17	20	33	11	20	20	4
HCG18	535	536	505	585	1081	865	402	884	434	501	473	385	704	509	981	839	432	551	700	257
TRIM39	217	319	226	278	417	368	181	234	98	144	143	108	165	98	246	264	132	141	172	93
TRIM39-RPP21	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPP21	0	0	1	0	1	0	0	3	0	0	0	0	0	0	2	3	1	1	1	0
LOC105375012	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
HLA-E	1520	1873	1341	1939	645	1218	680	793	198	499	746	336	342	127	318	286	172	950	141	82
LINC02569	3	8	16	10	2	3	1	0	0	2	1	1	0	1	2	1	2	2	2	1
GNL1	865	850	718	662	1798	1415	676	1465	663	698	659	442	791	338	971	922	637	802	664	291
PRR3	389	251	287	177	630	481	262	339	201	249	286	156	286	164	506	415	220	288	292	142
ABCF1	1499	2307	1649	1728	2322	1758	906	1882	739	883	791	553	1245	1183	3212	1590	676	833	2172	531
MIR877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R10	1713	2884	1750	2496	2999	2122	1284	2723	1148	1336	1337	792	1831	950	2656	2180	1151	1360	1479	684
MRPS18B	391	438	415	391	2185	1368	736	1150	678	713	717	473	1070	500	1515	1580	667	701	1075	462
ATAT1	325	216	262	211	1157	868	492	794	474	491	508	429	721	342	1137	917	543	608	651	325
C6orf136	180	260	176	224	971	545	380	613	399	327	393	255	485	234	800	730	344	379	472	206
DHX16	1542	1718	1790	1347	2845	1803	931	2538	926	1157	979	606	1245	680	2088	1943	1011	1149	1261	516
PPP1R18	947	597	649	546	2564	2313	1162	2250	894	911	960	468	1376	469	1358	1382	769	945	744	400
NRM	54	27	49	21	247	255	194	257	133	167	163	85	171	74	239	310	109	139	112	66
MDC1	708	620	636	568	1756	1626	834	1280	694	862	914	535	1228	655	1469	1414	615	706	1069	411
MDC1-AS1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBB	7399	7313	8026	5409	46963	43409	24987	30578	17388	22634	21586	9902	26609	13612	41115	39754	10085	15939	21645	9447
FLOT1	1611	1319	1506	921	9761	6365	3466	8208	2967	4740	3716	2511	5269	2388	7772	8691	2725	4170	5085	2413
IER3-AS1	2	3	2	2	4	2	1	11	1	0	0	0	0	0	1	2	3	3	3	0
IER3	437	336	340	334	4006	2761	1611	2610	1467	1090	989	976	1813	606	2799	1768	844	770	1095	427
HCG20	7	5	15	4	24	24	5	22	14	10	9	9	12	2	2	12	14	15	4	9
LINC00243	23	65	81	34	3	3	1	7	5	3	6	4	2	3	0	4	4	12	2	1
LINC02570	0	0	0	3	2	1	0	3	1	0	3	0	2	0	1	2	0	0	0	0
DDR1	1082	933	1017	663	5777	5428	2876	7629	3139	3197	3162	1510	4199	1783	5588	5270	2660	3428	3141	1258
MIR4640	0	0	0	0	0	3	0	10	1	2	2	0	1	0	3	1	3	2	1	1
GTF2H4	341	303	367	223	1057	680	342	877	407	474	466	335	527	245	860	752	360	494	437	166
VARS2	213	406	286	287	1314	932	470	1445	549	627	628	466	751	336	1325	1159	518	756	714	282
SFTA2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901299	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUCL3	3	1	28	0	1	2	0	6	1	4	5	0	1	2	0	3	3	2	1	0
HCG21	0	0	3	0	6	1	0	3	1	3	1	1	2	0	5	8	1	0	3	0
MUC21	0	0	18	2	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
MUC22	2	11	36	21	16	9	4	5	3	10	5	2	5	4	7	9	6	12	8	3
