	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	DAU_1	DAU_2	DAU_3	DAU_4	GEF_1	GEF_2	GEF_3	GEF_4
LOC124900932	0	0	0	0	0	0	0	1	2	1	0	0	16	9	4	8	1	2	0	2
NKD2	33	190	40	61	25	71	65	53	72	87	70	5	15	2	12	27	31	67	18	33
SLC12A7	3476	7053	5764	2392	1336	9063	2633	2611	6058	1203	4891	1588	455	191	788	1637	3245	3007	3435	1850
MIR4635	11	14	13	2	0	26	6	6	6	3	9	0	0	0	0	4	7	8	5	3
LOC107986396	2	13	0	1	2	4	0	3	7	0	1	4	0	0	0	9	4	2	3	1
LOC124900189	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TERLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A19	0	0	0	2	0	5	0	2	1	0	1	4	1	0	2	6	0	2	0	0
SLC6A18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TERT	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	3	0	0	2	0
MIR4457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPTM1L	1001	1955	2223	2572	1230	2640	1074	1033	2907	595	1618	766	2958	2644	1363	1996	790	981	1361	508
LINC01511	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	4	0	0	0	0
SLC6A3	0	0	0	0	1	0	0	6	1	0	1	0	58	35	9	29	0	0	2	0
LPCAT1	263	625	619	741	431	710	532	431	933	256	410	182	694	903	329	375	219	467	315	179
LOC124901162	4	7	4	6	4	5	4	3	3	6	3	4	2	6	1	9	10	6	3	1
MIR6075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC124901161	0	1	0	0	0	3	0	0	2	0	0	0	7	9	2	0	0	0	0	0
LOC107986397	0	0	0	0	1	3	1	1	0	0	0	0	20	26	1	3	0	1	0	0
SDHAP3	155	335	380	242	144	515	163	176	495	203	213	116	29	37	76	45	162	218	242	103
PDCD6P1	47	115	114	76	41	83	49	24	109	51	64	38	28	27	62	25	56	74	49	31
LOC105374614	0	2	0	1	1	0	0	0	0	0	1	0	3	3	3	1	0	0	0	0
MIR4277	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC101929003	1	5	2	1	5	6	0	4	8	3	5	1	8	27	2	13	6	5	5	3
MRPL36	269	560	489	424	242	530	278	267	869	144	328	116	295	265	175	299	257	324	336	149
NDUFS6	1182	2799	3004	1960	932	3839	1244	1030	3867	540	1622	698	366	285	554	442	957	1032	1858	674
LINC02116	0	2	0	0	0	0	1	0	3	2	0	0	0	0	0	1	1	2	0	0
LOC124901163	1	0	0	2	0	4	1	1	2	5	0	0	0	0	0	1	1	2	0	0
LOC124901164	11	14	11	8	4	18	10	11	48	57	21	2	5	4	4	19	8	13	2	5
IRX4	628	1773	1696	601	388	1584	900	644	2150	728	1005	303	185	588	181	370	577	1079	884	436
IRX4-AS1	124	394	349	158	80	395	150	146	617	68	136	63	26	84	40	82	152	221	161	72
CTD-2194D22.4	1	11	9	3	1	4	3	2	10	2	5	3	6	13	6	8	3	6	3	0
LOC124901165	14	48	69	11	11	23	40	41	40	42	38	25	10	15	37	99	21	53	57	23
LOC105374618	63	183	285	92	95	119	129	105	231	97	148	90	5	3	14	13	75	124	136	66
LOC124901166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100506858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSINCT5	1	0	1	0	0	0	0	1	5	0	0	0	7	15	4	14	0	3	0	0
IRX2	96	101	527	115	56	206	53	72	844	12	173	150	387	482	207	801	75	64	262	37
IRX2-DT	21	23	63	18	7	36	8	17	72	3	28	10	38	141	18	89	7	19	28	8
LOC105374620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
LOC107983966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
LOC107984098	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0
LOC105374621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC01377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LINC02162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRX1	55	35	394	29	27	118	23	36	402	5	92	67	44	122	33	163	33	37	139	9
LOC107986399	22	26	193	16	9	52	9	16	157	2	38	45	27	67	44	69	36	25	116	6
LOC105374625	1	0	2	0	0	0	0	1	1	0	1	1	2	0	0	0	0	0	1	0
LOC105374626	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
LINC02063	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
LOC124901168	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
LOC124901169	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	0	1	0	0
LOC107986400	0	0	0	0	0	0	0	0	2	0	0	0	1	1	3	2	0	0	0	0
LINC02114	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC105374629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC01020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LINC02121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS16-DT	0	0	1	12	11	0	5	3	3	2	2	0	2	5	1	0	1	2	0	0
ADAMTS16	9	11	22	227	135	39	102	114	87	61	23	5	52	42	31	8	12	52	7	2
LOC101929200	23	36	55	47	41	48	40	21	33	33	20	13	60	44	39	49	25	36	33	16
ICE1	1041	2449	2351	2652	1341	2542	1365	1237	3924	966	1791	950	3780	3077	2667	3621	1162	1331	1488	920
LOC105374634	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0
LOC105374636	0	0	0	0	0	1	0	0	0	0	0	0	12	1	17	3	0	0	0	0
LINC02145	3	16	1	2	4	8	8	4	11	8	8	2	6	21	13	8	4	8	1	3
MED10	309	617	734	672	389	1075	349	258	842	184	445	234	492	483	360	384	339	344	448	184
LOC124900933	0	1	0	0	0	0	3	1	1	0	1	0	6	28	2	1	1	0	1	0
UBE2QL1	107	257	138	187	88	293	129	121	287	101	113	43	486	770	145	193	196	152	132	87
LOC105374639	18	33	17	19	6	50	29	15	23	20	22	9	88	92	43	72	32	47	20	9
LINC01018	1	10	5	12	5	7	8	5	5	8	9	1	8	24	3	2	6	9	0	1
NSUN2	764	1767	1884	1991	993	2092	881	693	2273	492	1264	824	1766	1712	1405	1000	729	773	1283	580
SRD5A1	278	383	478	662	325	655	339	252	692	185	436	204	625	616	287	277	308	320	319	117
LOC124900934	2	3	4	4	1	0	3	3	5	1	2	2	28	60	10	11	3	2	8	0
LINC02102	5	11	11	7	2	5	12	10	7	5	11	4	70	97	59	50	4	12	6	4
TENT4A	743	1755	1765	1688	748	1792	940	873	2308	737	1314	644	1536	1811	1099	1728	788	895	1081	508
LOC107986401	4	4	5	10	0	8	4	2	5	3	3	0	3	6	0	2	1	2	6	3
LOC102724943	0	1	1	0	0	2	0	2	3	2	0	0	2	11	3	3	1	2	2	0
LINC02236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374641	1	1	0	1	1	0	1	0	1	0	0	2	0	1	2	2	0	1	0	0
LOC105374642	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	0
LINC02196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC105374643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC442132	1	1	0	0	1	4	1	3	1	0	0	0	4	3	5	0	2	1	0	0
LOC105379638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC105374645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986403	0	0	0	0	0	0	0	1	0	0	0	0	3	4	1	3	0	0	0	0
ADCY2	10	31	78	77	38	44	13	26	127	18	31	34	41	25	43	24	24	19	68	5
LOC105374646	0	0	2	0	0	1	2	2	0	0	0	2	5	3	0	5	2	0	0	0
CFAP90	3	1	6	12	9	5	5	3	15	1	1	1	24	35	15	14	2	3	1	0
MTRR	370	721	820	669	364	644	450	389	1111	298	541	281	934	1448	817	694	377	437	529	245
FASTKD3	120	273	276	274	141	202	139	96	350	108	167	110	124	386	154	100	150	159	189	84
LOC124900936	8	28	18	23	5	18	11	9	22	3	19	7	24	18	40	36	8	16	7	8
LOC124900937	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	0	0	0	0	0
LOC102723339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02226	0	8	4	2	2	9	2	2	3	1	1	0	8	5	4	0	2	5	0	0
MIR4458HG	105	273	145	290	111	273	136	127	475	94	193	61	252	248	310	165	144	132	101	90
MIR4458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929307	0	0	0	1	0	0	0	2	0	0	0	0	5	1	4	0	0	0	0	0
LINC02199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEMA5A	3229	9419	9735	6453	3128	6497	3519	2982	9037	1530	7878	5098	1373	1090	601	844	2221	2587	6641	3027
MIR4636	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC124901170	5	5	7	13	10	37	9	2	12	4	13	2	8	0	5	4	10	6	10	7
SEMA5A-AS1	4	11	5	9	1	20	8	6	14	4	2	8	7	5	16	2	8	3	7	9
SNHG18	476	1200	1000	1154	582	639	589	500	1848	409	743	343	192	226	199	123	504	531	629	350
SNORD123	4	15	14	11	5	6	5	3	16	4	5	3	4	4	1	0	2	3	12	4
LOC101929359	0	0	0	1	0	0	0	1	2	0	0	0	0	2	2	1	0	0	0	0
TAS2R1	0	0	0	0	0	0	0	2	2	0	1	0	7	4	28	3	0	1	0	0
LOC124900938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LINC02112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
LOC105374649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LINC02221	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC107986405	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0
LOC124900939	0	0	1	0	0	0	0	0	0	1	2	1	8	18	6	3	0	2	0	0
ATPSCKMT	198	434	315	444	209	616	225	215	538	141	321	143	177	139	201	124	172	208	172	119
CCT5	1868	3918	5408	5629	2577	5087	2117	1756	7899	1211	2916	2039	4248	4102	2880	2619	1520	1783	3172	1240
CMBL	214	605	357	485	304	419	405	308	667	331	488	178	280	152	459	144	290	399	254	207
LOC105374651	4	10	1	4	1	4	2	3	17	4	11	0	19	31	10	17	5	7	2	3
MARCHF6-DT	31	56	102	45	39	79	25	32	62	15	55	28	146	191	83	125	26	36	58	10
MARCHF6	3651	7371	8376	7873	3905	7791	4558	3906	9908	3165	6546	3800	4207	2823	3381	3462	4285	4210	5742	2822
MIR10397	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	4	0	0	0	0
ROPN1L-AS1	0	0	0	2	0	0	1	0	0	0	0	0	4	2	1	1	0	0	0	0
ROPN1L	4	3	3	0	2	8	2	7	10	3	6	0	57	25	25	23	2	2	6	2
LOC124900940	1	1	0	2	0	4	0	1	1	6	0	1	18	17	8	11	1	0	2	0
MIR6131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02212	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
LINC02213	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0
ANKRD33B	270	522	934	671	228	649	278	216	504	295	404	414	1019	1678	360	931	181	168	620	160
DAP	1862	3049	2717	5174	2412	3327	2084	1996	6210	1093	3302	1112	1548	1331	1008	1004	1112	1490	1631	856
DAP-DT	10	13	5	20	7	9	11	15	17	7	8	8	435	183	113	159	9	23	9	5
CTD-2154B17.1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0
LOC105374654	2	0	0	1	0	1	6	5	3	0	2	2	0	0	0	2	0	4	0	2
CTNND2	487	927	704	1142	499	1301	756	578	1420	276	928	306	204	133	169	285	295	409	528	308
LOC105374656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374655	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0
LINC01194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900941	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
LOC105374657	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0
LINC02220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC105374660	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
LOC124900942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH5	11	18	16	56	30	46	22	13	23	5	15	13	55	15	53	23	16	17	6	9
TRIO	3068	6016	6517	6410	3347	7577	3699	3251	7074	2103	4780	2418	2556	1410	2289	2629	2723	3464	3889	1896
LOC124900943	14	25	7	19	11	38	26	10	26	3	18	4	12	5	13	8	12	19	15	16
SNORD170	1	1	0	0	1	8	2	0	1	1	1	0	0	0	0	0	2	5	3	2
OTULINL	25	38	27	47	32	44	23	23	76	10	37	24	260	444	153	76	6	22	15	10
SNORD141B	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	1	1	1	4	0
OTULIN-DT	6	24	17	17	8	30	14	9	40	5	13	7	112	159	65	47	12	18	15	5
OTULIN	511	1181	1223	1227	581	1201	627	577	1552	421	867	572	853	601	816	808	570	675	852	394
ANKH	2496	5453	5801	5269	2662	4636	3926	3474	8789	1829	3891	2252	1833	1398	1252	1240	2738	3374	3698	1748
LOC100130744	2	3	1	3	2	1	4	3	5	0	0	0	1	3	1	1	2	4	1	1
LOC124900944	69	153	101	137	56	91	147	96	145	32	104	58	76	46	55	73	74	121	93	46
MIR4637	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0
LOC105374661	5	11	0	12	1	22	12	11	23	4	4	2	39	15	14	4	3	10	0	3
LOC107986376	0	2	0	0	0	0	1	0	0	0	0	0	4	0	7	1	0	0	0	0
LOC124900197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02149	0	0	0	0	0	0	0	0	0	0	0	0	4	1	6	0	0	0	0	0
LOC124900945	0	0	0	0	0	0	0	0	0	0	0	0	3	8	18	2	1	0	0	0
FBXL7	3151	10726	10209	9466	4481	5314	5646	4799	9001	2828	6267	3920	1440	1278	723	941	2823	4079	5954	3254
CTD-2350J17.1	0	12	6	3	2	4	8	1	3	4	1	4	1	3	4	1	1	1	3	3
LOC124900946	131	323	268	188	283	709	526	123	565	103	267	244	97	54	130	56	362	218	457	249
LOC107986343	24	67	30	20	45	111	107	30	82	11	35	23	12	7	22	10	51	34	51	46
MIR887	0	0	5	0	2	5	0	0	3	0	1	1	0	0	0	0	1	2	0	0
LOC107986406	21	31	58	73	25	62	27	14	48	16	36	37	5	3	13	0	24	20	25	25
MARCHF11	258	677	368	198	136	620	391	295	546	177	331	107	54	117	50	29	415	483	279	263
MARCHF11-AS1	141	445	532	152	91	212	174	139	524	137	171	149	0	2	18	12	183	230	339	126
LOC105379640	5	14	7	6	1	17	6	2	5	2	2	1	1	0	1	3	15	16	0	1
MARCHF11-DT	27	73	63	16	20	31	33	42	34	32	28	19	35	105	39	17	45	70	55	32
LINC02150	5	28	4	7	3	20	4	5	3	0	4	2	5	6	14	8	3	9	1	2
ZNF622	1109	3199	2171	2240	1290	4569	1164	1055	3543	694	1817	721	1539	1416	890	1613	967	1117	1596	1119
RETREG1	897	2148	1543	1668	875	2308	1170	803	3265	783	1782	658	118	90	361	169	1163	1061	955	773
RETREG1-AS1	4	9	7	6	3	1	10	4	7	8	8	0	9	2	7	4	4	5	1	3
MYO10	143	290	122	1199	526	370	170	142	261	132	174	48	692	864	347	746	137	139	79	75
LOC124900947	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	1	0	0
BASP1-AS1	0	0	0	2	2	0	2	1	4	0	0	1	9	12	8	7	0	0	0	0
MIR10522	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC105374664	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
BASP1	188	125	332	858	505	324	316	251	852	211	294	79	356	340	330	396	187	265	172	44
LINC02111	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
LINC02217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LINC02218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3Y2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	22	0	0	0	0
TAF11L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF11L11	0	0	0	0	0	0	0	2	0	0	0	0	13	1	7	113	0	1	0	0
TAF11L12	0	0	0	0	0	0	0	13	0	0	1	0	20	19	17	316	0	1	0	0
TAF11L13	0	0	0	0	0	0	0	3	0	0	0	0	3	3	4	73	0	0	0	0
TAF11L14	0	0	0	0	0	0	0	7	0	0	0	0	10	11	3	116	0	0	0	0
H3Y1	0	0	0	0	0	0	0	14	0	0	0	0	19	11	0	317	1	1	0	0
LOC105374666	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0
LINC02223	0	0	0	6	3	0	0	0	0	0	0	0	3	2	5	1	0	0	0	0
LOC124900199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02100	0	1	0	0	0	0	0	0	0	0	0	2	5	2	6	2	0	0	0	1
LOC124901212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374669	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CDH18	0	2	1	16	3	3	9	8	11	2	0	3	22	12	31	28	4	15	3	1
LOC105374672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900948	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
CDH18-AS1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0
LINC02241	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	1	0	0	0	0
LINC02146	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0
LOC105374673	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0
LOC105374678	0	2	0	0	0	0	1	0	0	1	0	0	0	0	4	1	0	0	1	0
LOC102723561	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0
LOC124900950	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC124900951	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUSBP1	114	248	338	249	155	281	156	150	480	95	206	107	312	281	267	235	147	154	217	75
LOC124900949	8	18	17	9	9	13	11	7	15	14	11	9	12	7	9	8	11	17	14	12
LOC105374685	0	3	0	3	1	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0
CDH12	28	21	86	10	2	46	13	6	118	19	39	30	12	6	28	14	24	15	38	2
LOC105374683	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SNORA105A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC107986345	0	3	0	0	0	1	0	0	0	1	0	0	3	3	0	1	0	1	3	0
PMCHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC105374682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374681	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0
LOC101929617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0
LOC105374686	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
LOC105374687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
LOC124901171	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0
PRDM9	1	0	0	0	0	0	0	0	0	0	0	1	9	9	11	0	0	1	0	0
LOC124901158	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
LOC107986377	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0
LOC124901172	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LINC02899	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
LOC124901173	0	0	0	6	0	0	0	1	1	0	0	2	5	2	20	4	0	1	0	0
LOC105374689	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
CDH10	11	7	5	28	11	17	26	16	43	19	17	10	27	15	58	10	25	32	3	2
LOC124901174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02239	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0
LINC02228	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0
LINC02211	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
LOC124901175	2	8	3	5	1	5	6	3	3	5	0	0	2	2	4	0	3	4	2	2
LOC124901176	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	0	0	0
TRK-CTT9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901159	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
CDH9	0	0	0	0	0	0	0	2	5	0	0	0	7	3	6	1	0	0	0	0
LOC105374695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PURPL	28	55	119	44	26	83	29	38	92	65	76	70	195	101	346	245	28	43	119	28
LOC124901177	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0
LOC105374696	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
LINC02103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC105374701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986409	2	4	0	0	0	2	1	0	1	0	0	0	0	0	0	0	2	1	2	0
LOC124901178	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
LSP1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929645	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC105374699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02109	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
LINC02064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0
LOC105374702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374703	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0
LOC105374704	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
LOC105374705	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
LOC105374706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374707	0	0	4	0	3	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
LOC124901160	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
LOC124901179	0	0	0	1	2	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0
LOC124900952	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
CDH6	14	17	28	147	73	28	43	40	88	16	47	16	63	49	65	17	14	32	24	15
LOC105374709	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
DROSHA	849	1843	1904	2093	1077	2017	1209	983	2447	729	1592	828	906	857	791	610	891	1091	1415	622
C5orf22	820	1642	1583	1991	921	1272	877	804	2239	691	1384	719	1230	1973	944	793	858	791	1071	610
PDZD2	339	1263	1040	502	298	714	320	281	727	280	889	411	144	204	147	110	461	379	915	435
LOC124901200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC124900953	6	9	6	1	1	13	12	3	1	1	6	3	2	0	2	1	11	8	9	9
LOC107986346	1	2	0	2	1	7	2	1	2	0	1	0	0	0	2	0	1	0	1	1
MIR4279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374711	21	80	116	101	50	101	52	40	124	46	70	35	51	56	39	51	39	48	72	51
GOLPH3	1266	2254	2662	3255	1555	2797	1717	1243	4250	1052	2050	1062	1445	921	1011	850	1304	1315	1743	827
MTMR12	515	1249	1366	1447	718	1313	685	541	1513	366	920	533	781	948	616	637	534	612	801	451
ZFR	2353	4511	5341	5294	2590	4705	2819	2153	8934	2183	4237	2653	3494	3462	2600	2760	2373	2381	3754	1767
MIR579	0	4	2	0	1	0	1	1	1	0	1	0	0	0	0	1	2	2	1	1
