	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	DOX_1	DOX_2	DOX_3	GEF_1	GEF_2	GEF_3
SNORD138	4	2	2	4	18	0	3	3	2	5	4	3	5	0	0	4	3
LINC02059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC645261	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	2	2
LOC105379065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101929380	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC01949	3	1	1	5	0	3	4	1	0	0	0	12	5	6	0	2	0
RASA1	647	318	406	420	363	419	532	383	480	921	373	948	754	864	409	442	495
LOC124901022	3	11	13	5	12	26	12	19	14	11	3	22	54	4	26	19	1
CCNH	367	154	266	245	391	175	272	186	224	455	208	394	289	294	156	238	134
LOC644285	119	37	57	66	128	56	108	53	62	79	40	50	65	33	81	47	48
LOC105379066	0	1	0	0	2	1	3	0	0	0	0	9	6	10	2	0	0
LINC02144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
LINC02488	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC124901023	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
LOC105379070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM161B	206	134	196	191	102	113	159	134	135	323	120	293	203	180	144	189	82
TMEM161B-DT	91	39	51	83	178	39	129	44	37	107	42	62	83	49	50	53	63
LOC124900200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02060	0	0	1	0	13	0	3	0	4	3	1	0	0	2	4	1	7
LINC00461	0	0	0	0	3	0	0	0	0	2	0	0	0	3	0	0	0
MIR9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2C-AS2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901024	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MEF2C	618	304	481	514	431	355	369	363	474	938	425	759	723	711	272	477	207
MEF2C-AS1	0	2	4	14	3	0	5	1	2	6	1	8	9	10	1	0	0
LOC105379074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901184	0	0	0	0	7	0	2	0	0	0	2	0	2	0	0	0	2
LOC102724637	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
MIR3660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CETN3	253	62	85	160	231	51	104	75	113	221	121	177	113	116	83	102	83
LOC731157	0	0	0	0	0	0	0	1	0	1	0	1	2	6	1	1	0
MBLAC2	52	32	37	32	70	24	39	22	30	112	35	158	51	102	35	48	17
POLR3G	36	22	34	17	21	10	24	18	13	61	18	36	26	35	19	34	18
LYSMD3	316	209	404	342	138	93	234	241	287	746	358	527	278	374	226	341	102
ADGRV1	50	7	31	26	27	21	39	17	8	52	25	65	79	32	11	21	11
LOC105379077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986432	0	1	2	0	0	0	0	2	0	0	1	50	42	33	0	1	0
LOC107986433	0	0	0	0	0	0	0	1	3	0	0	9	19	0	0	0	0
LUCAT1	4	7	3	4	3	1	3	7	7	5	4	110	181	99	3	3	0
ARRDC3	723	255	283	259	604	286	286	244	254	766	421	875	548	650	209	273	260
ARRDC3-AS1	15	16	11	14	31	20	30	14	20	31	11	198	213	126	4	15	17
LOC107986434	1	2	4	10	6	3	4	0	0	6	3	94	45	84	2	5	4
LOC105379078	2	1	0	2	0	1	0	2	0	5	2	14	9	23	1	0	3
LOC105379080	12	5	3	4	6	7	3	31	25	47	17	13	8	4	20	6	10
LOC105379082	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	1
LINC02058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901025	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
LOC105379083	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NR2F1-AS1	0	5	8	0	12	3	11	3	2	57	25	0	3	38	1	3	1
LOC124901026	0	0	0	0	0	0	0	0	0	4	1	0	0	5	0	0	0
NR2F1	10	48	59	51	49	11	27	0	6	214	88	20	25	131	0	72	16
LOC124901027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM172A	264	165	213	245	240	86	195	163	235	505	232	326	233	282	192	225	133
MIR2277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901028	3	2	1	0	0	1	0	0	0	1	0	1	3	1	0	1	0
POU5F2	3	0	4	3	2	4	2	3	7	4	1	4	9	7	8	2	0
LOC105379087	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0
KIAA0825	49	19	29	40	34	15	37	43	59	74	27	38	39	54	41	33	20
SLF1	395	175	219	204	175	132	201	264	267	471	181	100	62	88	195	193	104
MCTP1	26	6	16	8	20	25	12	9	6	37	5	14	11	23	8	14	4
LOC105379085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM81B	0	0	1	0	2	0	0	0	0	1	2	0	1	0	0	1	0
SKIC3	1731	852	1234	1275	929	988	1513	1271	1292	2954	1187	1456	1132	684	1072	1192	927
ARSK	130	67	82	111	71	65	111	89	92	225	83	125	64	123	82	100	94
GPR150	1	0	0	0	0	0	0	0	0	1	0	40	66	48	0	0	1
LOC112267933	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
RFESD	20	4	8	8	8	8	9	6	9	21	4	21	23	15	9	23	7
SPATA9	15	7	26	9	27	15	24	16	14	18	11	93	71	49	10	14	24
LOC105379090	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	3
RHOBTB3	4382	2788	4719	4648	3748	3182	4971	3393	3998	7274	3119	5438	4551	3403	2356	4348	3248
GLRX	421	183	278	386	550	135	331	254	309	614	294	586	420	477	293	262	160
LOC124901029	2	4	2	1	0	3	2	2	2	5	6	0	1	2	3	3	3
LOC102724720	0	0	2	9	7	0	4	1	1	7	2	2	6	6	4	3	3
LINC01554	3	3	3	6	23	0	8	9	4	10	6	3	7	22	0	2	3
LOC105379091	0	0	1	1	0	1	0	3	1	0	0	7	20	9	0	2	0
ELL2	532	503	654	649	520	327	521	606	596	1035	459	1225	1074	1330	471	718	240
LOC101929710	3	3	1	5	1	4	0	4	4	2	3	4	5	2	1	3	1
LOC105379096	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
MIR583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379675	0	0	0	2	0	0	1	0	1	0	0	1	6	1	1	0	0
LOC124901032	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC107986365	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	4	0
LOC124901034	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
PCSK1	3	2	2	2	6	13	6	6	3	7	3	6	11	22	6	3	0
CAST	2235	1105	1865	1929	2124	1186	2190	1599	1870	3639	1723	3232	1994	2330	1451	1852	1509
LOC107986363	2	19	17	9	4	12	3	24	11	15	6	13	42	6	17	11	15
ERAP1	533	305	382	348	230	245	346	337	387	970	446	1499	907	1515	341	378	262
LOC124901031	20	5	15	19	15	12	28	6	9	22	10	63	47	42	17	21	12
LOC124901033	0	3	1	2	0	1	8	1	0	4	0	17	15	7	1	1	4
ERAP2	27	8	14	10	10	12	21	9	12	259	131	86	89	227	12	8	35
LOC124901030	5	6	5	1	13	6	7	11	11	8	3	10	13	5	6	8	3
LNPEP	2698	2209	3044	2725	1440	1849	2614	2498	2986	5294	2069	3268	2519	3596	2245	3496	2074
LIX1-AS1	1	1	1	5	1	1	1	3	1	8	4	1	5	10	3	3	4
LIX1	22	9	30	25	39	15	37	9	7	39	13	7	11	1	13	32	17
RIOK2	305	135	224	269	416	122	227	163	189	469	187	240	111	149	146	194	120
LINC01340	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0
LINC02234	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	1	0
LINC01846	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
RGMB	465	312	464	467	603	304	725	441	555	794	341	1432	1096	1891	350	586	316
RGMB-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379099	0	0	1	1	2	1	4	0	0	0	0	5	0	0	1	0	0
CHD1	469	316	510	531	386	393	493	318	436	888	342	973	723	974	329	546	446
CHD1-DT	0	0	0	0	1	0	0	0	1	1	0	5	2	4	0	0	0
LOC100289230	22	20	26	30	67	27	35	19	24	45	17	54	63	35	39	26	17
LOC107986436	0	0	1	2	1	1	0	0	2	1	0	5	4	13	0	2	0
LINC02113	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC105379101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUSBP19	0	0	6	0	0	0	0	0	1	1	0	0	0	0	1	2	0
LOC105379100	0	2	2	0	0	0	1	0	0	3	0	0	3	0	5	2	0
FAM174A-DT	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
FAM174A	116	91	152	145	317	74	263	104	143	287	93	256	231	239	111	128	52
ST8SIA4	7	2	0	1	0	0	9	0	3	7	3	1	6	1	0	0	3
MIR548P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986437	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0
LOC107986438	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC105379102	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
SLCO4C1	0	0	5	1	1	3	3	0	2	27	4	4	3	3	1	0	0
SLCO6A1	0	3	2	2	0	1	0	1	1	17	8	0	1	1	4	2	2
LOC124901035	0	0	0	0	0	0	0	1	0	0	0	0	1	3	1	0	0
LOC124901036	0	1	0	0	0	0	0	1	1	3	0	0	0	0	4	0	0
LINC00492	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
LINC00491	11	2	11	12	8	9	10	14	7	60	31	18	27	35	14	21	17
LOC105379104	0	0	3	0	0	1	0	1	0	1	0	10	8	9	0	1	2
PAM	17336	10307	16442	17008	17222	8831	19675	13869	15949	34009	15287	9858	10652	13453	10084	14890	9154
LOC105379105	6	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GIN1	120	46	57	56	137	34	68	48	74	157	84	93	50	87	50	51	66
PPIP5K2	807	494	647	633	444	411	645	658	611	1556	606	1140	667	1275	649	758	435
LOC124901037	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
MACIR	146	76	123	91	149	75	163	57	88	250	106	224	121	258	62	141	91
LINC02115	0	0	1	0	5	0	0	0	0	1	0	0	2	1	0	0	3
NUDT12	168	94	109	122	152	49	180	102	113	422	159	141	84	72	116	146	61
LOC105379107	5	9	4	16	0	2	7	4	2	7	1	2	2	0	6	3	0
LOC101930276	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
NIHCOLE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB9BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01950	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
EFNA5	526	284	312	348	620	358	509	466	559	1317	500	168	177	230	552	435	399
LOC124901038	4	6	17	4	4	43	5	15	42	25	6	9	57	2	62	4	8
LOC124901039	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FBXL17	684	602	840	765	414	405	720	763	957	1432	558	769	693	572	756	920	476
LOC105379114	0	0	0	0	8	0	0	0	0	0	0	0	0	1	1	0	0
LOC107986440	0	0	0	0	0	0	0	0	0	1	0	4	0	4	0	0	0
LINC01023	6	6	2	0	22	2	23	1	9	19	2	34	39	26	5	3	0
FER	853	459	754	626	394	550	727	576	628	1082	453	994	704	846	544	782	513
LOC124901040	48	40	44	30	6	22	21	22	37	39	10	74	32	29	51	51	49
LOC285638	0	0	2	10	6	4	2	5	2	14	1	23	16	20	5	3	18
PJA2	2953	1721	2934	3400	1786	1484	2477	2410	2634	5764	2474	4077	2539	3184	2083	2879	1414
LOC105379117	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0
LOC124901041	4	5	4	2	5	6	4	6	5	11	0	36	46	56	6	7	1
MAN2A1	204	143	183	226	157	158	159	159	198	484	238	512	272	668	163	238	159
LINC01848	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
LOC105379119	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
TMEM232	97	35	45	24	33	23	57	38	58	59	19	69	92	33	67	70	44
MIR548F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900207	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
SLC25A46	923	692	996	1100	668	372	829	881	975	2152	888	1445	789	984	806	1025	440
LOC105379121	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
TSLP	13	7	15	21	8	3	17	10	12	54	28	3	6	24	3	13	6
WDR36	366	194	314	306	288	238	348	210	259	809	306	635	447	614	179	348	197
CAMK4	129	93	138	83	81	101	103	124	138	316	114	196	164	134	118	115	65
STARD4	5680	3690	5276	5250	3694	2181	3502	5084	5471	10954	4551	2771	1513	1722	3814	4661	2041
STARD4-AS1	3054	1586	2182	1518	941	1770	2499	1603	2003	3429	1196	545	450	242	1834	2614	1825
LOC105369177	0	0	0	1	0	0	0	2	1	0	1	5	3	1	0	1	4
LOC124901042	0	0	3	2	0	0	1	2	1	1	0	4	8	1	1	3	4
NREP	46854	18554	25382	26841	36412	15373	37346	24047	27357	54671	23361	3903	2203	3075	21761	30757	16558
LOC105379122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NREP-AS1	0	1	0	0	0	2	0	0	0	0	1	0	1	3	0	0	0
EPB41L4A	902	553	710	594	956	781	979	778	880	1127	501	556	605	373	694	735	766
EPB41L4A-AS1	284	139	150	218	738	124	483	143	203	335	127	268	200	190	180	207	196
SNORA13	8	0	5	8	5	1	1	7	7	7	2	4	2	3	1	4	4
LOC124901044	0	3	5	0	0	5	0	1	6	5	1	2	1	0	3	0	4
LOC101927023	5	3	3	0	0	5	3	3	7	6	2	4	8	7	4	0	4
EPB41L4A-DT	15	19	38	23	55	31	87	17	42	39	22	49	78	97	30	30	37
LOC124901043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02200	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
LOC102467216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APC	881	401	629	574	472	660	792	649	642	1522	621	1063	904	1020	527	560	634
SRP19	540	307	383	538	918	211	524	335	427	869	337	1022	796	884	327	486	278
REEP5	3121	1830	2717	3323	3424	1015	2815	2036	2404	4938	2281	5140	4102	4048	1760	2580	1218
LOC105379123	3	4	3	0	11	8	7	3	6	15	0	99	84	114	10	6	6
LOC105379126	0	0	0	0	0	0	0	0	1	0	0	11	1	12	0	0	0
DCP2	715	465	734	742	509	427	688	520	562	1640	618	1822	1146	2074	349	722	521
MCC	3048	1975	2008	1617	1637	1748	2801	1984	2169	3419	1386	1886	1838	1340	1915	2386	1887
LOC124901045	0	8	1	0	0	5	2	9	7	4	0	10	13	4	19	2	3
LOC107986366	7	2	8	0	0	3	0	1	0	1	0	3	5	1	2	0	0
TSSK1B	1	3	2	2	1	5	7	5	3	5	4	4	12	10	3	4	5
LOC124901046	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0
YTHDC2	634	432	609	599	446	533	827	506	603	1368	525	443	435	357	521	712	445
LOC107986441	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
LOC105379127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901047	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
KCNN2	262	262	310	250	216	117	491	216	310	437	165	72	53	90	199	317	190
LOC101927078	1	2	7	6	0	0	1	8	8	1	1	1	1	3	4	4	2
LINC01957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM36	201	82	170	142	224	156	220	127	150	344	160	762	744	1654	66	116	151
PGGT1B	326	252	410	459	262	185	394	289	346	697	278	806	537	654	281	429	248
CCDC112	192	67	146	180	295	72	186	99	132	314	129	189	122	169	99	164	114
LOC105379129	0	1	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0
LOC105379130	0	0	4	2	1	1	3	3	1	6	3	13	3	16	1	1	0
FEM1C	1268	1233	1466	1218	496	464	908	1417	1653	2893	1136	1596	970	2762	1320	1791	407
TMED7-TICAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TICAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TICAM2-AS1	13	10	5	10	7	3	6	2	7	6	4	7	5	4	6	10	3
TMED7	330	380	650	494	310	134	275	475	511	1454	619	1116	270	1384	381	575	113
LOC102467217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901048	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CDO1	70	32	42	43	95	37	70	33	48	78	36	227	132	433	35	31	34
LOC124901049	1	4	2	9	5	1	6	2	8	6	4	6	3	27	1	9	1
ATG12	405	244	334	457	579	192	473	304	342	779	367	927	603	1519	263	364	223
AP3S1	268	209	273	339	402	121	317	218	265	855	370	469	271	615	192	274	155
LINCADL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LVRN	14	1	1	4	0	0	0	3	2	4	3	23	16	35	4	0	0
ARL14EPL	0	0	0	1	0	0	2	0	1	1	0	0	1	0	1	0	0
COMMD10	362	181	248	379	274	139	278	241	284	542	233	313	175	275	259	299	108
MIR12130	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC101927190	0	1	0	2	4	1	0	1	6	0	0	2	4	0	6	3	0
SEMA6A	260	186	205	149	267	133	262	191	222	307	116	898	998	604	321	286	213
SEMA6A-AS1	14	9	14	4	3	5	2	5	8	7	5	37	16	12	7	4	8
SEMA6A-AS2	10	4	8	2	1	2	7	4	5	5	2	12	2	3	9	2	2
LINC02214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379133	0	1	0	0	0	1	0	0	0	0	0	1	0	4	1	2	0
LOC105379136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379138	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC105379139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00992	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC124900192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02208	5	1	1	0	4	2	8	5	5	30	6	2	1	1	4	3	0
LINC02216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02215	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC124901052	0	0	0	0	0	2	1	0	2	1	0	0	0	0	1	2	0
DTWD2	263	188	244	241	201	92	259	212	242	452	201	57	45	31	234	280	124
MIR1244-2	0	4	2	2	2	0	2	1	0	6	4	12	1	19	0	1	0
DMXL1-DT	0	1	0	0	4	0	2	0	0	3	0	1	3	6	0	0	5
LOC124901209	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4
DMXL1	1191	585	844	715	345	641	615	829	886	1667	640	1092	817	852	752	824	566
MIR5706	0	0	1	0	0	0	0	0	1	1	0	0	5	0	0	0	0
TNFAIP8	367	250	309	338	354	93	299	278	279	664	240	471	271	323	295	425	124
LOC102723444	9	9	17	10	24	17	12	6	13	13	2	17	44	9	23	10	8
HSD17B4	1324	749	980	1000	1547	642	1343	971	1082	2325	1023	996	885	526	799	956	678
LOC107986444	0	1	0	0	4	0	0	0	0	3	0	2	0	0	0	1	0
LOC124901198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM170A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LOC105379144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124901054	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0
PRR16	96	59	56	80	68	31	103	82	98	136	70	63	46	61	65	63	58
LOC105379147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102467226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRFBP1	99	50	81	72	90	72	126	64	74	171	94	183	122	313	46	69	44
LOX	125	22	36	24	168	92	42	26	30	1720	742	70	19	858	17	24	94
ZNF474-AS1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0
ZNF474	0	1	1	0	0	0	2	1	0	2	0	0	0	4	1	0	0
LOC100505841	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SNCAIP	407	146	219	212	541	282	554	226	303	893	357	113	90	168	253	249	340
MGC32805	0	1	2	0	0	0	0	1	1	3	0	2	1	3	2	2	13
LOC107986446	5	9	9	1	0	12	11	9	4	18	2	0	6	3	4	6	6
LOC105379151	0	0	3	0	0	5	3	2	0	0	1	0	0	1	1	1	0
LOC101927357	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
LINC02201	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0
SNX2	757	279	433	575	1069	279	708	362	402	1218	537	1159	862	986	347	438	522
LOC105379154	60	25	28	26	39	20	57	21	24	53	24	42	31	36	27	32	28
SNX24	397	214	207	387	738	218	510	250	268	543	252	184	161	107	197	318	321
LOC124901213	3	1	0	1	4	2	5	0	0	3	2	3	0	3	1	2	0
PPIC	1011	698	924	1117	2907	569	1819	833	1012	3013	1288	826	698	1466	752	1015	797
PPIC-AS1	30	21	12	15	19	31	21	16	32	23	15	31	25	24	20	17	22
PRDM6-AS1	59	17	17	10	244	63	91	32	24	60	19	16	27	40	31	17	91
PRDM6	95	28	52	49	205	115	160	53	57	183	68	87	65	94	73	63	152
CEP120	573	316	422	491	449	278	565	307	360	604	253	1308	827	1000	263	445	310
CSNK1G3	438	309	511	634	355	272	582	336	368	889	381	599	431	720	327	482	286
LINC01170	3	1	0	0	2	0	6	2	4	7	5	1	1	2	3	3	2
LOC101927397	0	0	1	0	0	0	3	1	3	2	4	10	0	0	0	3	0
LOC107986448	0	0	0	0	1	0	1	0	1	2	1	0	5	0	0	0	0
LOC105379155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ZNF608	1276	827	961	699	767	785	833	955	1148	1205	500	584	676	336	1022	1105	607
LOC105379156	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC105379157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986391	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC124901055	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC105379158	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0
LOC101927421	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LOC124901056	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC02240	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0
LINC02039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAMD2B	326	191	282	283	302	168	248	229	283	684	293	105	111	97	189	312	200
LOC101927514	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ALDH7A1	1248	574	731	843	1791	521	1211	798	878	1459	696	175	180	164	712	910	579
PHAX	281	210	250	288	472	148	413	241	260	696	289	538	508	855	206	328	203
TEX43	0	1	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0
LOC105379162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMNB1-DT	1	0	2	0	0	0	0	1	0	1	1	5	7	5	0	0	3
LMNB1	917	423	550	483	1151	528	989	514	547	1007	505	632	813	359	317	438	471
MARCHF3	617	320	413	509	755	353	836	533	650	1450	587	380	388	450	419	370	343
LOC105379163	60	23	11	15	26	20	34	25	27	65	21	119	139	170	19	17	23
C5orf63	118	53	52	48	113	54	81	47	58	124	47	51	39	14	52	51	70
LOC105379198	0	3	2	1	1	1	6	2	2	6	2	0	1	1	3	4	2
MEGF10	45	42	33	36	7	14	45	13	21	74	39	26	27	48	11	59	5
LOC124901057	6	2	1	6	0	0	2	2	6	4	1	10	15	8	0	1	0
LOC105379199	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0
PRRC1	668	401	678	664	595	465	892	486	615	1757	722	616	489	607	484	690	447
LOC124901058	0	1	0	1	0	0	0	0	2	6	1	3	1	5	1	0	0
CTXN3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC105379164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CCDC192	4	2	1	3	2	7	0	0	2	6	0	0	9	1	3	2	5
LOC124901059	0	0	0	1	0	3	0	0	0	2	1	0	0	1	0	3	0
SLC12A2-DT	97	69	84	86	152	61	163	80	114	198	101	157	133	114	84	108	72
SLC12A2	380	299	520	554	336	284	462	283	330	930	408	1882	1129	1993	262	519	319
FBN2	30078	17647	23215	21285	18386	21913	31931	24014	27613	31605	12462	11177	11505	6737	18688	24233	17783
LOC105379167	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0
LOC105379168	11	3	2	6	2	1	3	2	4	4	3	10	12	11	3	12	2
SLC27A6	4227	2059	2873	3188	3562	1531	4033	3042	3125	6175	2180	1120	978	526	2544	3313	1273
LOC102723638	59	42	36	50	49	8	56	38	49	99	26	4	12	7	43	52	16
