	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	EPI_1	EPI_2	EPI_3	EPI_4	GEF_1	GEF_2	GEF_3	GEF_4
HOPX	13040	8147	4114	9274	4635	2800	2171	6847	1464	5889	2842	9079	8178	8061	15369	26907	1985	4767	2068	3707
LOC124900708	121	83	46	130	47	41	27	68	30	84	60	104	8	4	62	40	22	74	40	44
LOC105377666	0	0	0	0	1	0	0	2	0	3	1	0	1	1	2	1	0	0	1	3
CHAER1	25	23	12	31	13	7	7	12	5	19	13	28	2	3	7	21	4	15	4	13
LOC105377668	0	0	0	0	0	0	0	0	0	0	0	0	3	6	6	7	0	1	0	0
SPINK2	0	4	2	2	1	0	0	0	0	0	0	2	13	10	11	10	0	0	0	0
REST	5797	4183	2134	3289	1663	1944	1432	4201	1614	4112	2131	4330	338	323	723	760	1590	3015	1621	1587
NOA1	1034	582	357	661	271	345	294	634	326	440	245	720	79	137	145	169	192	420	355	248
POLR2B	9306	5835	2768	6342	2460	2935	2274	5291	1995	3754	2447	5722	985	1156	3473	3738	1741	3777	2646	2485
IGFBP7	9744	9547	5176	6904	3138	3526	2900	5138	1257	4507	954	2748	12617	14846	22493	32707	1102	1295	2033	1498
LOC124900898	4	7	2	0	1	1	1	1	1	1	2	1	0	1	0	7	0	4	1	1
IGFBP7-AS1	27	34	10	35	9	11	10	13	2	5	2	3	8	6	31	52	7	3	9	8
LOC107986283	0	0	0	0	1	1	1	0	2	0	0	0	4	3	12	0	0	0	0	0
LINC02380	0	0	0	3	0	1	1	1	1	0	0	2	0	0	1	0	0	0	0	0
LOC124900904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
LINC02494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
LOC124900833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02429	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LINC02619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02271	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
LOC124900173	27	27	22	35	10	18	5	14	8	13	7	18	4	13	40	71	13	24	12	23
ADGRL3	2355	1919	1066	1964	818	751	651	2026	534	1875	1551	3240	159	185	293	521	718	2087	700	709
ADGRL3-AS1	0	3	0	0	0	2	0	4	0	2	1	1	0	0	0	4	2	0	2	1
LOC101927145	308	321	156	225	89	117	58	339	34	168	113	230	123	103	130	174	111	145	82	90
LOC124900709	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
LOC105377253	1	2	0	0	3	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
LOC105377254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900851	100	28	22	111	36	40	30	89	40	93	39	79	3	0	9	0	24	70	39	39
TECRL	14686	5995	3197	5711	3526	4039	2673	8973	4379	8801	5535	11874	1691	3067	6183	11324	3171	7860	3526	4592
LOC107986284	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC105377255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02232	13	1	1	0	3	1	0	6	5	2	5	7	3	2	5	11	0	2	3	1
LINC02835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA5	38	83	23	36	9	25	22	11	14	46	9	11	9	23	38	13	3	9	29	13
EPHA5-AS1	13	12	6	1	3	2	1	5	3	4	1	7	3	3	4	5	0	1	2	6
LOC105377258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377260	0	0	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1	1	0
LOC105377261	2	3	2	3	1	2	1	0	6	1	0	2	1	5	0	0	0	2	2	0
MIR1269A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927237	19	5	4	5	0	3	1	4	2	6	2	9	8	5	29	26	6	3	3	3
CENPC	1343	962	461	773	368	478	378	966	388	677	413	888	48	66	102	192	289	553	423	329
STAP1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	3	0	1
UBA6	3883	2844	1449	2508	966	1410	990	2290	1085	1992	1167	2541	245	313	670	669	862	1608	1149	1095
UBA6-DT	380	311	176	216	149	144	165	217	121	205	105	254	18	25	59	69	72	136	169	154
GNRHR	25	18	4	29	5	9	12	7	9	16	11	13	3	10	16	12	9	18	5	5
LOC124900175	0	0	0	1	1	3	0	0	2	1	0	1	0	0	0	0	0	0	1	0
LOC102724780	14	7	5	12	6	3	8	4	8	10	2	17	1	2	4	5	0	9	6	10
TMPRSS11D	5	2	0	8	2	1	1	1	1	7	1	0	2	0	1	1	0	4	1	1
TMPRSS11A	10	8	2	2	2	0	2	0	0	5	2	1	1	3	9	9	0	0	4	2
TMPRSS11GP	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
TMPRSS11F	2	4	0	11	2	2	0	3	2	2	0	1	1	3	0	0	0	0	0	2
LOC550113	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
SYT14P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTLP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
TMPRSS11BNL	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0
TMPRSS11B	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0
YTHDC1	4062	2922	1356	3557	1171	1757	1214	2398	1394	2078	1151	2691	440	533	1365	1337	938	2098	1578	1335
TMPRSS11E	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	7	0	0	1	0
UGT2B17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
UGT2B15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
UGT2B10	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0
LOC124900853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
UGT2A3	2	0	2	2	0	2	0	0	0	1	0	1	1	1	3	2	0	3	0	1
LOC105377265	9	0	1	0	2	1	0	0	0	1	0	2	0	0	1	2	0	0	1	1
UGT2B7	21	2	1	2	2	2	3	0	1	2	0	0	2	3	6	1	0	0	3	4
LOC105377267	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
UGT2B11	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
UGT2B28	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
UGT2B4	64	14	15	123	39	17	24	35	14	70	0	2	2	3	18	72	19	1	25	72
UGT2A1	0	0	0	0	0	1	2	0	0	0	0	0	2	2	0	0	0	0	0	0
UGT2A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT1B1	18	69	29	27	6	32	16	6	12	20	2	8	1	11	14	22	5	6	18	7
SULT1E1	23395	18873	9399	9957	4731	25597	16285	6227	5777	9129	677	1510	2944	4616	27368	6628	1976	772	17039	4169
CSN1S1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	13	3	0	0	0	0
CSN2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC105377269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STATH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTN1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CSN1S2BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ODAM	127	22	11	9	27	13	22	4	31	18	12	20	4	9	5	41	1	15	5	5
FDCSP	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0
CSN3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CABS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
SMR3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
SMR3B	0	1	1	0	0	0	0	0	0	0	0	0	9	1	1	0	0	0	0	0
OPRPN	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0
MUC7	0	0	0	0	0	0	0	0	0	0	0	0	6	3	14	4	1	0	0	0
AMTN	0	4	3	0	0	0	0	0	0	0	1	0	0	12	0	3	0	0	0	0
AMBN	0	0	0	0	0	0	2	0	0	0	0	0	0	4	14	1	0	0	0	0
ENAM	275	90	46	139	81	103	64	83	38	131	104	149	11	9	131	103	24	120	58	76
JCHAIN	1	3	0	0	0	1	2	2	0	0	0	0	5	6	15	14	0	1	3	0
LOC101927297	3	2	0	0	0	0	0	0	0	0	1	1	3	5	9	12	0	0	0	1
UTP3	2347	1561	690	2157	700	718	496	1189	362	949	558	1450	185	204	350	261	387	846	597	577
RUFY3	2652	2026	1108	1809	817	1190	928	1600	794	1245	694	1522	498	581	1276	1407	590	998	1192	1014
LOC124900900	1	0	1	3	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	3
GRSF1	7700	4857	2308	5920	1997	2509	1805	4291	2081	3552	2146	4655	648	780	874	1786	1472	3028	2072	2125
LOC124900710	7	0	0	8	2	2	5	3	0	2	1	4	1	1	6	2	0	3	2	0
LOC124900887	1	0	0	0	0	0	0	0	0	0	2	0	0	4	4	4	0	2	3	1
LOC124900711	25	19	13	4	6	6	9	8	8	9	7	24	18	21	51	52	3	14	6	10
MOB1B	3704	2684	1317	3170	1377	1594	1072	2701	1007	2666	1821	3413	524	565	2170	1983	1115	2283	1304	1402
DCK	959	667	354	869	305	425	278	702	246	511	324	733	96	141	197	330	221	358	304	319
SLC4A4	2062	910	428	1104	566	645	483	946	700	991	470	1043	87	140	313	585	348	869	525	664
LOC124900712	9	5	3	2	2	7	5	8	3	9	4	7	5	4	12	10	3	3	6	4
LOC124900836	2	1	1	0	0	2	0	0	2	0	1	0	0	0	0	0	1	0	1	1
LOC107986285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377271	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
GC	46	2	2	7	10	8	2	1	0	7	0	0	12	6	63	31	0	0	4	4
NPFFR2	16	7	5	5	3	4	3	2	5	0	1	7	1	0	4	9	0	4	6	4
ADAMTS3	354	316	143	194	77	143	129	322	128	205	125	295	84	116	322	241	121	203	183	116
LOC105377273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX18	955	687	343	381	263	315	253	613	259	484	325	773	105	224	114	296	213	578	302	246
LOC112268467	0	0	0	1	0	0	0	0	1	1	0	1	1	1	5	5	0	0	0	0
ANKRD17	6088	4234	2581	5199	2401	3252	2520	4779	2495	4368	2258	5190	329	347	996	673	1729	3511	2899	2667
LOC124900713	14	9	4	24	7	17	5	24	6	18	9	14	1	4	2	6	10	26	4	2
ANKRD17-DT	57	49	38	40	21	35	40	79	44	34	53	127	13	18	22	37	17	76	49	40
LOC124900180	2	5	0	0	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1
LOC124900606	0	2	0	0	0	1	0	0	0	0	0	0	1	1	2	3	0	1	0	1
ALB	259	1	1	36	0	2	9	22	1	0	0	7	6	7	324	13	3	30	15	2
AFP	74	0	2	5	0	0	2	4	0	4	1	4	1	0	119	0	0	3	3	1
AFM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0
LINC02499	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
LOC107986287	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	2	0	0	0	0
RASSF6	2	463	226	10	3	7	3	0	2	1	3	1	93	127	16	12	0	1	3	1
LOC124900714	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377272	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	0	0	0
CXCL8	4	12	2	4	0	3	3	1	9	0	0	0	12	4	41	7	9	1	2	1
CXCL6	12	23	12	0	2	14	8	3	4	2	0	2	13	14	59	0	0	0	2	0
PF4V1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	1	0
CXCL1	2	26	10	0	0	2	1	1	2	0	0	0	1	13	167	78	1	0	1	0
PF4	0	0	0	0	0	2	2	0	1	0	0	0	3	4	8	5	1	0	0	0
PPBP	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	3	0	0	0	0
CXCL5	1	7	5	0	2	0	0	0	2	2	1	2	17	29	53	18	1	1	1	1
LOC124900715	0	1	0	0	0	0	0	0	0	0	0	0	2	1	3	4	0	0	0	0
CXCL3	2	0	2	0	0	0	2	0	1	2	0	0	24	51	954	385	0	0	0	0
LOC105377275	1	1	0	0	0	0	1	0	0	0	0	0	9	6	15	24	0	0	1	0
PPBPP2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
CXCL2	7	2	1	3	0	3	2	0	0	3	1	0	10	11	95	68	4	1	4	0
MTHFD2L	993	590	270	703	344	432	253	550	295	447	412	890	271	266	858	1067	227	615	370	449
LOC105377277	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0
LOC105377276	49	22	12	11	10	43	23	63	31	17	3	11	4	2	15	0	13	7	53	15
EPGN	28	28	9	13	8	15	13	12	28	36	7	8	9	2	13	20	4	4	17	8
EREG	132	146	64	52	39	350	145	284	201	60	8	33	21	37	748	161	93	30	355	85
AREG	170	56	23	84	45	57	34	35	68	42	5	15	6	7	49	22	20	7	46	23
LOC107986229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0
LOC124900716	0	3	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
BTC	55	61	44	89	19	36	33	32	31	43	7	18	42	57	226	138	17	3	37	31
LOC105377278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
LOC105377282	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
PARM1	3347	2100	1195	2073	1136	1815	1538	2909	1915	3184	965	2633	1139	1481	3516	5303	1204	2154	2311	2357
PARM1-AS1	1	0	1	7	3	2	1	0	0	2	4	1	1	1	6	6	2	1	3	4
LOC107986289	4	1	0	1	5	2	2	5	4	3	0	2	0	0	1	0	1	3	2	4
LINC02562	1	2	0	0	0	0	1	2	2	1	2	4	0	3	12	7	2	0	1	0
LOC100506253	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0
LINC02483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986230	2	0	0	5	1	0	0	0	0	0	0	0	0	1	1	5	0	0	1	0
RCHY1	1585	1010	532	1131	551	664	471	1039	405	882	499	1006	185	216	470	576	456	762	560	584
THAP6	960	695	381	796	374	478	417	741	374	641	359	805	180	259	621	720	267	506	509	490
LOC124900717	5	5	2	0	3	2	5	2	0	4	2	8	3	0	2	5	5	2	2	4
ODAPH	15	4	3	0	1	7	2	1	5	2	1	4	5	6	24	17	1	2	2	2
CDKL2	157	129	60	223	67	100	94	189	137	145	64	135	27	38	79	103	76	108	129	123
G3BP2	20243	12232	5619	15061	5546	5897	4365	9886	4457	9003	6500	14112	5666	6365	17268	19564	3769	9162	4801	5659
USO1	6650	4589	2300	3760	1691	2300	1850	3723	1767	3067	2138	4606	1505	1585	4532	4535	1350	2897	1974	1920
LOC105377284	1	0	0	0	0	0	0	0	0	0	0	0	3	2	4	7	0	0	0	0
PPEF2	0	3	0	0	2	2	1	1	0	1	0	0	20	43	52	85	1	1	6	1
LOC105377285	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	13	0	0	0	0
NAAA	403	393	226	450	162	220	195	389	133	274	81	283	416	526	907	1793	134	208	188	199
SDAD1	1613	1332	662	1232	495	620	505	1039	426	825	510	1152	186	232	386	453	387	859	519	507
SDAD1-AS1	0	0	0	0	0	2	1	0	0	0	2	0	12	6	50	39	0	0	1	0
CXCL9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	11	0	0	0	0
ART3	384	116	69	337	160	154	174	397	98	200	82	223	73	116	921	828	161	114	277	295
CXCL10	2	2	0	0	0	2	3	0	2	0	0	1	4	1	4	5	0	0	3	0
CXCL11	0	0	2	4	0	0	3	2	0	0	0	1	0	2	12	9	0	0	0	0
NUP54	1511	921	535	925	467	611	359	939	417	727	437	1082	185	224	660	521	368	615	513	551
LOC124900718	30	17	16	32	16	31	13	27	7	20	18	39	10	21	30	36	19	25	32	31
SCARB2	6558	6060	2757	4227	1970	2738	2053	3754	1722	3497	1945	4270	4397	4553	6614	9946	1222	2741	2360	2167
FAM47E	20	25	14	23	8	17	10	23	8	14	6	17	10	11	21	48	10	11	15	17
LOC105377286	15	2	1	9	3	2	4	1	1	8	3	5	5	6	13	21	3	3	11	2
FAM47E-STBD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STBD1	308	113	52	334	79	80	47	144	87	95	41	186	1	2	20	12	26	112	92	72
CCDC158	17	16	3	5	9	6	2	13	5	7	14	12	5	3	5	19	6	14	10	6
LOC124900891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHROOM3	6486	6699	3583	4499	1882	2142	1844	5441	1226	4737	3086	7263	260	338	492	505	1746	4995	1813	1741
MIR4450	0	3	0	0	0	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0
MIR548AH	0	1	1	0	0	0	0	3	0	0	1	0	0	1	1	0	0	0	0	0
LOC105377290	97	81	52	73	20	51	18	53	24	50	31	50	6	14	15	9	39	42	40	31
SHROOM3-AS1	7	4	5	10	1	7	7	11	10	7	8	9	2	4	7	4	4	7	3	2
LOC124900719	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	0	0	1	0
LOC124900866	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0
SOWAHB	7	11	6	4	0	4	1	2	2	5	1	4	17	27	38	53	1	2	2	1
LOC105377294	29	30	13	67	21	31	25	53	7	38	17	70	4	7	23	41	12	41	30	16
SEPTIN11	2438	3279	1740	1858	760	1278	1081	1753	1034	1784	1543	3751	1126	1255	1606	2080	659	2944	1086	800
LOC105377291	89	51	30	65	26	36	37	55	21	59	26	69	27	30	37	54	17	51	52	24
CCNI	20264	16670	7258	7673	4641	6541	4889	12043	5759	12372	7001	15029	5907	8260	18088	14466	4984	11791	4954	5010
LOC101928864	3	2	4	4	2	0	3	1	1	2	0	1	7	11	50	42	0	0	3	4
CCNG2	1437	1197	551	932	380	636	519	882	489	774	448	1091	406	532	826	1043	300	644	600	618
LOC107986292	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	9	0	1	0	0
LOC105377295	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
CXCL13	1	4	2	0	0	0	0	0	3	2	0	4	2	4	3	1	0	0	0	0
LOC105377296	0	0	0	0	0	0	0	0	0	0	0	1	2	5	0	3	0	0	1	0
LOC105377297	0	9	0	0	1	0	2	1	0	1	1	0	6	13	9	4	0	0	4	1
CNOT6L	893	764	422	613	261	392	275	716	443	647	595	1082	87	124	230	218	358	817	375	302
MRPL1	731	497	251	611	217	275	176	432	178	285	201	457	28	62	56	93	153	300	222	173
LOC102724916	3	1	0	3	0	1	0	0	1	2	0	1	0	3	2	6	2	1	0	1
FRAS1	6531	7779	4047	8929	3684	3317	3101	7373	2265	7444	4261	9207	2615	2409	6013	9687	2351	6370	3280	3414
LOC107986293	15	12	5	32	3	7	4	13	3	14	45	91	2	3	20	39	4	60	7	9
SNORD161	1	1	0	4	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
ANXA3	11322	8329	4009	8216	2895	3744	2493	5445	1344	3969	2478	6149	825	1182	3250	2886	2028	3837	2788	2709
LOC124900721	20	5	5	6	5	4	2	5	3	5	1	8	1	3	8	12	3	8	7	7
LOC124900901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01094	3	10	4	1	0	4	4	2	7	3	0	1	3	7	22	11	0	2	3	2
LOC101928893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
BMP2K	911	703	318	620	382	331	273	803	247	778	450	979	97	79	198	318	255	646	307	377
LOC124900722	25	16	9	29	8	15	3	9	9	14	5	1	1	14	13	21	5	12	5	11
LOC105377299	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1
PAQR3	1128	959	413	781	360	587	434	822	381	682	541	1125	180	200	553	760	307	743	455	457
LINC01088	54	15	11	41	12	29	29	50	5	20	4	49	6	20	77	166	27	28	47	32
LOC124900723	0	0	0	0	0	1	0	0	0	0	0	0	0	2	8	5	0	0	0	0
NAA11	8	5	4	31	9	25	10	24	5	11	5	8	0	3	4	9	6	9	21	7
LOC105377300	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0
LOC107986294	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
LINC02469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105377302	0	2	1	2	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	2
PCAT4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LOC124900174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTXR2	7936	7771	3966	7355	2716	4564	3521	8265	1717	4711	2766	6123	880	1104	1929	2672	2987	4239	3507	2397
LOC124900724	3	1	2	0	0	0	1	2	1	4	0	1	0	0	1	0	1	1	0	0
PRDM8-AS1	9	12	15	22	9	10	10	17	7	16	19	29	1	7	16	17	6	13	11	4
PRDM8	531	946	498	514	233	543	468	1017	79	372	257	788	74	94	491	305	328	519	440	173
LOC124900725	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FGF5	1112	1621	581	617	338	678	453	808	290	726	778	1420	35	50	121	90	342	1123	441	278
CFAP299	92	86	50	59	36	48	25	63	9	50	23	63	10	12	39	37	16	43	36	14
LOC105377305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BMP3	54	52	36	31	15	20	13	55	25	20	44	39	2	2	15	10	28	53	14	13
PRKG2	101	25	18	38	22	29	19	54	40	41	7	19	9	8	64	58	9	14	29	22
PRKG2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
LOC124900726	0	0	0	3	0	1	0	1	1	0	0	0	0	2	6	0	0	0	1	0
RASGEF1B	210	201	79	128	71	89	94	106	93	124	35	65	126	124	585	503	32	55	92	88
LOC105377306	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC105377308	7	6	1	6	3	4	1	4	5	3	7	4	6	3	10	60	3	4	4	1
VAMP9P	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	9	0	0	0	0
HNRNPD	8018	6109	3159	7311	2145	3053	2012	5772	1933	4032	2468	6056	321	485	711	913	1902	4335	2235	2293
HNRNPD-DT	39	8	9	14	8	9	8	25	7	11	3	29	3	14	45	28	6	20	13	18
LOC124900890	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
HNRNPDL	14720	9286	4725	12217	4078	5511	4341	9069	2752	5791	3530	10126	442	681	990	1884	3186	6701	4522	4530
ENOPH1	1108	1061	484	1227	393	495	400	914	346	638	367	895	307	360	561	900	289	625	450	370
LOC105377310	19	7	5	9	1	5	6	13	4	6	1	5	51	46	103	139	9	2	14	8
TMEM150C	172	117	84	223	52	104	102	182	53	110	22	106	46	71	226	225	72	65	141	81
LINC00575	0	0	0	0	0	0	0	0	0	0	0	0	3	4	8	11	0	0	0	0
SCD5	737	632	248	545	306	457	357	593	331	453	147	336	168	186	344	326	214	229	533	304
LOC124900727	4	10	4	1	5	6	8	11	9	6	3	0	0	6	0	2	5	8	3	5
MIR575	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SEC31A	8298	7572	3915	5661	2983	4102	3367	5424	2789	4907	2905	6872	838	1027	2152	2143	1969	4723	3581	3118
THAP9-AS1	1022	793	440	846	293	320	249	580	324	444	346	752	103	141	308	338	219	547	335	377
SNORD143	17	11	13	18	7	14	13	3	11	15	14	27	1	1	5	1	8	20	12	12
SNORD144	9	4	1	9	9	10	2	6	1	6	10	12	0	1	6	0	0	6	6	2
THAP9	744	530	289	462	218	308	232	540	265	332	320	685	53	79	218	208	223	484	227	291
LIN54	882	645	373	575	275	419	235	674	249	589	337	661	61	85	172	136	210	483	290	287
COPS4	3331	2016	991	1791	851	1047	790	2076	649	1284	862	2023	115	182	297	421	676	1225	875	889
PLAC8	109	100	32	47	21	26	45	44	54	33	14	52	24	29	261	117	19	20	45	23
LOC124900167	5	4	0	0	1	1	3	2	1	4	3	4	2	6	7	5	0	2	0	2
COQ2	943	487	273	680	256	268	205	495	118	368	203	498	288	425	597	1501	153	271	203	230
HPSE	7	16	15	4	0	13	8	5	1	1	2	2	20	30	61	23	2	3	8	1
LOC105377313	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
HELQ	793	554	273	678	207	268	241	456	201	335	175	507	57	70	190	189	189	288	305	233
MRPS18C	249	179	76	322	95	127	66	220	37	111	55	212	15	12	19	19	44	103	108	89
ABRAXAS1	333	302	150	257	113	193	140	289	203	216	166	327	43	54	90	172	93	225	189	143
GPAT3	2605	1252	592	1894	689	698	609	2051	453	1329	720	1668	75	115	738	787	791	1331	636	1079
LOC105377315	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LINC02994	2	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
